Tabela 74 - Produção de origem animal, por tipo de produto;;;
Variável - Valor da produção (Mil Reais);;;
Tipo de produto de origem animal - Total;;;
;Ano;;
Gurupi (TO);3565;3632;2534
Ipueiras (TO);924;864;832
Itacajá (TO);2427;3510;4428
Itaguatins (TO);2049;1725;1722
Itapiratins (TO);2231;2694;4060
Itaporã do Tocantins (TO);3974;4813;3573
Jaú do Tocantins (TO);2118;2821;3594
Juarina (TO);1089;1392;2242
Lagoa da Confusão (TO);2198;2622;4026
Lagoa do Tocantins (TO);453;510;576
Lajeado (TO);397;471;538
Lavandeira (TO);1159;989;1096
Lizarda (TO);1021;1149;1508
Luzinópolis (TO);696;812;786
Marianópolis do Tocantins (TO);2320;2684;4126
Mateiros (TO);210;249;285
Maurilândia do Tocantins (TO);1282;1140;1311
Miracema do Tocantins (TO);4866;6029;12522
Miranorte (TO);2711;2898;6794
Monte do Carmo (TO);4374;4821;3469
Monte Santo do Tocantins (TO);2036;1989;2640
Palmeiras do Tocantins (TO);700;950;1177
Muricilândia (TO);1674;1415;1866
Natividade (TO);3631;2626;3259
Nazaré (TO);197;251;510
Nova Olinda (TO);3639;4283;5755
Nova Rosalândia (TO);1007;1220;1609
Novo Acordo (TO);671;622;671
Novo Alegre (TO);692;644;718
Novo Jardim (TO);1150;922;1571
Oliveira de Fátima (TO);539;621;658
Palmeirante (TO);2334;2649;3337
Palmeirópolis (TO);1887;2601;2979
Paraíso do Tocantins (TO);5904;7197;8216
Paranã (TO);2953;3748;4116
Pau D'Arco (TO);3544;3722;5715
Pedro Afonso (TO);767;908;2060
Peixe (TO);4079;5689;7329
Pequizeiro (TO);2852;3118;4920
Colméia (TO);3415;4466;8727
Pindorama do Tocantins (TO);2412;2717;2804
Piraquê (TO);2307;707;1059
Pium (TO);2977;3419;4333
Ponte Alta do Bom Jesus (TO);1807;1252;1513
Ponte Alta do Tocantins (TO);2879;3187;3018
Porto Alegre do Tocantins (TO);477;696;1039
Porto Nacional (TO);6894;6864;7337
Praia Norte (TO);638;1046;1086
Presidente Kennedy (TO);1770;1885;2157
Pugmil (TO);667;783;1497
Recursolândia (TO);878;1094;2470
Riachinho (TO);261;413;1214
Rio da Conceição (TO);101;97;154
Rio dos Bois (TO);373;390;959
Rio Sono (TO);1302;1548;3908
Sampaio (TO);391;665;679
Sandolândia (TO);3465;5099;6757
Santa Fé do Araguaia (TO);6460;3392;4013
Santa Maria do Tocantins (TO);740;861;2113
Santa Rita do Tocantins (TO);4112;4365;3794
Santa Rosa do Tocantins (TO);1185;1268;1153
Santa Tereza do Tocantins (TO);596;765;915
Santa Terezinha do Tocantins (TO);525;609;1531
São Bento do Tocantins (TO);1078;1146;2789
São Félix do Tocantins (TO);250;265;262
São Miguel do Tocantins (TO);733;1113;1054
São Salvador do Tocantins (TO);693;1023;1211
São Sebastião do Tocantins (TO);868;1018;1040
São Valério (TO);1328;1595;2075
Silvanópolis (TO);1835;2014;1747
Sítio Novo do Tocantins (TO);1257;1923;1924
Sucupira (TO);823;1073;1383
Taguatinga (TO);5535;4210;5879
Taipas do Tocantins (TO);1552;1282;1703
Talismã (TO);1694;2387;3190
Palmas (TO);1926;3078;5615
Tocantínia (TO);434;526;1396
Tocantinópolis (TO);474;413;494
Tupirama (TO);155;177;484
Tupiratins (TO);762;857;1986
Wanderlândia (TO);1862;1374;1385
Xambioá (TO);2456;1691;1678
Açailândia (MA);42862;44393;41038
Afonso Cunha (MA);48;48;48
Água Doce do Maranhão (MA);213;242;319
Alcântara (MA);81;83;107
Aldeias Altas (MA);88;88;103
Altamira do Maranhão (MA);572;696;775
Alto Alegre do Maranhão (MA);471;532;456
Alto Alegre do Pindaré (MA);2019;1484;1940
Alto Parnaíba (MA);620;607;717
Amapá do Maranhão (MA);515;596;1416
Amarante do Maranhão (MA);11996;13677;15009
Anajatuba (MA);1166;1097;1141
Anapurus (MA);237;194;226
Apicum-Açu (MA);23;30;36
Araguanã (MA);991;678;934
Araioses (MA);1397;1783;2152
Arame (MA);7749;9654;10511
Arari (MA);906;997;1103
Axixá (MA);140;102;113
Bacabal (MA);4407;4699;4553
Bacabeira (MA);471;463;687
Bacuri (MA);41;44;53
Bacurituba (MA);215;228;244
Balsas (MA);1451;1498;6854
Barão de Grajaú (MA);1005;959;1065
Barra do Corda (MA);5213;5320;5326
Barreirinhas (MA);548;535;563
Belágua (MA);254;97;97
Bela Vista do Maranhão (MA);2078;1972;2042
Benedito Leite (MA);1008;1015;1033
Bequimão (MA);428;466;510
Bernardo do Mearim (MA);3224;3780;5036
Boa Vista do Gurupi (MA);583;686;782
Bom Jardim (MA);3815;2691;3029
Bom Jesus das Selvas (MA);9916;8249;9252
Bom Lugar (MA);1125;1378;1236
Brejo (MA);893;792;781
Brejo de Areia (MA);879;910;1090
Buriti (MA);995;867;836
Buriti Bravo (MA);464;485;530
Buriticupu (MA);8215;6915;7651
Buritirana (MA);3607;4287;4570
Cachoeira Grande (MA);61;61;72
Cajapió (MA);289;304;175
Cajari (MA);496;547;483
Campestre do Maranhão (MA);2385;3137;3132
Cândido Mendes (MA);660;640;686
Cantanhede (MA);650;659;753
Capinzal do Norte (MA);4536;4930;6047
Carolina (MA);2950;2833;2740
Carutapera (MA);984;983;1092
Caxias (MA);1181;1132;1153
Cedral (MA);35;39;40
Central do Maranhão (MA);95;113;114
Centro do Guilherme (MA);4127;3395;4024
Centro Novo do Maranhão (MA);6515;6557;7732
Chapadinha (MA);1219;1191;1062
Cidelândia (MA);7779;7448;7967
Codó (MA);1375;1382;1209
Coelho Neto (MA);174;173;153
Colinas (MA);2707;2414;2424
Conceição do Lago-Açu (MA);731;821;746
Coroatá (MA);871;932;843
Cururupu (MA);61;63;74
Davinópolis (MA);1422;1372;1802
Dom Pedro (MA);1761;1490;1608
Duque Bacelar (MA);66;64;72
Esperantinópolis (MA);3078;3418;4424
Estreito (MA);7905;8992;10234
Feira Nova do Maranhão (MA);551;554;650
Fernando Falcão (MA);320;369;434
Formosa da Serra Negra (MA);1129;1318;1520
Fortaleza dos Nogueiras (MA);1615;1792;2152
Fortuna (MA);2238;2122;2556
Godofredo Viana (MA);259;263;304
Gonçalves Dias (MA);1579;1487;1740
Governador Archer (MA);1421;1191;1335
Governador Edison Lobão (MA);2476;2688;3066
Governador Eugênio Barros (MA);1460;1246;1584
Governador Luiz Rocha (MA);680;646;811
Governador Newton Bello (MA);2546;1962;2765
Governador Nunes Freire (MA);2985;3741;4685
Graça Aranha (MA);325;316;418
Grajaú (MA);5116;5125;5193
Guimarães (MA);97;109;124
Humberto de Campos (MA);479;440;464
Icatu (MA);100;99;109
Igarapé do Meio (MA);738;588;763
Igarapé Grande (MA);1309;1480;1885
Imperatriz (MA);7650;7293;7893
Itaipava do Grajaú (MA);1283;1031;1274
Itapecuru Mirim (MA);2889;2829;3306
Itinga do Maranhão (MA);8761;9414;9045
Jatobá (MA);518;506;762
Jenipapo dos Vieiras (MA);2112;2372;3069
João Lisboa (MA);5739;6151;6465
Joselândia (MA);3267;3755;4660
Junco do Maranhão (MA);2511;2865;3791
Lago da Pedra (MA);2965;3007;2065
Lago do Junco (MA);559;641;849
Lago Verde (MA);544;683;814
Lagoa do Mato (MA);547;554;635
Lago dos Rodrigues (MA);1079;1220;1485
Lagoa Grande do Maranhão (MA);672;756;819
Lajeado Novo (MA);2577;3095;2995
Lima Campos (MA);812;927;1127
Loreto (MA);252;252;322
Luís Domingues (MA);614;683;652
Magalhães de Almeida (MA);727;582;815
Maracaçumé (MA);3705;3366;4299
Marajá do Sena (MA);676;674;559
Maranhãozinho (MA);4189;4488;5012
Mata Roma (MA);206;192;184
Matinha (MA);1150;1293;1052
Matões (MA);550;558;677
Matões do Norte (MA);1196;1187;1353
Milagres do Maranhão (MA);741;675;636
Mirador (MA);1449;1684;2138
Miranda do Norte (MA);2054;2079;2172
Mirinzal (MA);60;67;81
Monção (MA);2917;3107;3647
Montes Altos (MA);3037;2935;3006
Morros (MA);166;161;211
Nina Rodrigues (MA);148;151;176
Nova Colinas (MA);564;593;677
Nova Iorque (MA);428;400;434
Nova Olinda do Maranhão (MA);3575;3772;4533
Olho d'Água das Cunhãs (MA);1814;1645;1854
Olinda Nova do Maranhão (MA);487;525;490
Paço do Lumiar (MA);411;392;365
Palmeirândia (MA);333;393;379
Paraibano (MA);1095;1103;1227
Parnarama (MA);1396;1437;1250
Passagem Franca (MA);807;801;866
Pastos Bons (MA);1105;1224;1337
Paulino Neves (MA);313;267;349
Paulo Ramos (MA);1272;1331;1363
Pedreiras (MA);6838;7447;9295
Pedro do Rosário (MA);929;1049;899
Penalva (MA);696;794;735
Peri Mirim (MA);442;496;536
Peritoró (MA);380;329;333
Pindaré-Mirim (MA);2510;1847;2221
Pinheiro (MA);1127;1223;1318
Pio XII (MA);598;723;858
Pirapemas (MA);890;872;907
Poção de Pedras (MA);6193;7153;8927
Porto Franco (MA);9437;11120;10670
Porto Rico do Maranhão (MA);137;143;147
Presidente Dutra (MA);5979;5539;5394
Presidente Juscelino (MA);187;170;211
Presidente Médici (MA);2892;3919;4064
Presidente Sarney (MA);568;585;607
Presidente Vargas (MA);74;79;90
Primeira Cruz (MA);183;165;184
Raposa (MA);49;47;48
Riachão (MA);1353;1416;1607
Ribamar Fiquene (MA);3186;3378;3641
Rosário (MA);347;342;417
Sambaíba (MA);388;445;459
Santa Filomena do Maranhão (MA);1089;1090;1310
Santa Helena (MA);1047;918;946
Santa Inês (MA);3408;2593;3324
Santa Luzia (MA);5941;7089;7212
Santa Luzia do Paruá (MA);6972;7239;7842
Santa Quitéria do Maranhão (MA);524;547;684
Santa Rita (MA);439;436;431
Santana do Maranhão (MA);342;306;330
Santo Amaro do Maranhão (MA);153;140;153
Santo Antônio dos Lopes (MA);2884;3158;3736
São Benedito do Rio Preto (MA);408;381;339
São Bento (MA);696;735;816
São Bernardo (MA);566;547;736
São Domingos do Azeitão (MA);644;603;630
São Domingos do Maranhão (MA);3470;2866;3003
São Félix de Balsas (MA);765;724;852
São Francisco do Brejão (MA);9203;8732;8742
São Francisco do Maranhão (MA);1190;1157;1223
São João Batista (MA);403;444;1342
São João do Carú (MA);506;382;496
São João do Paraíso (MA);6375;7784;8221
São João do Soter (MA);224;210;224
São João dos Patos (MA);1228;1062;1230
São José de Ribamar (MA);157;137;160
São José dos Basílios (MA);539;528;708
São Luís (MA);579;592;535
São Luís Gonzaga do Maranhão (MA);2135;2277;1576
São Mateus do Maranhão (MA);768;704;539
São Pedro da Água Branca (MA);1885;2049;1858
São Pedro dos Crentes (MA);2033;2221;2870
São Raimundo das Mangabeiras (MA);600;630;545
São Raimundo do Doca Bezerra (MA);1606;1824;2248
São Roberto (MA);1185;1294;1597
São Vicente Ferrer (MA);519;550;342
Satubinha (MA);512;525;594
Senador Alexandre Costa (MA);740;718;759
Senador La Rocque (MA);8147;9045;9816
Serrano do Maranhão (MA);52;64;73
Sítio Novo (MA);6401;8247;8864
Sucupira do Norte (MA);981;916;976
Sucupira do Riachão (MA);650;620;671
Tasso Fragoso (MA);355;397;395
Timbiras (MA);365;346;309
Timon (MA);1169;1267;1458
Trizidela do Vale (MA);5757;6602;7499
Tufilândia (MA);1306;1428;1675
Tuntum (MA);3792;3786;3167
Turiaçu (MA);782;850;973
Turilândia (MA);2072;1985;1842
Tutóia (MA);363;301;441
Urbano Santos (MA);636;377;328
Vargem Grande (MA);856;932;1158
Viana (MA);1860;2125;2465
Vila Nova dos Martírios (MA);5910;7203;6644
Vitória do Mearim (MA);1358;1404;783
Vitorino Freire (MA);2112;2400;1800
Zé Doca (MA);6169;4276;4997
Acauã (PI);1515;1437;1712
Agricolândia (PI);269;248;247
Água Branca (PI);594;602;627
Alagoinha do Piauí (PI);992;730;730
Alegrete do Piauí (PI);656;533;629
Alto Longá (PI);608;714;772
Altos (PI);894;964;978
Alvorada do Gurguéia (PI);488;575;616
Amarante (PI);1083;1249;1324
Angical do Piauí (PI);457;439;448
Anísio de Abreu (PI);872;1393;1828
Antônio Almeida (PI);123;151;160
Aroazes (PI);937;971;1089
Aroeiras do Itaim (PI);597;549;567
Arraial (PI);207;259;267
Assunção do Piauí (PI);506;581;589
Avelino Lopes (PI);752;785;789
Baixa Grande do Ribeiro (PI);715;830;906
Barra D'Alcântara (PI);311;353;379
Barras (PI);2953;3184;3578
Barreiras do Piauí (PI);320;312;346
Barro Duro (PI);369;368;377
Batalha (PI);950;1170;1167
Bela Vista do Piauí (PI);2365;2713;2062
Belém do Piauí (PI);351;387;480
Beneditinos (PI);473;556;600
Bertolínia (PI);526;646;690
Betânia do Piauí (PI);582;520;474
Boa Hora (PI);189;206;203
Bocaina (PI);369;296;325
Bom Jesus (PI);1681;1961;2103
Bom Princípio do Piauí (PI);1257;1248;1365
Bonfim do Piauí (PI);186;606;335
Boqueirão do Piauí (PI);155;181;192
Brasileira (PI);557;770;660
Brejo do Piauí (PI);538;845;789
Buriti dos Lopes (PI);1072;1075;1168
Buriti dos Montes (PI);440;517;565
Cabeceiras do Piauí (PI);562;659;677
Cajazeiras do Piauí (PI);506;495;494
Cajueiro da Praia (PI);349;372;392
Caldeirão Grande do Piauí (PI);526;475;539
Campinas do Piauí (PI);1969;2037;1709
Campo Alegre do Fidalgo (PI);295;292;299
Campo Grande do Piauí (PI);1210;1451;1086
Campo Largo do Piauí (PI);212;233;232
Campo Maior (PI);2986;3990;4105
Canavieira (PI);439;534;576
Canto do Buriti (PI);2091;2333;2485
Capitão de Campos (PI);173;263;274
Capitão Gervásio Oliveira (PI);356;347;336
Caracol (PI);650;721;787
Caraúbas do Piauí (PI);2899;2816;3099
Caridade do Piauí (PI);447;344;401
Castelo do Piauí (PI);913;1049;1148
