Tabela 6579 - População residente estimada;;;
Ano;Cód.;Município;População residente estimada (Pessoas)
2002;1600279;Laranjal do Jari (AP);30986
2002;1600303;Macapá (AP);306583
2002;1600402;Mazagão (AP);12633
2002;1600501;Oiapoque (AP);14008
2002;1600535;Porto Grande (AP);12262
2002;1600550;Pracuúba (AP);2468
2002;1600600;Santana (AP);87478
2002;1600709;Tartarugalzinho (AP);7632
2002;1600808;Vitória do Jari (AP);9393
2002;1700251;Abreulândia (TO);2247
2002;1700301;Aguiarnópolis (TO);3289
2002;1700350;Aliança do Tocantins (TO);6266
2002;1700400;Almas (TO);8647
2002;1700707;Alvorada (TO);8443
2002;1701002;Ananás (TO);10980
2002;1701051;Angico (TO);2892
2002;1701101;Aparecida do Rio Negro (TO);3570
2002;1701309;Aragominas (TO);6873
2002;1701903;Araguacema (TO);5611
2002;1702000;Araguaçu (TO);9234
2002;1702109;Araguaína (TO);117972
2002;1702158;Araguanã (TO);4619
2002;1702208;Araguatins (TO);27128
2002;1702307;Arapoema (TO);6916
2002;1702406;Arraias (TO);10977
2002;1702554;Augustinópolis (TO);13522
2002;1702703;Aurora do Tocantins (TO);3023
2002;1702901;Axixá do Tocantins (TO);8584
2002;1703008;Babaçulândia (TO);10593
2002;1703057;Bandeirantes do Tocantins (TO);2617
2002;1703073;Barra do Ouro (TO);3635
2002;1703107;Barrolândia (TO);4916
2002;1703206;Bernardo Sayão (TO);4601
2002;1703305;Bom Jesus do Tocantins (TO);2289
2002;1703602;Brasilândia do Tocantins (TO);1968
2002;1703701;Brejinho de Nazaré (TO);4655
2002;1703800;Buriti do Tocantins (TO);7889
2002;1703826;Cachoeirinha (TO);2139
2002;1703842;Campos Lindos (TO);6113
2002;1703867;Cariri do Tocantins (TO);3042
2002;1703883;Carmolândia (TO);2054
2002;1703891;Carrasco Bonito (TO);3575
2002;1703909;Caseara (TO);3846
2002;1704105;Centenário (TO);2211
2002;1704600;Chapada de Areia (TO);1245
2002;1705102;Chapada da Natividade (TO);3400
2002;1705508;Colinas do Tocantins (TO);26202
2002;1705557;Combinado (TO);4451
2002;1705607;Conceição do Tocantins (TO);4433
2002;1706001;Couto Magalhães (TO);4209
2002;1706100;Cristalândia (TO);7188
2002;1706258;Crixás do Tocantins (TO);1437
2002;1706506;Darcinópolis (TO);4480
2002;1707009;Dianópolis (TO);15952
2002;1707108;Divinópolis do Tocantins (TO);5879
2002;1707207;Dois Irmãos do Tocantins (TO);7126
2002;1707306;Dueré (TO);4605
2002;1707405;Esperantina (TO);8180
2002;1707553;Fátima (TO);3836
2002;1707652;Figueirópolis (TO);5449
2002;1707702;Filadélfia (TO);8371
2002;1708205;Formoso do Araguaia (TO);19239
2002;1708254;Fortaleza do Tabocão (TO);2425
2002;1708304;Goianorte (TO);4773
2002;1709005;Goiatins (TO);10962
2002;1709302;Guaraí (TO);20347
2002;1709500;Gurupi (TO);67254
2002;1709807;Ipueiras (TO);1171
2002;1710508;Itacajá (TO);6745
2002;1710706;Itaguatins (TO);6477
2002;1710904;Itapiratins (TO);3373
2002;1711100;Itaporã do Tocantins (TO);2284
2002;1711506;Jaú do Tocantins (TO);3171
2002;1711803;Juarina (TO);2428
2002;1711902;Lagoa da Confusão (TO);7003
2002;1711951;Lagoa do Tocantins (TO);2643
2002;1712009;Lajeado (TO);2677
2002;1712157;Lavandeira (TO);1213
2002;1712405;Lizarda (TO);3707
2002;1712454;Luzinópolis (TO);2154
2002;1712504;Marianópolis do Tocantins (TO);3542
2002;1712702;Mateiros (TO);1733
2002;1712801;Maurilândia do Tocantins (TO);3045
2002;1713205;Miracema do Tocantins (TO);25524
2002;1713304;Miranorte (TO);11990
2002;1713601;Monte do Carmo (TO);4909
2002;1713700;Monte Santo do Tocantins (TO);1892
2002;1713809;Palmeiras do Tocantins (TO);4994
2002;1713957;Muricilândia (TO);2665
2002;1714203;Natividade (TO);9122
2002;1714302;Nazaré (TO);5360
2002;1714880;Nova Olinda (TO);9746
2002;1715002;Nova Rosalândia (TO);3214
2002;1715101;Novo Acordo (TO);3183
2002;1715150;Novo Alegre (TO);2359
2002;1715259;Novo Jardim (TO);2284
2002;1715507;Oliveira de Fátima (TO);981
2002;1715705;Palmeirante (TO);3626
2002;1715754;Palmeirópolis (TO);6595
2002;1716109;Paraíso do Tocantins (TO);37892
2002;1716208;Paranã (TO);10300
2002;1716307;Pau D'Arco (TO);4436
2002;1716505;Pedro Afonso (TO);9025
2002;1716604;Peixe (TO);8739
2002;1716653;Pequizeiro (TO);4865
2002;1716703;Colméia (TO);9482
2002;1717008;Pindorama do Tocantins (TO);4629
2002;1717206;Piraquê (TO);3089
2002;1717503;Pium (TO);5132
2002;1717800;Ponte Alta do Bom Jesus (TO);4481
2002;1717909;Ponte Alta do Tocantins (TO);6155
2002;1718006;Porto Alegre do Tocantins (TO);2454
2002;1718204;Porto Nacional (TO);45603
2002;1718303;Praia Norte (TO);7278
2002;1718402;Presidente Kennedy (TO);3799
2002;1718451;Pugmil (TO);2183
2002;1718501;Recursolândia (TO);3354
2002;1718550;Riachinho (TO);3693
2002;1718659;Rio da Conceição (TO);1286
2002;1718709;Rio dos Bois (TO);2430
2002;1718758;Rio Sono (TO);5899
2002;1718808;Sampaio (TO);2701
2002;1718840;Sandolândia (TO);3437
