Tabela 5938 - Produto interno bruto a preços correntes, impostos, líquidos de subsídios, sobre produtos a preços correntes e valor adicionado bruto a preços correntes total e por atividade econômica, e respectivas participações - Referência 2010;;;;;;;;;
Ano;Cód.;Microrregião Geográfica;Produto Interno Bruto a preços correntes (Mil Reais);Participação do produto interno bruto a preços correntes no produto interno bruto a preços correntes da microrregião geográfica (%);Participação do produto interno bruto a preços correntes no produto interno bruto a preços correntes da mesorregião geográfica (%);Participação do valor adicionado bruto a preços correntes da agropecuária no valor adicionado bruto a preços correntes total (%);Participação do valor adicionado bruto a preços correntes da indústria no valor adicionado bruto a preços correntes total (%);Participação do valor adicionado bruto a preços correntes dos serviços, exclusive administração, defesa, educação e saúde públicas e seguridade social, no valor adicionado bruto a preços correntes total (%);Participação do valor adicionado bruto a preços correntes da administração, defesa, educação e saúde públicas e seguridade social no valor adicionado bruto a preços correntes total (%)
2002;23030;Caririaçu (CE);90929;-;4,7;18,91;4,72;21,71;54,66
2002;23031;Barro (CE);167391;-;8,66;31,36;5,47;23,79;39,38
2002;23032;Cariri (CE);1342893;-;69,47;5,85;20,05;45,22;28,88
2002;23033;Brejo Santo (CE);180060;-;9,32;20,18;8,29;32,27;39,27
2002;24001;Mossoró (RN);2153362;-;55,09;4,73;47,27;30,89;17,12
2002;24002;Chapada do Apodi (RN);391162;-;10,01;6,41;52,6;19,96;21,02
2002;24003;Médio Oeste (RN);121751;-;3,11;10,97;31,77;17,62;39,64
2002;24004;Vale do Açu (RN);719845;-;18,41;6,59;52,3;19,89;21,22
2002;24005;Serra de São Miguel (RN);119482;-;3,06;10,08;5,22;21,81;62,88
2002;24006;Pau dos Ferros (RN);270065;-;6,91;8,99;10,34;29,28;51,39
2002;24007;Umarizal (RN);133350;-;3,41;7,96;8,08;26,1;57,86
2002;24008;Macau (RN);460240;-;34,71;4,09;55,98;25,72;14,2
2002;24009;Angicos (RN);119639;-;9,02;5,43;14,06;25,83;54,68
2002;24010;Serra de Santana (RN);130023;-;9,81;14;7,65;21,24;57,11
2002;24011;Seridó Ocidental (RN);285207;-;21,51;7,01;10,66;42,51;39,82
2002;24012;Seridó Oriental (RN);330823;-;24,95;7,19;17,08;32,5;43,23
2002;24013;Baixa Verde (RN);121692;-;14,55;9,41;7,05;28,33;55,21
2002;24014;Borborema Potiguar (RN);268706;-;32,13;9,59;8,84;24,58;56,99
2002;24015;Agreste Potiguar (RN);445798;-;53,31;11,01;9,97;23,5;55,52
2002;24016;Litoral Nordeste (RN);180518;-;2,41;20,64;7,05;19,22;53,09
2002;24017;Macaíba (RN);1181757;-;15,77;4,88;39,05;26,96;29,11
2002;24018;Natal (RN);5793960;-;77,3;0,46;23,4;55,28;20,87
2002;24019;Litoral Sul (RN);339425;-;4,53;20,28;12,4;24,05;43,26
2002;25001;Catolé do Rocha (PB);225134;-;11,86;7,56;6,34;35,62;50,48
2002;25002;Cajazeiras (PB);391591;-;20,63;8,95;6,89;38,18;45,98
2002;25003;Sousa (PB);423028;-;22,29;12,92;7,64;35,41;44,03
2002;25004;Patos (PB);338237;-;17,82;4,21;11,75;45,56;38,48
2002;25005;Piancó (PB);138593;-;7,3;16,82;4,34;24,83;54,01
2002;25006;Itaporanga (PB);167388;-;8,82;16,27;4,81;28,19;50,73
2002;25007;Serra do Teixeira (PB);213855;-;11,27;22,54;3,18;21,11;53,17
2002;25008;Seridó Ocidental Paraibano (PB);81309;-;13,84;7,78;8,25;31,35;52,63
2002;25009;Seridó Oriental Paraibano (PB);138280;-;23,54;11,63;6,93;26,34;55,11
2002;25010;Cariri Ocidental (PB);235835;-;40,15;13,17;4,87;29,17;52,79
2002;25011;Cariri Oriental (PB);132005;-;22,47;18,69;6,25;22,58;52,48
2002;25012;Curimataú Ocidental (PB);220935;-;6,33;12,51;5,36;28,69;53,44
