Tabela 5457 - Área plantada ou destinada à colheita, área colhida, quantidade produzida, rendimento médio e valor da produção das lavouras temporárias e permanentes;;;
Variável - Valor da produção (Mil Reais);;;
Produto das lavouras temporárias e permanentes - Total;;;
;Ano;;
Ipixuna do Pará (PA);73477;41157;67363
Irituia (PA);11669;26472;26458
Itaituba (PA);91216;145791;83549
Itupiranga (PA);47522;45465;48963
Jacareacanga (PA);11622;9998;22984
Jacundá (PA);8470;8984;12740
Juruti (PA);134750;24982;46932
Limoeiro do Ajuru (PA);1351;102971;32302
Mãe do Rio (PA);7498;10756;17573
Magalhães Barata (PA);4509;6801;7083
Marabá (PA);62273;60008;59134
Maracanã (PA);6670;8262;12078
Marapanim (PA);8287;4917;13530
Marituba (PA);...;...;...
Medicilândia (PA);337377;413537;347354
Melgaço (PA);241;358;19575
Mocajuba (PA);16958;33613;54603
Moju (PA);85504;204281;201352
Mojuí dos Campos (PA);121925;68357;69633
Monte Alegre (PA);95052;109372;98439
Muaná (PA);1021;5949;87626
Nova Esperança do Piriá (PA);20836;46311;35036
Nova Ipixuna (PA);5204;5892;5435
Nova Timboteua (PA);15836;15150;26138
Novo Progresso (PA);20756;22063;88591
Novo Repartimento (PA);166060;148541;197466
Óbidos (PA);40693;48723;62672
Oeiras do Pará (PA);30207;92524;120003
Oriximiná (PA);57153;55764;61382
Ourém (PA);12930;13350;16349
Ourilândia do Norte (PA);6221;9273;11142
Pacajá (PA);59074;58422;55991
Palestina do Pará (PA);3535;3207;7932
Paragominas (PA);189587;367862;559681
Parauapebas (PA);105621;77556;103193
Pau D'Arco (PA);1815;2552;6772
Peixe-Boi (PA);5369;5442;8152
Piçarra (PA);14794;20090;19701
Placas (PA);82192;93627;108488
Ponta de Pedras (PA);359;19550;21543
Portel (PA);6861;15645;150752
Porto de Moz (PA);8148;7742;10097
Prainha (PA);15589;10663;26390
Primavera (PA);4628;4634;6632
Quatipuru (PA);1528;1329;3882
Redenção (PA);20640;37047;50270
Rio Maria (PA);6153;14669;18028
Rondon do Pará (PA);86866;53098;161547
Rurópolis (PA);38948;39165;36699
Salinópolis (PA);3712;3443;3263
Salvaterra (PA);13681;12556;15748
Santa Bárbara do Pará (PA);428;251;253
Santa Izabel do Pará (PA);3417;14350;14529
Santa Luzia do Pará (PA);14095;18818;11358
Santa Maria das Barreiras (PA);32106;50801;66197
Santa Maria do Pará (PA);43537;28611;43074
