Tabela 793 - População residente;;;
Variável - População residente (Pessoas);;;
ano;cod;mun;pop
2007;1506583;Santa Maria das Barreiras (PA);16012
2007;1506609;Santa Maria do Pará (PA);22147
2007;1506708;Santana do Araguaia (PA);49053
2007;1506807;Santarém (PA);274285
2007;1506906;Santarém Novo (PA);6007
2007;1507003;Santo Antônio do Tauá (PA);24814
2007;1507102;São Caetano de Odivelas (PA);16179
2007;1507151;São Domingos do Araguaia (PA);21094
2007;1507201;São Domingos do Capim (PA);27094
2007;1507300;São Félix do Xingu (PA);59238
2007;1507409;São Francisco do Pará (PA);11913
2007;1507458;São Geraldo do Araguaia (PA);24872
2007;1507466;São João da Ponta (PA);4715
2007;1507474;São João de Pirabas (PA);18919
2007;1507508;São João do Araguaia (PA);11673
2007;1507607;São Miguel do Guamá (PA);42987
2007;1507706;São Sebastião da Boa Vista (PA);20500
2007;1507755;Sapucaia (PA);5117
2007;1507805;Senador José Porfírio (PA);14302
2007;1507904;Soure (PA);21395
2007;1507953;Tailândia (PA);64281
2007;1507961;Terra Alta (PA);9861
2007;1507979;Terra Santa (PA);15316
2007;1508001;Tomé-Açu (PA);47081
2007;1508035;Tracuateua (PA);26129
2007;1508050;Trairão (PA);16097
2007;1508084;Tucumã (PA);26513
2007;1508100;Tucuruí (PA);89264
2007;1508126;Ulianópolis (PA);31881
2007;1508159;Uruará (PA);35076
2007;1508209;Vigia (PA);43847
2007;1508308;Viseu (PA);53217
2007;1508357;Vitória do Xingu (PA);9693
2007;1508407;Xinguara (PA);38457
2007;1600055;Serra do Navio (AP);3772
2007;1600105;Amapá (AP);7492
2007;1600154;Pedra Branca do Amapari (AP);7332
2007;1600204;Calçoene (AP);8656
2007;1600212;Cutias (AP);4320
2007;1600238;Ferreira Gomes (AP);5040
2007;1600253;Itaubal (AP);3439
2007;1600279;Laranjal do Jari (AP);37491
2007;1600303;Macapá (AP);344153
2007;1600402;Mazagão (AP);13862
2007;1600501;Oiapoque (AP);19181
2007;1600535;Porto Grande (AP);13962
2007;1600550;Pracuúba (AP);3353
2007;1600600;Santana (AP);92098
2007;1600709;Tartarugalzinho (AP);12395
2007;1600808;Vitória do Jari (AP);10765
2007;1700251;Abreulândia (TO);2245
2007;1700301;Aguiarnópolis (TO);3995
2007;1700350;Aliança do Tocantins (TO);5701
2007;1700400;Almas (TO);7488
2007;1700707;Alvorada (TO);7976
2007;1701002;Ananás (TO);9358
2007;1701051;Angico (TO);3169
2007;1701101;Aparecida do Rio Negro (TO);4018
2007;1701309;Aragominas (TO);5469
2007;1701903;Araguacema (TO);5423
2007;1702000;Araguaçu (TO);8989
2007;1702109;Araguaína (TO);115759
2007;1702158;Araguanã (TO);5000
2007;1702208;Araguatins (TO);25973
2007;1702307;Arapoema (TO);6839
2007;1702406;Arraias (TO);10626
2007;1702554;Augustinópolis (TO);14800
2007;1702703;Aurora do Tocantins (TO);3385
2007;1702901;Axixá do Tocantins (TO);8917
2007;1703008;Babaçulândia (TO);10372
2007;1703057;Bandeirantes do Tocantins (TO);2711
2007;1703073;Barra do Ouro (TO);3581
2007;1703107;Barrolândia (TO);5155
2007;1703206;Bernardo Sayão (TO);4518
2007;1703305;Bom Jesus do Tocantins (TO);2710
2007;1703602;Brasilândia do Tocantins (TO);2119
2007;1703701;Brejinho de Nazaré (TO);5295
2007;1703800;Buriti do Tocantins (TO);8164
2007;1703826;Cachoeirinha (TO);2171
2007;1703842;Campos Lindos (TO);7615
2007;1703867;Cariri do Tocantins (TO);3562
2007;1703883;Carmolândia (TO);2313
2007;1703891;Carrasco Bonito (TO);3314
2007;1703909;Caseara (TO);4667
2007;1704105;Centenário (TO);2386
2007;1704600;Chapada de Areia (TO);1239
2007;1705102;Chapada da Natividade (TO);3680
2007;1705508;Colinas do Tocantins (TO);29298
2007;1705557;Combinado (TO);4878
2007;1705607;Conceição do Tocantins (TO);4402
2007;1706001;Couto Magalhães (TO);4887
2007;1706100;Cristalândia (TO);6520
2007;1706258;Crixás do Tocantins (TO);1264
2007;1706506;Darcinópolis (TO);5130
2007;1707009;Dianópolis (TO);18584
2007;1707108;Divinópolis do Tocantins (TO);6359
2007;1707207;Dois Irmãos do Tocantins (TO);7060
2007;1707306;Dueré (TO);4489
2007;1707405;Esperantina (TO);8134
2007;1707553;Fátima (TO);3984
2007;1707652;Figueirópolis (TO);4820
2007;1707702;Filadélfia (TO);7787
2007;1708205;Formoso do Araguaia (TO);18225
2007;1708254;Fortaleza do Tabocão (TO);2101
2007;1708304;Goianorte (TO);5221
2007;1709005;Goiatins (TO);11639
2007;1709302;Guaraí (TO);21669
2007;1709500;Gurupi (TO);71413
2007;1709807;Ipueiras (TO);1698
2007;1710508;Itacajá (TO);6386
2007;1710706;Itaguatins (TO);6074
2007;1710904;Itapiratins (TO);3421
2007;1711100;Itaporã do Tocantins (TO);2989
2007;1711506;Jaú do Tocantins (TO);3789
2007;1711803;Juarina (TO);2141
2007;1711902;Lagoa da Confusão (TO);8220
2007;1711951;Lagoa do Tocantins (TO);3179
2007;1712009;Lajeado (TO);2159
2007;1712157;Lavandeira (TO);1590
2007;1712405;Lizarda (TO);3634
2007;1712454;Luzinópolis (TO);2784
2007;1712504;Marianópolis do Tocantins (TO);4473
2007;1712702;Mateiros (TO);1737
2007;1712801;Maurilândia do Tocantins (TO);3185
2007;1713205;Miracema do Tocantins (TO);19683
2007;1713304;Miranorte (TO);11858
2007;1713601;Monte do Carmo (TO);6387
2007;1713700;Monte Santo do Tocantins (TO);1858
2007;1713809;Palmeiras do Tocantins (TO);4542
2007;1713957;Muricilândia (TO);2850
2007;1714203;Natividade (TO);9090
2007;1714302;Nazaré (TO);4528
2007;1714880;Nova Olinda (TO);10518
2007;1715002;Nova Rosalândia (TO);3772
2007;1715101;Novo Acordo (TO);3754
2007;1715150;Novo Alegre (TO);1801
2007;1715259;Novo Jardim (TO);2419
2007;1715507;Oliveira de Fátima (TO);1081
2007;1715705;Palmeirante (TO);4689
2007;1715754;Palmeirópolis (TO);8120
2007;1716109;Paraíso do Tocantins (TO);40290
2007;1716208;Paranã (TO);10491
2007;1716307;Pau D'Arco (TO);4767
2007;1716505;Pedro Afonso (TO);10294
2007;1716604;Peixe (TO);8750
2007;1716653;Pequizeiro (TO);4799
2007;1716703;Colméia (TO);8759
2007;1717008;Pindorama do Tocantins (TO);4397
2007;1717206;Piraquê (TO);3014
2007;1717503;Pium (TO);6403
2007;1717800;Ponte Alta do Bom Jesus (TO);4529
2007;1717909;Ponte Alta do Tocantins (TO);6569
2007;1718006;Porto Alegre do Tocantins (TO);2830
2007;1718204;Porto Nacional (TO);45289
2007;1718303;Praia Norte (TO);7060
2007;1718402;Presidente Kennedy (TO);3680
2007;1718451;Pugmil (TO);2165
2007;1718501;Recursolândia (TO);3665
2007;1718550;Riachinho (TO);3691
2007;1718659;Rio da Conceição (TO);1454
2007;1718709;Rio dos Bois (TO);2092
2007;1718758;Rio Sono (TO);6167
2007;1718808;Sampaio (TO);3672
2007;1718840;Sandolândia (TO);3443
2007;1718865;Santa Fé do Araguaia (TO);5610
2007;1718881;Santa Maria do Tocantins (TO);2673
2007;1718899;Santa Rita do Tocantins (TO);2260
2007;1718907;Santa Rosa do Tocantins (TO);4417
2007;1719004;Santa Tereza do Tocantins (TO);2297
2007;1720002;Santa Terezinha do Tocantins (TO);2291
2007;1720101;São Bento do Tocantins (TO);4447
2007;1720150;São Félix do Tocantins (TO);1409
2007;1720200;São Miguel do Tocantins (TO);10221
2007;1720259;São Salvador do Tocantins (TO);3012
2007;1720309;São Sebastião do Tocantins (TO);4244
2007;1720499;São Valério (TO);4885
2007;1720655;Silvanópolis (TO);5098
2007;1720804;Sítio Novo do Tocantins (TO);9302
2007;1720853;Sucupira (TO);1667
2007;1720903;Taguatinga (TO);14110
2007;1720937;Taipas do Tocantins (TO);1916
2007;1720978;Talismã (TO);2555
2007;1721000;Palmas (TO);178386
2007;1721109;Tocantínia (TO);6663
2007;1721208;Tocantinópolis (TO);21334
2007;1721257;Tupirama (TO);1405
2007;1721307;Tupiratins (TO);2007
2007;1722081;Wanderlândia (TO);9317
2007;1722107;Xambioá (TO);10856
2007;2100055;Açailândia (MA);97034
2007;2100105;Afonso Cunha (MA);5651
2007;2100154;Água Doce do Maranhão (MA);11829
2007;2100204;Alcântara (MA);21349
2007;2100303;Aldeias Altas (MA);21645
2007;2100402;Altamira do Maranhão (MA);7365
2007;2100436;Alto Alegre do Maranhão (MA);22002
2007;2100477;Alto Alegre do Pindaré (MA);31992
2007;2100501;Alto Parnaíba (MA);10304
2007;2100550;Amapá do Maranhão (MA);6168
2007;2100600;Amarante do Maranhão (MA);35727
2007;2100709;Anajatuba (MA);23941
2007;2100808;Anapurus (MA);12580
2007;2100832;Apicum-Açu (MA);13216
2007;2100873;Araguanã (MA);9918
2007;2100907;Araioses (MA);37655
2007;2100956;Arame (MA);27229
2007;2101004;Arari (MA);27753
2007;2101103;Axixá (MA);14249
2007;2101202;Bacabal (MA);95124
2007;2101251;Bacabeira (MA);14611
2007;2101301;Bacuri (MA);16026
2007;2101350;Bacurituba (MA);5425
2007;2101400;Balsas (MA);78845
2007;2101509;Barão de Grajaú (MA);16565
2007;2101608;Barra do Corda (MA);78718
2007;2101707;Barreirinhas (MA);47850
2007;2101731;Belágua (MA);5717
2007;2101772;Bela Vista do Maranhão (MA);8603
2007;2101806;Benedito Leite (MA);5387
2007;2101905;Bequimão (MA);20735
2007;2101939;Bernardo do Mearim (MA);5972
2007;2101970;Boa Vista do Gurupi (MA);7385
2007;2102002;Bom Jardim (MA);37659
2007;2102036;Bom Jesus das Selvas (MA);23827
2007;2102077;Bom Lugar (MA);12825
2007;2102101;Brejo (MA);31049
2007;2102150;Brejo de Areia (MA);5803
2007;2102200;Buriti (MA);25274
2007;2102309;Buriti Bravo (MA);22279
2007;2102325;Buriticupu (MA);61480
2007;2102358;Buritirana (MA);12596
2007;2102374;Cachoeira Grande (MA);8831
2007;2102408;Cajapió (MA);9982
2007;2102507;Cajari (MA);12842
2007;2102556;Campestre do Maranhão (MA);12246
2007;2102606;Cândido Mendes (MA);18820
2007;2102705;Cantanhede (MA);18827
2007;2102754;Capinzal do Norte (MA);10385
2007;2102804;Carolina (MA);24442
2007;2102903;Carutapera (MA);20285
2007;2103000;Caxias (MA);143197
2007;2103109;Cedral (MA);9841
2007;2103125;Central do Maranhão (MA);8776
2007;2103158;Centro do Guilherme (MA);7094
2007;2103174;Centro Novo do Maranhão (MA);15127
2007;2103208;Chapadinha (MA);67649
2007;2103257;Cidelândia (MA);12407
2007;2103307;Codó (MA);110574
2007;2103406;Coelho Neto (MA);44031
2007;2103505;Colinas (MA);35692
2007;2103554;Conceição do Lago-Açu (MA);14063
2007;2103604;Coroatá (MA);60589
2007;2103703;Cururupu (MA);34018
2007;2103752;Davinópolis (MA);11786
2007;2103802;Dom Pedro (MA);21479
2007;2103901;Duque Bacelar (MA);10384
2007;2104008;Esperantinópolis (MA);18569
2007;2104057;Estreito (MA);26490
2007;2104073;Feira Nova do Maranhão (MA);7648
2007;2104081;Fernando Falcão (MA);8105
2007;2104099;Formosa da Serra Negra (MA);16882
2007;2104107;Fortaleza dos Nogueiras (MA);11578
2007;2104206;Fortuna (MA);14486
2007;2104305;Godofredo Viana (MA);10452
2007;2104404;Gonçalves Dias (MA);16444
2007;2104503;Governador Archer (MA);9920
2007;2104552;Governador Edison Lobão (MA);14086
2007;2104602;Governador Eugênio Barros (MA);15857
2007;2104628;Governador Luiz Rocha (MA);6884
2007;2104651;Governador Newton Bello (MA);11346
2007;2104677;Governador Nunes Freire (MA);24012
2007;2104701;Graça Aranha (MA);6254
2007;2104800;Grajaú (MA);54135
2007;2104909;Guimarães (MA);12387
2007;2105005;Humberto de Campos (MA);24275
2007;2105104;Icatu (MA);24432
