mun;ano;estab;taxa_estab
Mg-Franciscopolis;2012;7;0,184210526
Mg-Frei Gaspar;2012;0;0
Mg-Frei Inocencio;2012;3;0,016129032
Mg-Frei Lagonegro;2012;0;0
Mg-Fronteira;2012;14;0,063063063
Mg-Fronteira dos Vales;2012;0;0
Mg-Fruta de Leite;2012;0;0
Mg-Frutal;2012;118;0,067121729
Mg-Funilandia;2012;4;0,04494382
Mg-Galileia;2012;10;0,061728395
Mg-Gameleiras;2012;1;0,047619048
Mg-Glaucilandia;2012;0;0
Mg-Goiabeira;2012;2;0,054054054
Mg-Goiana;2012;6;0,052173913
Mg-Goncalves;2012;14;0,102189781
Mg-Gonzaga;2012;4;0,1
Mg-Gouveia;2012;28;0,117647059
Mg-Governador Valadares;2012;515;0,073877492
Mg-Grao Mogol;2012;11;0,080291971
Mg-Grupiara;2012;2;0,08
Mg-Guanhaes;2012;40;0,048367594
Mg-Guape;2012;37;0,103351955
Mg-Guaraciaba;2012;16;0,125
Mg-Guaraciama;2012;1;0,022727273
Mg-Guaranesia;2012;72;0,144288577
Mg-Guarani;2012;42;0,143835616
Mg-Guarara;2012;21;0,24137931
Mg-Guarda-Mor;2012;9;0,035433071
Mg-Guaxupe;2012;267;0,148746518
Mg-Guidoval;2012;58;0,302083333
Mg-Guimarania;2012;10;0,05988024
Mg-Guiricema;2012;27;0,174193548
Mg-Gurinhata;2012;5;0,022522523
Mg-Heliodora;2012;16;0,123076923
Mg-Iapu;2012;10;0,04587156
Mg-Ibertioga;2012;2;0,020833333
Mg-Ibia;2012;28;0,040462428
Mg-Ibiai;2012;4;0,056338028
Mg-Ibiracatu;2012;0;0
Mg-Ibiraci;2012;14;0,030172414
Mg-Ibirite;2012;192;0,149300156
Mg-Ibitiura de Minas;2012;11;0,203703704
Mg-Ibituruna;2012;3;0,039473684
Mg-Icarai de Minas;2012;0;0
Mg-Igarape;2012;79;0,121351767
Mg-Igaratinga;2012;94;0,313333333
Mg-Iguatama;2012;15;0,068493151
Mg-Ijaci;2012;15;0,097402597
Mg-Ilicinea;2012;31;0,108391608
Mg-Imbe de Minas;2012;4;0,076923077
Mg-Inconfidentes;2012;64;0,292237443
Mg-Indaiabira;2012;1;0,023255814
Mg-Indianopolis;2012;8;0,050632911
Mg-Ingai;2012;2;0,024390244
Mg-Inhapim;2012;20;0,053475936
Mg-Inhauma;2012;20;0,137931034
Mg-Inimutaba;2012;9;0,071428571
Mg-Ipaba;2012;12;0,072727273
Mg-Ipanema;2012;51;0,118604651
Mg-Ipatinga;2012;500;0,081606006
Mg-Ipiacu;2012;6;0,052173913
Mg-Ipuiuna;2012;21;0,107692308
Mg-Irai de Minas;2012;6;0,033149171
Mg-Itabira;2012;173;0,066030534
Mg-Itabirinha;2012;11;0,080882353
Mg-Itabirito;2012;129;0,103864734
Mg-Itacambira;2012;0;0
Mg-Itacarambi;2012;9;0,030821918
Mg-Itaguara;2012;54;0,125
Mg-Itaipe;2012;0;0
Mg-Itajuba;2012;271;0,105120248
Mg-Itamarandiba;2012;37;0,066427289
Mg-Itamarati de Minas;2012;16;0,170212766
Mg-Itambacuri;2012;15;0,037878788
Mg-Itambe do Mato Dentro;2012;2;0,068965517
Mg-Itamogi;2012;20;0,064935065
Mg-Itamonte;2012;57;0,167647059
Mg-Itanhandu;2012;64;0,155339806
Mg-Itanhomi;2012;5;0,024154589
Mg-Itaobim;2012;29;0,078167116
Mg-Itapagipe;2012;8;0,020408163
Mg-Itapecerica;2012;61;0,132034632
Mg-Itapeva;2012;25;0,103305785
Mg-Itatiaiucu;2012;30;0,129310345
Mg-Itau de Minas;2012;43;0,111979167
Mg-Itauna;2012;375;0,136264535
Mg-Itaverava;2012;6;0,101694915
Mg-Itinga;2012;27;0,264705882
Mg-Itueta;2012;10;0,12987013
Mg-Ituiutaba;2012;179;0,063072586
Mg-Itumirim;2012;1;0,008264463
Mg-Iturama;2012;58;0,043674699
Mg-Itutinga;2012;5;0,064102564
Mg-Jaboticatubas;2012;33;0,100303951
Mg-Jacinto;2012;2;0,01459854
Mg-Jacui;2012;13;0,068062827
Mg-Jacutinga;2012;392;0,329411765
Mg-Jaguaracu;2012;2;0,023809524
Mg-Jaiba;2012;22;0,043137255
Mg-Jampruca;2012;4;0,052631579
Mg-Janauba;2012;102;0,068779501
Mg-Januaria;2012;52;0,065162907
Mg-Japaraiba;2012;15;0,211267606
Mg-Japonvar;2012;0;0
Mg-Jeceaba;2012;8;0,070175439
Mg-Jenipapo de Minas;2012;4;0,114285714
Mg-Jequeri;2012;10;0,066666667
Mg-Jequitai;2012;2;0,023529412
Mg-Jequitiba;2012;7;0,034653465
Mg-Jequitinhonha;2012;7;0,021148036
Mg-Jesuania;2012;9;0,085714286
Mg-Joaima;2012;9;0,039647577
Mg-Joanesia;2012;1;0,032258065
Mg-Joao Monlevade;2012;163;0,092142453
Mg-Joao Pinheiro;2012;98;0,055840456
Mg-Joaquim Felicio;2012;7;0,120689655
Mg-Jordania;2012;3;0,020833333
Mg-Jose Goncalves de Minas;2012;0;0
Mg-Jose Raydan;2012;4;0,111111111
Mg-Josenopolis;2012;0;0
Mg-Nova Uniao;2012;15;0,194805195
Mg-Juatuba;2012;41;0,114845938
Mg-Juiz de Fora;2012;1416;0,094887087
Mg-Juramento;2012;0;0
Mg-Juruaia;2012;136;0,405970149
Mg-Juvenilia;2012;1;0,03125
Mg-Ladainha;2012;1;0,013888889
Mg-Lagamar;2012;13;0,065326633
Mg-Lagoa da Prata;2012;181;0,136090226
Mg-Lagoa dos Patos;2012;2;0,0625
Mg-Lagoa Dourada;2012;24;0,096
Mg-Lagoa Formosa;2012;46;0,095435685
Mg-Lagoa Grande;2012;11;0,054187192
Mg-Lagoa Santa;2012;117;0,10335689
Mg-Lajinha;2012;19;0,067615658
Mg-Lambari;2012;62;0,12704918
Mg-Lamim;2012;3;0,090909091
Mg-Laranjal;2012;20;0,10989011
Mg-Lassance;2012;6;0,051724138
Mg-Lavras;2012;218;0,071335079
Mg-Leandro Ferreira;2012;11;0,115789474
Mg-Leme do Prado;2012;1;0,029411765
Mg-Leopoldina;2012;108;0,0654149
Mg-Liberdade;2012;9;0,058064516
Mg-Lima Duarte;2012;22;0,043824701
Mg-Limeira do Oeste;2012;6;0,024489796
Mg-Lontra;2012;0;0
Mg-Luisburgo;2012;3;0,06122449
Mg-Luislandia;2012;0;0
Mg-Luminarias;2012;15;0,09202454
Mg-Luz;2012;48;0,071964018
Mg-Machacalis;2012;3;0,037974684
Mg-Machado;2012;130;0,10620915
Mg-Madre de Deus de Minas;2012;4;0,025316456
Mg-Malacacheta;2012;12;0,070175439
Mg-Mamonas;2012;1;0,052631579
Mg-Manga;2012;9;0,058441558
Mg-Manhuacu;2012;189;0,082245431
Mg-Manhumirim;2012;31;0,059273423
Mg-Mantena;2012;64;0,106844741
Mg-Maravilhas;2012;32;0,133891213
Mg-Mar de Espanha;2012;145;0,343601896
Mg-Maria da Fe;2012;26;0,10483871
Mg-Mariana;2012;62;0,054385965
Mg-Marilac;2012;2;0,039215686
Mg-Mario Campos;2012;12;0,1
Mg-Maripa de Minas;2012;21;0,221052632
Mg-Marlieria;2012;0;0
Mg-Marmelopolis;2012;4;0,075471698
Mg-Martinho Campos;2012;44;0,087128713
Mg-Martins Soares;2012;11;0,144736842
Mg-Mata Verde;2012;3;0,058823529
Mg-Materlandia;2012;0;0
Mg-Mateus Leme;2012;75;0,12755102
Mg-Matias Barbosa;2012;37;0,094387755
Mg-Matias Cardoso;2012;3;0,028301887
Mg-Matipo;2012;11;0,042471042
Mg-Mato Verde;2012;12;0,1
Mg-Matozinhos;2012;156;0,195979899
Mg-Matutina;2012;7;0,085365854
Mg-Medeiros;2012;2;0,021505376
Mg-Medina;2012;25;0,109170306
Mg-Mendes Pimentel;2012;5;0,056179775
Mg-Merces;2012;31;0,156565657
Mg-Mesquita;2012;0;0
Mg-Minas Novas;2012;19;0,078512397
Mg-Minduri;2012;6;0,065934066
Mg-Mirabela;2012;4;0,032
Mg-Miradouro;2012;16;0,07960199
Mg-Mirai;2012;35;0,125
Mg-Miravania;2012;0;0
Mg-Moeda;2012;10;0,113636364
Mg-Moema;2012;25;0,126903553
Mg-Monjolos;2012;1;0,021276596
Mg-Monsenhor Paulo;2012;24;0,091603053
Mg-Montalvania;2012;8;0,051948052
Mg-Monte Alegre de Minas;2012;20;0,033670034
Mg-Monte Azul;2012;16;0,073394495
Mg-Monte Belo;2012;30;0,114068441
Mg-Monte Carmelo;2012;155;0,093486128
Mg-Monte Formoso;2012;1;0,035714286
Mg-Monte Santo de Minas;2012;66;0,083123426
Mg-Montes Claros;2012;640;0,072661217
Mg-Monte Siao;2012;645;0,477071006
Mg-Montezuma;2012;2;0,048780488
Mg-Morada Nova de Minas;2012;11;0,04954955
Mg-Morro da Garca;2012;2;0,026666667
Mg-Morro do Pilar;2012;4;0,083333333
Mg-Munhoz;2012;9;0,136363636
Mg-Muriae;2012;556;0,153252481
Mg-Mutum;2012;34;0,092896175
Mg-Muzambinho;2012;68;0,101040119
Mg-Nacip Raydan;2012;1;0,0625
Mg-Nanuque;2012;54;0,059080963
Mg-Naque;2012;1;0,014285714
Mg-Natalandia;2012;1;0,02173913
Mg-Natercia;2012;8;0,086956522
Mg-Nazareno;2012;13;0,064039409
Mg-Nepomuceno;2012;31;0,042699725
Mg-Ninheira;2012;4;0,102564103
Mg-Nova Belem;2012;0;0
Mg-Nova Era;2012;25;0,061425061
Mg-Nova Lima;2012;205;0,094470046
Mg-Nova Modica;2012;5;0,064935065
Mg-Nova Ponte;2012;31;0,072599532
Mg-Nova Porteirinha;2012;9;0,066176471
Mg-Nova Resende;2012;30;0,095238095
Mg-Nova Serrana;2012;1090;0,4743255
Mg-Novo Cruzeiro;2012;5;0,032051282
Mg-Novo Oriente de Minas;2012;2;0,04
Mg-Novorizonte;2012;4;0,153846154
Mg-Olaria;2012;1;0,027027027
Mg-Olhos-D Agua;2012;4;0,057142857
Mg-Olimpio Noronha;2012;4;0,086956522
Mg-Oliveira;2012;114;0,094214876
Mg-Oliveira Fortes;2012;8;0,205128205
Mg-Onca de Pitangui;2012;2;0,025
Mg-Oratorios;2012;7;0,090909091
Mg-Orizania;2012;1;0,034482759
Mg-Ouro Branco;2012;82;0,091825308
Mg-Ouro Fino;2012;164;0,169596691
Mg-Ouro Preto;2012;93;0,062542031
Mg-Ouro Verde de Minas;2012;0;0
Mg-Padre Carvalho;2012;0;0
Mg-Padre Paraiso;2012;14;0,073298429
Mg-Paineiras;2012;2;0,016949153
Mg-Pains;2012;69;0,239583333
Mg-Pai Pedro;2012;1;0,052631579
Mg-Paiva;2012;0;0
Mg-Palma;2012;13;0,087248322
Mg-Palmopolis;2012;2;0,057142857
Mg-Papagaios;2012;188;0,4
Mg-Paracatu;2012;148;0,056145675
Mg-Para de Minas;2012;351;0,128430296
Mg-Paraguacu;2012;79;0,118086697
Mg-Paraisopolis;2012;47;0,098121086
Mg-Paraopeba;2012;91;0,120211361
Mg-Passabem;2012;1;0,047619048
Mg-Passa Quatro;2012;40;0,104986877
Mg-Passa Tempo;2012;16;0,081632653
Mg-Passa-Vinte;2012;1;0,021276596
Mg-Passos;2012;407;0,118210863
Mg-Patis;2012;0;0
Mg-Patos de Minas;2012;462;0,084661902
Mg-Patrocinio;2012;204;0,068159038
Mg-Patrocinio do Muriae;2012;26;0,25
Mg-Paula Candido;2012;8;0,045454545
Mg-Paulistas;2012;4;0,102564103
Mg-Pavao;2012;9;0,068181818
Mg-Pecanha;2012;13;0,064356436
Mg-Pedra Azul;2012;10;0,034364261
Mg-Pedra Bonita;2012;2;0,111111111
Mg-Pedra do Anta;2012;1;0,022222222
Mg-Pedra do Indaia;2012;13;0,171052632
Mg-Pedra Dourada;2012;5;0,192307692
Mg-Pedralva;2012;25;0,101626016
Mg-Pedras de Maria da Cruz;2012;0;0
Mg-Pedrinopolis;2012;2;0,018518519
Mg-Pedro Leopoldo;2012;207;0,146704465
Mg-Pedro Teixeira;2012;2;0,086956522
Mg-Pequeri;2012;13;0,156626506
Mg-Pequi;2012;7;0,068627451
Mg-Perdigao;2012;154;0,458333333
Mg-Perdizes;2012;31;0,051580699
Mg-Perdoes;2012;59;0,088323353
Mg-Periquito;2012;2;0,035714286
Mg-Pescador;2012;1;0,018181818
Mg-Piau;2012;4;0,052631579
Mg-Piedade de Caratinga;2012;5;0,053191489
Mg-Piedade de Ponte Nova;2012;4;0,057142857
Mg-Piedade do Rio Grande;2012;8;0,064
Mg-Piedade dos Gerais;2012;4;0,074074074
Mg-Pimenta;2012;16;0,08988764
Mg-Pingo D'Agua;2012;4;0,078431373
Mg-Pintopolis;2012;1;0,035714286
Mg-Piracema;2012;12;0,077922078
Mg-Pirajuba;2012;3;0,024793388
Mg-Piranga;2012;16;0,081632653
Mg-Pirangucu;2012;17;0,171717172
Mg-Piranguinho;2012;23;0,12849162
Mg-Pirapetinga;2012;16;0,069264069
Mg-Pirapora;2012;67;0,060306031
Mg-Pirauba;2012;78;0,241486068
Mg-Pitangui;2012;88;0,125
Mg-Piumhi;2012;96;0,081841432
Mg-Planura;2012;9;0,045226131
Mg-Poco Fundo;2012;66;0,186440678
Mg-Pocos de Caldas;2012;435;0,087914309
Mg-Pocrane;2012;5;0,051546392
Mg-Pompeu;2012;82;0,097387173
Mg-Ponte Nova;2012;128;0,066390041
Mg-Ponto Chique;2012;0;0
Mg-Ponto dos Volantes;2012;2;0,031746032
Mg-Porteirinha;2012;25;0,069444444
Mg-Porto Firme;2012;9;0,055555556
Mg-Pote;2012;8;0,064
Mg-Pouso Alegre;2012;400;0,095147479
Mg-Pouso Alto;2012;22;0,110552764
Mg-Prados;2012;42;0,230769231
Mg-Prata;2012;34;0,033235582
Mg-Pratapolis;2012;36;0,144
Mg-Pratinha;2012;1;0,010869565
Mg-Presidente Bernardes;2012;4;0,083333333
Mg-Presidente Juscelino;2012;5;0,061728395
Mg-Presidente Kubitschek;2012;1;0,041666667
Mg-Presidente Olegario;2012;21;0,038461538
Mg-Alto Jequitiba;2012;15;0,131578947
Mg-Prudente de Morais;2012;26;0,185714286
Mg-Quartel Geral;2012;5;0,055555556
Mg-Queluzito;2012;2;0,043478261
Mg-Raposos;2012;7;0,063636364
Mg-Raul Soares;2012;37;0,077083333
Mg-Recreio;2012;22;0,096069869
Mg-Reduto;2012;6;0,057692308
Mg-Resende Costa;2012;63;0,238636364
Mg-Resplendor;2012;21;0,046563193
Mg-Ressaquinha;2012;5;0,052631579
Mg-Riachinho;2012;4;0,052631579
Mg-Riacho dos Machados;2012;2;0,05
Mg-Ribeirao das Neves;2012;221;0,099864437
Mg-Ribeirao Vermelho;2012;14;0,168674699
Mg-Rio Acima;2012;22;0,104761905
Mg-Rio Casca;2012;28;0,061403509
Mg-Rio Doce;2012;2;0,044444444
Mg-Rio do Prado;2012;0;0
Mg-Rio Espera;2012;2;0,052631579
Mg-Rio Manso;2012;18;0,204545455
Mg-Rio Novo;2012;25;0,093283582
Mg-Rio Paranaiba;2012;23;0,050660793
Mg-Rio Pardo de Minas;2012;13;0,057777778
Mg-Rio Piracicaba;2012;14;0,061403509
Mg-Rio Pomba;2012;85;0,157116451
Mg-Rio Preto;2012;8;0,058394161
Mg-Rio Vermelho;2012;4;0,031496063
Mg-Ritapolis;2012;8;0,071428571
Mg-Rochedo de Minas;2012;11;0,22
Mg-Rodeiro;2012;70;0,341463415
Mg-Romaria;2012;4;0,053333333
Mg-Rosario da Limeira;2012;9;0,142857143
Mg-Rubelita;2012;3;0,069767442
Mg-Rubim;2012;4;0,026666667
Mg-Sabara;2012;166;0,154131848
Mg-Sabinopolis;2012;10;0,040650407
Mg-Sacramento;2012;94;0,090471607
Mg-Salinas;2012;70;0,081585082
Mg-Salto da Divisa;2012;6;0,052631579
Mg-Santa Barbara;2012;44;0,085271318
Mg-Santa Barbara do Leste;2012;6;0,088235294
Mg-Santa Barbara do Monte Verde;2012;4;0,061538462
Mg-Santa Barbara do Tugurio;2012;5;0,079365079
Mg-Santa Cruz de Minas;2012;71;0,401129944
Mg-Santa Cruz de Salinas;2012;1;0,043478261
Mg-Santa Cruz do Escalvado;2012;6;0,074074074
Mg-Santa Efigenia de Minas;2012;2;0,076923077
Mg-Santa Fe de Minas;2012;0;0
Mg-Santa Helena de Minas;2012;1;0,058823529
Mg-Santa Juliana;2012;18;0,051724138
Mg-Santa Luzia;2012;278;0,135874878
Mg-Santa Margarida;2012;4;0,027586207
Mg-Santa Maria de Itabira;2012;16;0,070175439
Mg-Santa Maria do Salto;2012;0;0
Mg-Santa Maria do Suacui;2012;13;0,069148936
Mg-Santana da Vargem;2012;14;0,047297297
Mg-Santana de Cataguases;2012;12;0,206896552
Mg-Santana de Pirapama;2012;6;0,055045872
Mg-Santana do Deserto;2012;12;0,166666667
Mg-Santana do Garambeu;2012;0;0
Mg-Santana do Jacare;2012;12;0,139534884
Mg-Santana do Manhuacu;2012;6;0,070588235
Mg-Santana do Paraiso;2012;66;0,1769437
Mg-Santana do Riacho;2012;3;0,028846154
Mg-Santana dos Montes;2012;4;0,070175439
Mg-Santa Rita de Caldas;2012;23;0,127777778
Mg-Santa Rita de Jacutinga;2012;6;0,051724138
Mg-Santa Rita de Minas;2012;10;0,108695652
Mg-Santa Rita de Ibitipoca;2012;4;0,071428571
Mg-Santa Rita do Itueto;2012;2;0,040816327
Mg-Santa Rita do Sapucai;2012;287;0,216767372
Mg-Santa Rosa da Serra;2012;1;0,023809524
Mg-Santa Vitoria;2012;30;0,043668122
Mg-Santo Antonio do Amparo;2012;21;0,05511811
Mg-Santo Antonio do Aventureiro;2012;8;0,1
Mg-Santo Antonio do Grama;2012;3;0,036585366
Mg-Santo Antonio do Itambe;2012;0;0
Mg-Santo Antonio do Jacinto;2012;1;0,018181818
Mg-Santo Antonio do Monte;2012;143;0,163055872
Mg-Santo Antonio do Retiro;2012;0;0
Mg-Santo Antonio do Rio Abaixo;2012;0;0
Mg-Santo Hipolito;2012;0;0
Mg-Santos Dumont;2012;62;0,058601134
Mg-Sao Bento Abade;2012;3;0,054545455
Mg-Sao Bras do Suacui;2012;6;0,058252427
Mg-Sao Domingos das Dores;2012;2;0,033333333
Mg-Sao Domingos do Prata;2012;38;0,108882521
Mg-Sao Felix de Minas;2012;0;0
Mg-Sao Francisco;2012;17;0,038461538
Mg-Sao Francisco de Paula;2012;12;0,085106383
Mg-Sao Francisco de Sales;2012;9;0,050561798
Mg-Sao Francisco do Gloria;2012;2;0,029850746
Mg-Sao Geraldo;2012;40;0,229885057
Mg-Sao Geraldo da Piedade;2012;0;0
Mg-Sao Geraldo do Baixio;2012;1;0,03125
Mg-Sao Goncalo do Abaete;2012;6;0,036809816
Mg-Sao Goncalo do Para;2012;67;0,255725191
Mg-Sao Goncalo do Rio Abaixo;2012;16;0,083769634
Mg-Sao Goncalo do Sapucai;2012;68;0,099853157
Mg-Sao Gotardo;2012;54;0,052631579
Mg-Sao Joao Batista do Gloria;2012;17;0,071428571
Mg-Sao Joao da Lagoa;2012;1;0,023809524
Mg-Sao Joao da Mata;2012;6;0,136363636
Mg-Sao Joao da Ponte;2012;1;0,009090909
Mg-Sao Joao das Missoes;2012;1;0,052631579
Mg-Sao Joao Del Rei;2012;235;0,093588212
Mg-Sao Joao do Manhuacu;2012;6;0,050847458
Mg-Sao Joao do Manteninha;2012;39;0,333333333
Mg-Sao Joao do Oriente;2012;18;0,156521739
Mg-Sao Joao do Pacui;2012;0;0
Mg-Sao Joao do Paraiso;2012;15;0,055555556
Mg-Sao Joao Evangelista;2012;16;0,083333333
Mg-Sao Joao Nepomuceno;2012;186;0,221428571
Mg-Sao Joaquim de Bicas;2012;67;0,23024055
Mg-Sao Jose da Barra;2012;10;0,072463768
Mg-Sao Jose da Lapa;2012;51;0,19245283
Mg-Sao Jose da Safira;2012;4;0,129032258
Mg-Sao Jose da Varginha;2012;3;0,028571429
Mg-Sao Jose do Alegre;2012;5;0,108695652
Mg-Sao Jose do Divino;2012;1;0,027027027
Mg-Sao Jose do Goiabal;2012;5;0,055555556
Mg-Sao Jose do Jacuri;2012;4;0,114285714
Mg-Sao Jose do Mantimento;2012;0;0
Mg-Sao Lourenco;2012;128;0,074159907
Mg-Sao Miguel do Anta;2012;4;0,047619048
Mg-Sao Pedro da Uniao;2012;10;0,096153846
Mg-Sao Pedro dos Ferros;2012;11;0,058510638
Mg-Sao Pedro do Suacui;2012;2;0,040816327
Mg-Sao Romao;2012;3;0,031914894
Mg-Sao Roque de Minas;2012;6;0,033333333
Mg-Sao Sebastiao da Bela Vista;2012;15;0,118110236
Mg-Sao Sebastiao da Vargem Alegre;2012;4;0,1
Mg-Sao Sebastiao do Anta;2012;3;0,069767442
Mg-Sao Sebastiao do Maranhao;2012;2;0,043478261
Mg-Sao Sebastiao do Oeste;2012;34;0,276422764
Mg-Sao Sebastiao do Paraiso;2012;215;0,095853767
Mg-Sao Sebastiao do Rio Preto;2012;1;0,05
Mg-Sao Sebastiao do Rio Verde;2012;8;0,142857143
Mg-Sao Tiago;2012;58;0,171597633
Mg-Sao Tomas de Aquino;2012;15;0,071428571
Mg-Sao Thome das Letras;2012;102;0,390804598
Mg-Sao Vicente de Minas;2012;20;0,088495575
Mg-Sapucai-Mirim;2012;29;0,21641791
Mg-Sardoa;2012;0;0
Mg-Sarzedo;2012;54;0,137055838
Mg-Setubinha;2012;0;0
Mg-Sem-Peixe;2012;3;0,115384615
Mg-Senador Amaral;2012;1;0,018518519
Mg-Senador Cortes;2012;9;0,157894737
Mg-Senador Firmino;2012;10;0,094339623
Mg-Senador Jose Bento;2012;2;0,125
Mg-Senador Modestino Goncalves;2012;2;0,055555556
Mg-Senhora de Oliveira;2012;7;0,077777778
Mg-Senhora do Porto;2012;1;0,018518519
Mg-Senhora dos Remedios;2012;6;0,0625
Mg-Sericita;2012;3;0,04109589
Mg-Seritinga;2012;5;0,135135135
Mg-Serra Azul de Minas;2012;1;0,04
Mg-Serra da Saudade;2012;0;0
Mg-Serra dos Aimores;2012;4;0,048780488
Mg-Serra do Salitre;2012;17;0,043147208
Mg-Serrania;2012;17;0,097701149
Mg-Serranopolis de Minas;2012;0;0
Mg-Serranos;2012;0;0
Mg-Serro;2012;14;0,033096927
Mg-Sete Lagoas;2012;583;0,105463097
Mg-Silveirania;2012;2;0,051282051
Mg-Silvianopolis;2012;20;0,116959064
Mg-Simao Pereira;2012;4;0,058823529
Mg-Simonesia;2012;6;0,031578947
Mg-Sobralia;2012;3;0,046153846
Mg-Soledade de Minas;2012;12;0,092307692
Mg-Tabuleiro;2012;15;0,140186916
Mg-Taiobeiras;2012;87;0,131818182
Mg-Taparuba;2012;9;0,209302326
Mg-Tapira;2012;4;0,033333333
Mg-Tapirai;2012;0;0
Mg-Taquaracu de Minas;2012;3;0,057692308
Mg-Tarumirim;2012;25;0,090252708
Mg-Teixeiras;2012;23;0,105504587
Mg-Teofilo Otoni;2012;209;0,065169941
Mg-Timoteo;2012;197;0,118961353
Mg-Tiradentes;2012;53;0,131513648
Mg-Tiros;2012;6;0,030769231
Mg-Tocantins;2012;78;0,200514139
Mg-Tocos do Moji;2012;4;0,108108108
Mg-Toledo;2012;6;0,105263158
Mg-Tombos;2012;23;0,105022831
Mg-Tres Coracoes;2012;142;0,070471464
Mg-Tres Marias;2012;54;0,073071719
Mg-Tres Pontas;2012;123;0,067843354
Mg-Tumiritinga;2012;3;0,044776119
Mg-Tupaciguara;2012;36;0,052478134
Mg-Turmalina;2012;45;0,130057803
Mg-Turvolandia;2012;11;0,0859375
Mg-Uba;2012;573;0,189233818
Mg-Ubai;2012;2;0,047619048
Mg-Ubaporanga;2012;9;0,054878049
Mg-Uberaba;2012;890;0,094040575
Mg-Uberlandia;2012;1542;0,083827127
Mg-Umburatiba;2012;3;0,0625
Mg-Unai;2012;179;0,062762973
Mg-Uniao de Minas;2012;3;0,018867925
Mg-Uruana de Minas;2012;1;0,026315789
Mg-Urucania;2012;12;0,070175439
Mg-Urucuia;2012;1;0,010638298
Mg-Vargem Alegre;2012;6;0,075
Mg-Vargem Bonita;2012;4;0,059701493
Mg-Vargem Grande do Rio Pardo;2012;2;0,058823529
Mg-Varginha;2012;438;0,097203728
Mg-Varjao de Minas;2012;6;0,039735099
Mg-Varzea da Palma;2012;63;0,099212598
Mg-Varzelandia;2012;1;0,012195122
Mg-Vazante;2012;53;0,092495637
Mg-Verdelandia;2012;0;0
Mg-Veredinha;2012;4;0,08
Mg-Verissimo;2012;6;0,046511628
Mg-Vermelho Novo;2012;6;0,133333333
Mg-Vespasiano;2012;137;0,131477927
Mg-Vicosa;2012;193;0,071880819
Mg-Vieiras;2012;3;0,053571429
Mg-Mathias Lobato;2012;1;0,02173913
Mg-Virgem da Lapa;2012;9;0,097826087
Mg-Virginia;2012;21;0,116666667
Mg-Virginopolis;2012;7;0,042168675
Mg-Virgolandia;2012;0;0
Mg-Visconde do Rio Branco;2012;161;0,147031963
Mg-Volta Grande;2012;6;0,048780488
Mg-Wenceslau Braz;2012;7;0,137254902
Mg-Abadia dos Dourados;2013;19;0,092682927
Mg-Abaete;2013;68;0,076318743
Mg-Abre Campo;2013;21;0,073170732
Mg-Acaiaca;2013;7;0,107692308
Mg-Acucena;2013;2;0,015873016
Mg-Agua Boa;2013;8;0,051612903
Mg-Agua Comprida;2013;2;0,028985507
Mg-Aguanil;2013;18;0,152542373
Mg-Aguas Formosas;2013;11;0,034700315
Mg-Aguas Vermelhas;2013;3;0,036144578
Mg-Aimores;2013;39;0,071823204
Mg-Aiuruoca;2013;7;0,030567686
Mg-Alagoa;2013;4;0,097560976
Mg-Albertina;2013;9;0,111111111
Mg-Alem Paraiba;2013;53;0,05941704
Mg-Alfenas;2013;213;0,084590945
Mg-Alfredo Vasconcelos;2013;9;0,072
Mg-Almenara;2013;45;0,051020408
Mg-Alpercata;2013;6;0,064516129
Mg-Alpinopolis;2013;70;0,117845118
Mg-Alterosa;2013;26;0,094202899
Mg-Alto Caparao;2013;4;0,041666667
Mg-Alto Rio Doce;2013;5;0,038461538
Mg-Alvarenga;2013;0;0
Mg-Alvinopolis;2013;30;0,097402597
Mg-Alvorada de Minas;2013;0;0
Mg-Amparo do Serra;2013;2;0,032258065
Mg-Andradas;2013;197;0,150957854
Mg-Cachoeira de Pajeu;2013;6;0,090909091
Mg-Andrelandia;2013;14;0,040229885
Mg-Angelandia;2013;0;0
Mg-Antonio Carlos;2013;15;0,062240664
Mg-Antonio Dias;2013;6;0,047244094
Mg-Antonio Prado de Minas;2013;1;0,04
Mg-Aracai;2013;1;0,017241379
Mg-Aracitaba;2013;1;0,03030303
Mg-Aracuai;2013;57;0,079831933
Mg-Araguari;2013;311;0,0950489
Mg-Arantina;2013;2;0,038461538
Mg-Araponga;2013;5;0,078125
Mg-Arapora;2013;11;0,06918239
Mg-Arapua;2013;1;0,026315789
Mg-Araujos;2013;113;0,27970297
Mg-Araxa;2013;237;0,081136597
Mg-Arceburgo;2013;20;0,068728522
Mg-Arcos;2013;179;0,13239645
Mg-Areado;2013;35;0,076252723
Mg-Argirita;2013;5;0,111111111
Mg-Aricanduva;2013;0;0
Mg-Arinos;2013;13;0,041800643
Mg-Astolfo Dutra;2013;135;0,308924485
Mg-Ataleia;2013;6;0,028169014
Mg-Augusto de Lima;2013;9;0,089108911
Mg-Baependi;2013;71;0,111111111
Mg-Baldim;2013;20;0,11299435
Mg-Bambui;2013;43;0,066770186
Mg-Bandeira;2013;0;0
Mg-Bandeira do Sul;2013;23;0,225490196
Mg-Barao de Cocais;2013;48;0,093933464
Mg-Barao de Monte Alto;2013;3;0,029411765
Mg-Barbacena;2013;201;0,063971992
Mg-Barra Longa;2013;4;0,043010753
