mun;ano;estab;taxa_estab
Mg-Douradoquara;2002;1;0,058823529
Mg-Durande;2002;3;0,068181818
Mg-Eloi Mendes;2002;54;0,084507042
Mg-Engenheiro Caldas;2002;15;0,09202454
Mg-Engenheiro Navarro;2002;6;0,111111111
Mg-Entre Folhas;2002;2;0,074074074
Mg-Entre Rios de Minas;2002;21;0,076642336
Mg-Ervalia;2002;32;0,158415842
Mg-Esmeraldas;2002;49;0,072058824
Mg-Espera Feliz;2002;29;0,106617647
Mg-Espinosa;2002;20;0,138888889
Mg-Espirito Santo do Dourado;2002;4;0,142857143
Mg-Estiva;2002;15;0,166666667
Mg-Estrela Dalva;2002;2;0,037735849
Mg-Estrela do Indaia;2002;6;0,055045872
Mg-Estrela do Sul;2002;7;0,061403509
Mg-Eugenopolis;2002;40;0,272108844
Mg-Ewbank da Camara;2002;7;0,120689655
Mg-Extrema;2002;83;0,211195929
Mg-Fama;2002;1;0,015151515
Mg-Faria Lemos;2002;7;0,101449275
Mg-Felicio dos Santos;2002;0;0
Mg-Sao Goncalo do Rio Preto;2002;2;0,111111111
Mg-Felisburgo;2002;0;0
Mg-Felixlandia;2002;32;0,140969163
Mg-Fernandes Tourinho;2002;2;0,05
Mg-Ferros;2002;5;0,026595745
Mg-Fervedouro;2002;5;0,089285714
Mg-Florestal;2002;8;0,055944056
Mg-Formiga;2002;288;0,181933039
Mg-Formoso;2002;2;0,025
Mg-Fortaleza de Minas;2002;6;0,090909091
Mg-Fortuna de Minas;2002;12;0,171428571
Mg-Francisco Badaro;2002;2;0,083333333
Mg-Francisco Dumont;2002;13;0,317073171
Mg-Francisco Sa;2002;18;0,05625
Mg-Franciscopolis;2002;1;0,066666667
Mg-Frei Gaspar;2002;2;0,034482759
Mg-Frei Inocencio;2002;4;0,026666667
Mg-Frei Lagonegro;2002;0;0
Mg-Fronteira;2002;8;0,067226891
Mg-Fronteira dos Vales;2002;2;0,105263158
Mg-Fruta de Leite;2002;0;0
Mg-Frutal;2002;87;0,069102462
Mg-Funilandia;2002;6;0,074074074
Mg-Galileia;2002;13;0,09352518
Mg-Gameleiras;2002;0;0
Mg-Glaucilandia;2002;0;0
Mg-Goiabeira;2002;3;0,230769231
Mg-Goiana;2002;3;0,044117647
Mg-Goncalves;2002;9;0,121621622
Mg-Gonzaga;2002;1;0,1
Mg-Gouveia;2002;31;0,176136364
Mg-Governador Valadares;2002;499;0,09164371
Mg-Grao Mogol;2002;7;0,079545455
Mg-Grupiara;2002;2;0,125
Mg-Guanhaes;2002;39;0,066552901
Mg-Guape;2002;17;0,078341014
Mg-Guaraciaba;2002;10;0,125
Mg-Guaraciama;2002;1;0,055555556
Mg-Guaranesia;2002;49;0,117505995
Mg-Guarani;2002;29;0,125541126
Mg-Guarara;2002;12;0,136363636
Mg-Guarda-Mor;2002;3;0,018987342
Mg-Guaxupe;2002;207;0,15
Mg-Guidoval;2002;50;0,37037037
Mg-Guimarania;2002;8;0,06557377
Mg-Guiricema;2002;15;0,110294118
Mg-Gurinhata;2002;6;0,019543974
Mg-Heliodora;2002;12;0,118811881
Mg-Iapu;2002;3;0,021126761
Mg-Ibertioga;2002;4;0,049382716
Mg-Ibia;2002;14;0,024647887
Mg-Ibiai;2002;1;0,043478261
Mg-Ibiracatu;2002;0;0
Mg-Ibiraci;2002;9;0,029411765
Mg-Ibirite;2002;103;0,155120482
Mg-Ibitiura de Minas;2002;10;0,212765957
Mg-Ibituruna;2002;2;0,048780488
Mg-Icarai de Minas;2002;0;0
Mg-Igarape;2002;43;0,121813031
Mg-Igaratinga;2002;67;0,360215054
Mg-Iguatama;2002;10;0,048543689
Mg-Ijaci;2002;17;0,175257732
Mg-Ilicinea;2002;12;0,06185567
Mg-Imbe de Minas;2002;1;0,047619048
Mg-Inconfidentes;2002;52;0,322981366
Mg-Indaiabira;2002;2;0,153846154
Mg-Indianopolis;2002;3;0,028037383
Mg-Ingai;2002;4;0,05
Mg-Inhapim;2002;21;0,08203125
Mg-Inhauma;2002;18;0,148760331
Mg-Inimutaba;2002;9;0,098901099
Mg-Ipaba;2002;8;0,090909091
Mg-Ipanema;2002;34;0,137096774
Mg-Ipatinga;2002;338;0,083477402
Mg-Ipiacu;2002;1;0,00952381
Mg-Ipuiuna;2002;12;0,115384615
Mg-Irai de Minas;2002;6;0,072289157
Mg-Itabira;2002;152;0,077630235
Mg-Itabirinha;2002;3;0,073170732
Mg-Itabirito;2002;84;0,106870229
Mg-Itacambira;2002;7;0,333333333
