Tabela 3940 - Produção da aquicultura, por tipo de produto;;;
Variável - Valor da produção (Mil Reais);;;
Tipo de produto da aquicultura - Total;;;
;Ano;;
Tartarugalzinho (AP);146;182;205
Vitória do Jari (AP);58;67;77
Abreulândia (TO);28;31;43
Aliança do Tocantins (TO);39;203;17
Almas (TO);35281;37808;41700
Alvorada (TO);330;320;460
Ananás (TO);...;...;...
Angico (TO);...;...;...
Aparecida do Rio Negro (TO);56;66;160
Aragominas (TO);232;197;234
Araguacema (TO);...;...;...
Araguaçu (TO);...;...;...
Araguaína (TO);2111;224;271
Araguanã (TO);...;78;105
Araguatins (TO);450;614;360
Arapoema (TO);195;125;89
Arraias (TO);...;...;...
Augustinópolis (TO);18;14;...
Aurora do Tocantins (TO);...;...;...
Axixá do Tocantins (TO);55;72;7
Babaçulândia (TO);...;...;...
Bandeirantes do Tocantins (TO);...;...;...
Barra do Ouro (TO);...;...;...
Barrolândia (TO);86;105;138
Bernardo Sayão (TO);20;23;21
Bom Jesus do Tocantins (TO);...;...;...
Brasilândia do Tocantins (TO);...;...;165
Brejinho de Nazaré (TO);446;872;704
Buriti do Tocantins (TO);112;104;42
Cachoeirinha (TO);...;...;...
Campos Lindos (TO);365;512;708
Cariri do Tocantins (TO);135;66;48
Carrasco Bonito (TO);...;...;...
Caseara (TO);49;57;108
Chapada de Areia (TO);791;1480;1480
Chapada da Natividade (TO);774;769;840
Colinas do Tocantins (TO);144;420;785
Couto Magalhães (TO);123;65;100
Cristalândia (TO);292;350;...
Crixás do Tocantins (TO);...;...;...
Darcinópolis (TO);...;...;...
Dianópolis (TO);1982;1775;1926
Divinópolis do Tocantins (TO);252;300;...
Dois Irmãos do Tocantins (TO);122;144;259
Dueré (TO);195;29;8
Esperantina (TO);102;113;105
Fátima (TO);180;...;...
Figueirópolis (TO);63;60;68
Filadélfia (TO);486;506;570
Formoso do Araguaia (TO);...;32;87
Fortaleza do Tabocão (TO);...;...;...
Goianorte (TO);...;...;...
Goiatins (TO);600;1063;1132
Guaraí (TO);...;...;...
Gurupi (TO);741;642;1000
Ipueiras (TO);490;315;649
Itacajá (TO);23;22;60
Itaguatins (TO);318;454;321
Itapiratins (TO);26;28;22
Itaporã do Tocantins (TO);...;...;24
Jaú do Tocantins (TO);30;26;24
Juarina (TO);3;...;...
Lagoa da Confusão (TO);...;...;625
Lagoa do Tocantins (TO);...;...;...
Lajeado (TO);...;...;...
Lavandeira (TO);...;...;...
Luzinópolis (TO);134;142;213
Marianópolis do Tocantins (TO);...;...;257
Maurilândia do Tocantins (TO);...;...;...
Miracema do Tocantins (TO);280;483;518
Miranorte (TO);...;...;...
Monte do Carmo (TO);7062;620;863
Monte Santo do Tocantins (TO);...;...;...
Palmeiras do Tocantins (TO);...;...;...
Muricilândia (TO);610;503;640
Natividade (TO);384;421;451
Nazaré (TO);...;...;...
Nova Olinda (TO);...;...;...
Nova Rosalândia (TO);...;...;...
Novo Acordo (TO);...;...;...
Novo Alegre (TO);...;...;...
Oliveira de Fátima (TO);...;...;...
Palmeirante (TO);...;240;170
Palmeirópolis (TO);...;...;...
Paraíso do Tocantins (TO);144;187;262
Paranã (TO);...;...;...
Pau D'Arco (TO);64;9;2
Peixe (TO);115;...;125
Pequizeiro (TO);36;572;380
Colméia (TO);547;627;495
Pindorama do Tocantins (TO);301;856;1672
Piraquê (TO);239;326;413
Pium (TO);360;450;500
Ponte Alta do Bom Jesus (TO);...;...;...
Ponte Alta do Tocantins (TO);75;159;325
Porto Alegre do Tocantins (TO);...;...;...
Porto Nacional (TO);3189;4299;6843
Praia Norte (TO);31;56;...
Presidente Kennedy (TO);...;...;...
Pugmil (TO);48;65;90
Recursolândia (TO);...;...;...
Rio da Conceição (TO);...;...;...
Rio Sono (TO);...;...;...
Sampaio (TO);...;...;...
Sandolândia (TO);25;23;58
Santa Fé do Araguaia (TO);...;...;...
Santa Maria do Tocantins (TO);...;...;...
Santa Rita do Tocantins (TO);340;540;570
Santa Rosa do Tocantins (TO);9;9;280
Santa Tereza do Tocantins (TO);...;...;...
Santa Terezinha do Tocantins (TO);...;...;...
São Bento do Tocantins (TO);...;270;540
São Miguel do Tocantins (TO);1411;1383;1328
São Salvador do Tocantins (TO);...;...;49
São Sebastião do Tocantins (TO);14;14;...
São Valério (TO);...;...;1
Silvanópolis (TO);175;135;164
Sítio Novo do Tocantins (TO);318;130;559
Sucupira (TO);...;...;...
Taguatinga (TO);...;...;...
Taipas do Tocantins (TO);...;...;...
Palmas (TO);10460;13527;15107
Tocantínia (TO);...;...;...
Tocantinópolis (TO);...;...;...
Tupiratins (TO);...;...;...
Wanderlândia (TO);392;275;420
Xambioá (TO);659;521;995
Açailândia (MA);...;156;207
Afonso Cunha (MA);21;23;...
Água Doce do Maranhão (MA);565;631;774
