Territorialidades;População rural 2010;População urbana 2010;População economicamente ativa de 18 anos ou mais de idade 2010;Produto Interno Bruto per capita 2014;Produto Interno Bruto per capita 2015;Produto Interno Bruto per capita 2016;Participação da Agropecuária no Valor Adicionado 2014;Participação da Agropecuária no Valor Adicionado 2015;Participação da Agropecuária no Valor Adicionado 2016;Participação da Indústria no Valor Adicionado 2014;Participação da Administração Pública no Valor Adicionado 2014;Participação dos Serviços no Valor Adicionado 2014;Rendimento médio no setor formal 2014;Esperança de vida ao nascer 2014;Média de anos de estudo 2014;% de 25 anos ou mais de idade com ensino superior completo 2014
Jacobina (BA);23379;55868;36804;8,26;8,84;10,1;2,96;3,36;3,42;19,84;24,36;52,84;1134,26;;;
Jacobina do Piauí (PI);4698;1024;2516;4,85;4,88;4,48;15,23;14,76;14,03;6,29;54,29;24,19;926,39;;;
Jacuí (MG);2932;4570;3708;9,46;8,81;9,66;30,17;27,35;31,37;4,94;29,35;35,54;947,31;;;
Jacuípe (AL);2642;4355;2237;8,75;6,29;6,04;52,53;35,87;35,64;2,83;31,36;13,28;773,47;;;
Jacuizinho (RS);1945;562;1387;23,14;23,55;26,49;61,41;62,26;66,2;3,67;18,24;16,67;1189,06;;;
Jacundá (PA);5677;45683;20305;5,92;5,91;5,72;12,56;13,17;14,68;9,75;39,75;37,94;1067,8;;;
Jacupiranga (SP);7839;9369;7409;15,24;14,25;16,54;22,74;22,19;35,1;7,27;18,07;51,92;1033,86;;;
Jacutinga (MG);3696;19076;12777;14,23;14,55;13,19;7,98;7,29;9,17;22,56;22,03;47,43;936,36;;;
Jacutinga (RS);1060;2573;1933;24,31;24,33;25,12;37,06;35,26;39,05;17,14;15,6;30,2;1204,52;;;
Jaguapitã (PR);1845;10380;6264;35,73;34,72;36,49;11,89;11,95;10,97;43,25;9,43;35,42;1188,06;;;
Jaguaquara (BA);12161;38850;20841;6,3;6,61;6,55;10,18;10,42;9,59;6,44;34,66;48,73;1067,69;;;
Jaguaraçu (MG);852;2138;1312;15,06;14,35;13,04;3,8;3,24;4,64;39,4;25,42;31,38;840,13;;;
Jaguarão (RS);1826;26105;12366;16,23;15,32;14,79;33,35;29,93;30,18;5,91;19,08;41,66;1109,24;;;
Jaguarari (BA);13731;16612;11444;10,15;10,09;5,61;3,08;3,29;2,65;38,31;24;34,61;1741,44;;;
Jaguaré (ES);9645;15033;12415;17,54;14,43;11,15;16,41;19,94;20,85;34,95;20,25;28,4;994,76;;;
Jaguaretama (CE);9394;8469;5827;5,67;5,48;5,24;20,96;19,96;21,26;4,63;44,16;30,25;858,69;;;
Jaguariaíva (PR);4565;28041;13757;27,32;26,98;26,53;12,79;11,78;11,03;48,82;11,53;26,85;1427,34;;;
Jaguaribara (CE);3187;7212;4066;10,06;9,16;7,15;45,97;38,51;23,58;4,98;26,29;22,77;804,31;;;
Jaguaribe (CE);11141;23268;13456;9,53;10,13;8,69;9,9;8,62;11,22;21,46;26,22;42,42;1027,01;;;
Jaguaripe (BA);11169;5298;7502;6,21;6,33;5,6;31,98;33,85;36,03;5,47;39,16;23,39;1931,13;;;
Jaguari (RS);4942;6531;6477;12,85;13,85;13,16;26,4;30,26;28,95;7,58;24,77;41,24;1187,5;;;
Jaguariúna (SP);1278;43033;23911;122,47;123,67;105,37;0,22;0,19;0,27;32,33;3,63;63,82;1982,82;;;
Jaguaruana (CE);13101;19135;14086;8,38;8,56;7,32;21,59;19,47;15,54;22,4;29,53;26,48;937,68;;;
Jaguaruna (SC);4092;13198;8670;15,16;15,26;15,68;22,14;19,19;22,03;17,73;20,72;39,41;1094,67;;;
Jaíba (MG);15952;17635;14878;9,29;9,17;9,24;27,52;27,68;31,57;14,58;27,9;30;932,55;;;
Jaicós (PI);9527;8508;6847;5,28;5,03;5,18;8,91;10,68;9,41;5,11;48,9;37,08;1025,89;;;
Jales (SP);2773;44239;24942;17,46;18,31;17,8;4,58;4,07;5,15;16,14;14,77;64,51;1233,06;;;
Jambeiro (SP);2788;2561;2701;39,44;32,71;29,44;2,44;2,48;2,22;56,73;11,04;29,79;1911,64;;;
Jampruca (MG);1779;3288;1881;6,74;6,31;6,37;33,55;31,16;31,4;3,57;42,88;20;959,37;;;
Janaúba (MG);6233;60570;30680;9,46;9,85;9,55;5,47;4,66;6,18;9,86;29;55,68;925,99;;;
Jandaia do Sul (PR);1938;18331;10729;23,65;18,67;18,57;5,17;6,53;6,34;15,86;12,88;66,09;1231,75;;;
Jandaia (GO);2010;4154;3040;24,72;22,04;27,37;32,48;35,76;38,02;28,11;14,68;24,73;1390,26;;;
Jandaíra (BA);4184;6147;3538;12,17;11,15;11,62;62,36;59,03;62,79;4,46;18,61;14,58;949,41;;;
Jandaíra (RN);2847;3954;2000;5,48;6,51;6,14;3,5;3,69;4,19;8,58;66,91;21;870,88;;;
Jandira (SP);;108344;56548;22,22;19,02;18,89;0,01;0,02;0,02;30,11;14,33;55,55;1826,11;;;
Janduís (RN);1353;3992;1592;6,53;7,08;6,76;6,14;5,87;5,14;10,03;60,15;23,68;913,94;;;
Jangada (MT);4750;2946;2211;25,54;20,78;18,66;37,03;31,69;32,73;35,99;13,54;13,44;1217,53;;;
Janiópolis (PR);2494;4038;2863;17,18;16,7;18,5;45,65;44,55;48,51;4,28;18,65;31,43;1207,29;;;
Januária (MG);24141;41322;24731;6,44;6,29;6,16;5,34;5,39;6,12;6,32;38,16;50,18;1011,33;;;
Januário Cicco (RN);5802;3209;2543;4,49;4,27;4,13;5,04;3,71;3,7;3,35;75,59;16,02;1261,41;;;
Japaraíba (MG);1389;2550;1915;10,14;10,08;9,15;33,04;31,74;33,64;6,86;31,01;29,09;899,92;;;
Japaratinga (AL);4446;3308;2618;8,71;8,53;8,44;42,4;37,78;37,27;3,35;29,97;24,27;851,28;;;
Japaratuba (SE);8961;7903;6938;34,26;17,79;9,36;4,49;8,8;14,46;63,13;12,16;20,22;4363,97;;;
Japeri (RJ);;95492;37935;8,78;9,57;8,55;0,3;0,43;0,64;10,42;55,06;34,23;1492,99;;;
Japira (PR);2170;2733;2473;11,16;12,6;12,83;45,89;49,37;53,37;7,62;27,69;18,8;1038,3;;;
Japi (RN);1415;4107;1769;4,56;4,68;4,61;4,96;4,97;5,1;2,61;75,53;16,91;949,11;;;
Japoatã (SE);8626;4312;4782;7,32;7,57;7,51;28,5;25,36;26,35;4,08;46,15;21,26;1082,71;;;
Japonvar (MG);5248;3050;3694;4,75;4,5;4,42;8,85;8,22;8,45;5,79;55,68;29,68;712,75;;;
Japorã (MS);6331;1400;2070;7,73;6,88;7,86;31,21;26,23;33,04;3,57;50;15,22;947,08;;;
Japurá (AM);4028;3298;2351;8,18;8,53;8,43;25,62;28,98;28,42;4,76;53,3;16,33;727,28;;;
Japurá (PR);930;7619;4636;13,46;14,5;14,76;24,23;22,41;22,94;10,28;22,89;42,6;1109,29;;;
Jaqueira (PE);4419;7082;3038;5,24;4,91;5,12;6,3;13,03;19,49;4,54;63,11;26,06;950,28;;;
Jaquirana (RS);1747;2430;1787;11,28;10,75;11,01;33,68;34,78;35,02;7,31;32,13;26,88;1177,35;;;
Jaraguá do Sul (SC);10323;132800;85145;34,68;34,9;30,83;0,6;0,53;0,63;43,83;11,82;43,75;1903,87;;;
Jaraguá (GO);6542;35328;20574;11,12;9,99;8,89;11,46;12,15;12,99;17;25,29;46,24;1051,76;;;
Jaraguari (MS);4555;1786;3432;15,31;16,12;25,44;43,54;48,69;68,82;3,2;27,48;25,78;1025,41;;;
Jaramataia (AL);2645;2913;2078;4,98;5,48;5,09;27,34;34,01;31,38;1,83;53,86;16,96;996,91;;;
Jardim Alegre (PR);5153;7171;5550;12,71;12,47;12,63;26,21;24,94;26,62;4,78;23,33;45,68;1182,02;;;
Jardim (CE);17694;8994;9248;5,18;4,65;4,37;20,24;11,96;11,82;2,81;47,33;29,63;947,03;;;
Jardim de Angicos (RN);2174;433;847;5,88;6,41;5,68;7,36;10,13;9,59;2,59;74,29;15,76;890,74;;;
Jardim de Piranhas (RN);2910;10596;5334;7,81;7,25;5,38;6,88;8,04;8,43;24,28;44,84;24;822,05;;;
Jardim do Mulato (PI);3126;1183;1534;4,06;4,13;3,96;8,92;8,81;6,63;3,76;68,71;18,62;1071,35;;;
Jardim do Seridó (RN);2278;9835;5261;7,39;7,47;7,59;6,52;6,66;5,35;16,13;45,16;32,19;854,8;;;
Jardim (MS);1605;22741;11447;13,69;12,94;13,8;10,43;12,76;12,83;7,87;30,95;50,76;1043,5;;;
Jardim Olinda (PR);408;1001;578;15,68;17,07;17,15;40,29;46,11;46,06;3,95;35,96;19,81;1078,91;;;
Jardinópolis (SC);967;799;989;14,24;13,84;18,36;37,04;38,22;51,05;5,26;33,34;24,35;1166,67;;;
Jardinópolis (SP);1520;36141;16657;17,19;15,87;15,87;10,36;7,33;9,55;17,27;18,32;54,04;1531,34;;;
Jarinu (SP);5418;18429;12644;52,81;46,64;46,88;2,53;2,48;2,49;11,68;6,95;78,83;1651,3;;;
Jari (RS);2962;613;2039;30,22;32,55;34,34;69,33;71,6;73,2;3,72;13,27;13,68;1279,13;;;
Jaru (RO);16887;35118;23178;15,99;15,65;15,61;13,93;13,68;14;15,96;25,84;44,26;1165,59;;;
Jataí (GO);6996;81010;44173;29,73;28,87;27,63;24,27;22,62;26,24;19,55;11,2;44,98;1381,94;;;
Jataizinho (PR);822;11053;5107;12,1;10,77;10,23;11,75;13,55;15,53;14,84;24,21;49,2;1099,68;;;
Jataúba (PE);6635;9184;6597;4,8;4,47;4,51;5,47;7,07;6,51;2,19;58,33;34,02;753,31;;;
Jateí (MS);2140;1871;1775;32,15;34,49;42,01;66,19;67,16;69,13;4,15;16,2;13,46;1219,28;;;
Jati (CE);3171;4489;3361;6,72;7,03;6,72;17,81;7,06;6,72;3,34;43,62;35,24;677,23;;;
Jatobá do Piauí (PI);3768;888;1679;5,16;4,93;4,86;19,02;18,27;16,1;6,62;56,47;17,88;1248,6;;;
Jatobá (MA);4786;3740;2582;4,01;3,59;3,69;24,13;18,74;14,55;4,92;52,08;18,87;902,05;;;
Jatobá (PE);7881;6082;5468;5,6;5,15;4,88;9,13;10,07;10,36;4,41;51,49;34,97;1116,95;;;
Jaú do Tocantins (TO);2197;1310;1487;8,94;9,04;9,35;34,33;36,52;37,18;2,34;48,7;14,62;927,39;;;
Jaupaci (GO);642;2358;1393;9,68;10,39;10,07;34,24;34,4;36,61;7,02;32,32;26,42;1072,05;;;
Jauru (MT);4284;6171;3603;16,56;18,73;19,35;11,97;10,39;10,87;42,12;23,24;22,67;1201,01;;;
Jaú (SP);4097;126943;71033;20,31;20,32;19,83;1,91;1,65;2,36;16,86;12,71;68,52;1364,61;;;
Jeceaba (MG);2407;2988;1775;106,44;83,76;75,02;1,03;1,09;1,31;70,31;4,95;23,71;3390,11;;;
Jenipapo de Minas (MG);4233;2883;2867;4,37;4,34;4,03;4,73;3,92;4,52;3,61;61,42;30,24;996,78;;;
Jenipapo dos Vieiras (MA);12921;2519;4399;3,78;3,61;3,55;29,86;28,14;24,42;3,57;49,81;16,76;650,42;;;
Jequeri (MG);5555;7293;5037;8,16;7,53;7,86;36,49;30,95;32,24;5,03;32,04;26,45;944,6;;;
Jequiá da Praia (AL);9150;2879;3503;14,2;12,43;11,23;48,4;48,02;60,28;17,89;21,02;12,7;1094,35;;;
Jequié (BA);12469;139426;68302;10,05;9,99;10;1,9;3,1;2,4;20,83;23,79;53,47;1052,35;;;
Jequitaí (MG);2501;5504;3488;6,81;6,39;6,26;21,91;17,89;21,08;6,01;41,68;30,39;993,74;;;
Jequitibá (MG);3193;1963;2533;12,76;12,16;13;38,7;35,56;41,59;13,87;24,77;22,66;896,87;;;
Jequitinhonha (MG);7070;17061;10336;5,88;5,94;6,23;12;10,43;13,26;6,33;43,39;38,28;872,12;;;
Jeremoabo (BA);20243;17437;16010;5,29;5,53;5,05;16,71;17,15;14,54;6,64;42,73;33,92;999,85;;;
Jericó (PB);2809;4729;2203;5,47;5,24;5,05;8,05;8,35;9,06;4,28;61,51;26,17;834,96;;;
Jeriquara (SP);554;2606;1529;18,46;15,9;20,08;45,52;40,42;50,05;5,69;19,77;29,01;1108,34;;;
Jerônimo Monteiro (ES);2344;8535;4726;7,63;7,56;7,48;11,86;9,65;11,72;7,61;43,56;36,97;1075,95;;;
Jerumenha (PI);1921;2469;1437;6,62;7,26;6,21;18,23;28,64;14,01;7,92;49,91;23,95;619,83;;;
Jesuânia (MG);1674;3094;2282;8,07;7,59;9;33,08;26,61;37,7;3,65;34,87;28,4;793,13;;;
Jesuítas (PR);2931;6070;4655;21,48;21,39;23,76;32,41;32,95;30,14;18,66;14,19;34,74;1104,67;;;
Jesúpolis (GO);466;1834;950;8,07;7,43;7,03;18,55;20,11;21,5;5,64;48,37;27,44;998,23;;;
Jijoca de Jericoacoara (CE);11446;5556;7392;7,84;8,26;9,01;3,19;2,67;1,95;4,59;31,79;60,42;824,18;;;
Ji-Paraná (RO);11752;104858;56880;16,15;15,25;15,1;5,31;5,48;5,43;14,72;25,46;54,51;1180,29;;;
Jiquiriçá (BA);8537;5581;6431;4,64;4,61;4,81;15,03;13,84;25,33;13,28;45,64;26,05;1103,2;;;
Jitaúna (BA);4855;9260;5110;5,89;6,67;6,01;19,76;24,76;20,13;5,46;40,75;34,03;989,9;;;
Joaçaba (SC);2096;24924;15799;38,93;36,59;33,7;4,28;3,7;3,71;26;9,69;60,02;1434,25;;;
Joaíma (MG);4668;10273;5925;5,25;5,28;5,31;12,92;11,25;12,86;6,63;49,51;30,94;916,39;;;
Joanésia (MG);3363;2062;2099;7,35;11,54;12,61;6,63;4,68;4,95;29,65;39,99;23,73;1019,32;;;
Joanópolis (SP);;11768;6062;10,92;10,58;10,46;10,51;9,81;14,21;8,27;26,61;54,61;1048,11;;;
João Alfredo (PE);15723;15020;10870;5,2;4,72;4,68;2,91;2,2;3,2;11,27;51,79;34,03;953,74;;;
João Câmara (RN);9570;22657;12582;12,11;17,13;18,04;2,6;2,06;1,74;30,82;27,62;38,95;1113,38;;;
João Costa (PI);2259;701;1134;4,95;4,84;5,13;12,19;12,56;14,91;4,02;67,28;16,51;902,97;;;
João Dias (RN);1435;1166;371;5,39;5,16;4,64;8,29;5,88;5,13;2,14;69,52;20,04;788,96;;;
João Dourado (BA);8980;13569;8845;5,36;5,88;5,65;13,31;15,09;13,69;8,73;41,82;36,13;983,3;;;
João Lisboa (MA);5045;15336;6984;5,84;5,59;5,77;14,59;15,34;14,32;19,15;36,39;29,87;776,82;;;
João Monlevade (MG);333;73277;34597;23,95;21,49;19,48;0,04;0,04;0,05;42,07;13,4;44,49;1318,79;;;
João Neiva (ES);3057;12752;7412;15,35;14,05;13,32;6,96;7,41;8,19;27,01;22,64;43,39;1257,02;;;
João Pessoa (PB);2730;720785;347079;17,59;16,67;15,5;0,09;0,09;0,1;21,05;20,99;57,87;1628,38;;;
João Pinheiro (MG);8499;36761;20812;17,72;17,65;18,24;26,77;23,13;26,01;18,12;15,92;39,19;1226,32;;;
João Ramalho (SP);607;3543;1998;22,26;21,71;23,75;58,25;59,96;63,46;5,06;15,59;21,09;1139,42;;;
Joaquim Felício (MG);1779;2526;1760;7,52;6,96;6,2;24,95;23,64;17,62;5,68;44,14;25,24;852,41;;;
Joaquim Gomes (AL);8098;14477;6492;4,24;4,39;5,89;22,77;24,63;44,8;3,35;54,08;19,8;1150,22;;;
Joaquim Nabuco (PE);4269;11504;4867;4,67;4,92;5,08;8,18;7,17;11,11;3,72;63,63;24,47;980,88;;;
Joaquim Pires (PI);9561;4256;3296;3,99;4,02;4,11;9,37;8,72;8,46;3,87;64,74;22,01;971,17;;;
Joaquim Távora (PR);2516;8220;5475;28,43;29,24;29,9;9,39;10,67;10,9;38,44;10,83;41,35;1119,36;;;
Joca Marques (PI);3423;1677;1311;3,98;3,94;3,99;10,54;10,19;9,97;2,97;70,68;15,81;1064,94;;;
Jóia (RS);6242;2089;4197;31,22;30,87;30,95;56,36;59,82;61,48;3,67;11,55;28,42;1352,27;;;
Joinville (SC);17438;497850;280006;35,68;34,1;29,39;0,35;0,36;0,41;37,64;10,95;51,07;1751,02;;;
Jordânia (MG);3103;7221;4274;5,16;5,05;5,06;14,62;13,25;12,34;4;48,91;32,48;772,98;;;
Jordão (AC);4305;2272;1560;7,57;6,99;6,43;14,15;17,32;16,41;3,73;69,66;12,46;943,48;;;
José Boiteux (SC);3110;1611;2366;13,17;13,07;13,39;30,25;30,23;32,01;15,17;25,47;29,11;1049,27;;;
José Bonifácio (SP);3079;29684;17568;25,13;22,44;22,86;7,92;8,06;12,25;23,98;12,12;55,98;1334,01;;;
José da Penha (RN);2326;3542;2084;5,39;5,36;4,79;9,51;7,38;6,9;2,71;61,47;26,31;801,66;;;
José de Freitas (PI);15484;21601;14677;5,29;5,17;5,12;8,73;7,94;7,61;10,59;51,2;29,48;873,83;;;
José Gonçalves de Minas (MG);3415;1138;2100;5,66;5,34;5,02;14,82;10,96;9,34;4,17;54,88;26,13;989,48;;;
Joselândia (MA);9473;5960;4635;4,41;3,71;4,04;25,14;18,48;15,71;4,56;44,79;25,51;894,99;;;
Josenópolis (MG);2122;2444;1813;4,56;5,88;5,23;5,18;27,99;19,61;2,98;67,67;24,17;1062,96;;;
José Raydan (MG);2808;1568;1958;7,06;6,15;6,95;16,2;15,93;13,72;12,89;43,53;27,38;786,44;;;
Joviânia (GO);646;6472;3626;17,26;16,87;18,88;32,5;32,19;38,09;6,04;17,46;44;1185,74;;;
Juara (MT);6771;26020;15426;14,7;15,01;15,37;16,82;19,05;21,7;16,75;25,62;40,81;1223,54;;;
Juarez Távora (PB);1607;5852;2837;5,08;4,93;4,81;5,48;4,96;4,39;4,76;66,78;22,98;870,65;;;
Juarina (TO);1198;1033;821;7,42;9,4;9,75;20,42;35,07;34,89;2,73;61,92;14,93;1084,01;;;
Juatuba (MG);375;21827;10139;32,51;32,53;28,31;0,35;0,31;0,44;48,33;13,56;37,76;1405,41;;;
Juazeirinho (PB);7652;9124;7131;5,56;5,42;5,32;5,13;5,21;5,28;6,36;57,22;31,29;860,98;;;
Juazeiro (BA);37190;160775;85740;10,94;10,37;10,36;5,58;5,58;5,72;13,8;23,09;57,53;1189,07;;;
Juazeiro do Norte (CE);9811;240128;107612;11,4;10,64;10,36;0,55;0,41;0,43;12,41;19,36;67,68;1047,11;;;
Juazeiro do Piauí (PI);3278;1479;1690;5,39;4,79;4,86;10,72;10,37;8,76;7,1;56,53;25,65;840,66;;;
Jucás (CE);9657;14150;6922;5,69;5,09;4,78;15,15;9,54;10,56;10,4;42,6;31,85;582,23;;;
Jucati (PE);7776;2828;5135;5,13;5,35;5,55;21,14;28,31;26,46;2,35;56,48;20,03;1035,73;;;
Jucuruçu (BA);7998;2292;2847;7,84;7;6,39;47,05;44,89;45,24;8,97;29,11;14,87;820,46;;;
Jucurutu (RN);7125;10567;6829;6,96;6,89;6,77;9,54;10,49;9,68;6,45;50,96;33,05;869,42;;;
Juína (MT);5295;33960;18783;15,43;15,52;15,94;11,43;11,78;12,23;15,21;25,39;47,96;1209,73;;;
Juiz de Fora (MG);5869;510378;261632;19,95;18,77;17,24;0,35;0,27;0,29;22,29;15,32;62,03;1425,11;;;
Júlio Borges (PI);3755;1618;1531;4,38;4,69;4,57;16,22;15,99;14,44;3,24;65,67;14,87;800,05;;;
Júlio de Castilhos (RS);3473;16106;9002;33,52;35,54;35,52;30,83;29,99;31,31;5,7;10,89;52,58;1284,66;;;
Júlio Mesquita (SP);216;4214;1995;7,13;6,95;7,19;5,54;5,68;13,81;6,08;43,22;45,15;971,4;;;
Jumirim (SP);1175;1623;1594;17,95;15,65;14,96;7,17;7,78;8,25;40,45;23,77;28,61;1331,71;;;
Junco do Maranhão (MA);1201;2819;1403;6,7;6,97;7,81;35,46;37,01;36,98;3,52;37,36;23,66;716,86;;;
Junco do Seridó (PB);2274;4369;2472;6,29;6,29;6,56;5,74;5,02;4,68;17,75;50,34;26,18;826,93;;;
Jundiá (AL);1375;2827;1266;7;6,67;6,94;29,3;29,35;29,32;3,02;50,52;17,16;820,48;;;
Jundiaí do Sul (PR);1457;1976;1571;13,59;18,33;18,93;49,29;60,27;62,15;5,76;27,45;17,5;1162,17;;;
Jundiaí (SP);15922;354204;198209;77,15;70,2;65,1;0,38;0,38;0,4;26,62;5,08;67,92;2030,02;;;
Jundiá (RN);2622;960;1314;5,17;5,11;4,87;7,56;7,76;6,81;2,35;74,73;15,36;1036,96;;;
Junqueiro (AL);16033;7803;8919;6,38;7,98;9,62;28,9;41,97;50,28;8,11;38,58;24,4;952,54;;;
Junqueirópolis (SP);3327;15399;9449;19,83;31,22;31,25;11,56;7,71;6,78;18,77;14,9;54,76;1704,43;;;
Jupiá (SC);1104;1044;1030;15,73;15,05;16,55;38,41;37,6;39,45;11,34;26,43;23,82;1261,37;;;
Jupi (PE);5349;8356;6176;6,08;5,93;6,29;16,83;22,26;25,33;3,36;48,77;31,04;859,04;;;
Juquiá (SP);7107;12139;7867;10,93;9,5;11,92;25,81;19,15;36,62;6,8;24,41;42,99;1188,45;;;
Juquitiba (SP);6497;22240;13389;10,99;10,41;9,53;0,15;0,16;0,19;12,03;24,45;63,37;1228,29;;;
Juramento (MG);1841;2272;1987;6,3;6,61;6,41;19,59;22,47;20,42;4,56;49,79;26,06;756,45;;;
Juranda (PR);1802;5839;3712;27,53;27;28,87;36,48;33,32;36,57;4,24;11,22;48,06;1147,36;;;
Jurema (PE);5788;8753;5342;4,49;4,32;4,42;4,41;6,16;11,23;4,25;63,24;28,09;980,93;;;
Jurema (PI);3651;866;1512;4,52;4,56;4,71;7,94;9,1;7;4,29;66,91;20,85;790,79;;;
Juripiranga (PB);651;9586;2745;6,24;5,91;6,15;14,78;12,85;20,06;3,4;53,73;28,09;671,45;;;
Juruá (AM);5116;5686;3822;5,21;4,95;4,34;21,57;22,49;19,12;4,76;59,33;14,34;961,45;;;
Juruaia (MG);4724;4514;5224;11,65;10,99;11,55;27,35;22,59;29,45;16,33;22,84;33,48;890,93;;;
Juruena (MT);4400;6801;5089;8,81;8,13;7,92;14,2;13,91;14,99;14,66;39,16;31,98;1134,94;;;
Juru (PB);5467;4359;2705;4,71;4,66;4,77;7,02;6,59;7,42;3,01;70,11;19,86;867,09;;;
Juruti (PA);31234;15852;15894;13,51;10,28;11,31;33,55;10,99;14,35;26,36;18,59;21,49;1679,34;;;
Juscimeira (MT);2929;8501;5293;16,66;15,7;18,32;39,84;36,05;33,67;15,9;22,76;21,5;1255,01;;;
Jussara (BA);5000;10052;5512;4,2;4,14;3,9;9,43;10;8,37;5,85;54,1;30,61;1190,38;;;
Jussara (GO);3946;15207;9351;16,67;14,34;14,75;28,66;29,93;30,29;5,87;18,38;47,09;1068,85;;;
Jussara (PR);686;5924;3292;20,17;20,69;20,27;25,91;26,39;27,24;3,93;16,43;53,74;1332,13;;;
Jussari (BA);1598;4876;2316;5,81;6,14;5,36;31,27;33,66;31;4,4;41,56;22,77;783,86;;;
Jussiape (BA);4963;3068;3593;4,87;5,22;5,19;19,38;22,68;21,37;6,48;44,77;29,37;676,09;;;
Jutaí (AM);7440;10552;5372;8,45;8,56;8,12;42,37;45,02;43,84;4,68;38,88;14,06;758,81;;;
Juti (MS);1975;3925;2103;20,67;19,33;27,92;56,71;53,91;52,84;4,4;20,18;18,71;1038,02;;;
Juvenília (MG);1316;4392;1647;5,62;5,49;5,64;17,07;16,11;19,05;4,94;52,88;25,1;833,78;;;
Kaloré (PR);1288;3218;2185;15,51;16,18;14,2;36,93;36,82;33,48;3,74;22,14;37,18;893,18;;;
Lábrea (AM);13494;24207;13490;6,84;6,52;6,53;42,71;44,61;47,2;3,67;39,29;14,33;1065,21;;;
Lacerdópolis (SC);1039;1160;1256;28,15;26,42;26,24;34,87;31,64;32,9;14,34;16,71;34,08;1236,73;;;
Ladainha (MG);12684;4310;5650;4,07;4,08;4,04;13,06;12,48;11,06;2,83;60,43;23,67;1028,96;;;
Ladário (MS);1030;18587;7731;11,59;9,29;8,28;1,81;2,12;2,28;7,14;31,37;59,69;2468,93;;;
Lafaiete Coutinho (BA);1797;2104;1792;5,68;6,17;6,14;19,38;25,5;25,36;5,39;50,28;24,95;891,07;;;
Lagamar (MG);2472;5128;3361;13,58;12,61;13,65;27,06;28,38;31,13;21,46;21,36;30,12;1071,81;;;
Lagarto (SE);45994;48867;42139;9,59;9,14;9;9,97;10,96;10,7;17,1;36,33;36,6;1027,76;;;
Lages (SC);2790;153937;74813;21,7;21,59;19,87;2,02;2,12;2,73;29,45;15,59;52,94;1316,1;;;
Lagoa Alegre (PI);4966;3042;2954;3,79;4,23;4,3;8,66;7,88;7,79;5,78;62,54;23,02;1124,46;;;
Lagoa Bonita do Sul (RS);2278;384;1762;14,06;13,71;12,14;53,67;54,91;52,18;4,06;25,52;16,75;1195,25;;;
Lagoa da Canoa (AL);9085;9165;6640;4,71;5,13;4,59;18,36;20,02;12,89;3,47;52,89;25,29;954,26;;;
Lagoa da Confusão (TO);3878;6332;4117;29,67;26,92;23,9;52,02;43,43;51,47;9,38;13,36;25,24;1323,31;;;
Lagoa D'Anta (RN);2245;3982;2393;4,8;5,03;4,77;2,4;3,77;3,14;2,8;72,63;22,17;995;;;
Lagoa da Prata (MG);1046;44938;23676;20,53;19,29;18,03;3,37;2,62;3,73;22,58;13,84;60,22;1211,72;;;
Lagoa de Dentro (PB);3395;3975;2606;5,86;5,86;5,78;9,22;10,03;10,47;3,57;61,19;26,02;817,1;;;
Lagoa de Itaenga (PE);3541;17118;7693;8,82;9,03;9,01;3,72;3,92;5,89;33,25;35,35;27,68;936,61;;;
Lagoa de Pedras (RN);4752;2237;2644;4,94;5,14;4,77;10,67;10,91;10,4;3,25;71,24;14,84;1024,76;;;
Lagoa de São Francisco (PI);4330;2092;1397;3,95;3,78;3,81;3,28;2,52;2,76;4,28;71,24;21,2;948,09;;;
Lagoa de Velhos (RN);875;1793;841;6,82;7,88;7,11;6,66;5,79;6,21;9,94;65,34;18,07;1012,74;;;
Lagoa do Barro do Piauí (PI);3529;994;874;4,47;4,79;4,39;10,06;10,06;8,66;3;65,58;21,36;1118,31;;;
Lagoa do Carro (PE);4375;11632;6143;6,89;6,86;7,58;25,82;23,06;27,96;3,04;41,31;29,83;911,12;;;
Lagoa do Mato (MA);6481;4453;4175;4,35;4;4,01;27,49;21,33;16,44;4,78;46,14;21,58;991,25;;;
Lagoa do Ouro (PE);6103;6029;4841;5,43;5,32;5,36;19,78;23,37;26,52;2,55;55,76;21,91;995,6;;;
Lagoa do Piauí (PI);2191;1672;1407;8,54;6,24;6,51;6,27;7,9;7,16;36,41;35,66;21,66;1058,29;;;
Lagoa dos Gatos (PE);6974;8641;6006;4,3;4,15;3,88;6,16;6,33;5,39;3,95;62,34;27,55;1188,67;;;
Lagoa do Sítio (PI);3127;1723;1562;4,31;4,43;4,76;12,53;14,34;17,41;3,77;64,72;18,98;754,54;;;
Lagoa dos Patos (MG);1146;3079;1971;6,77;6,62;6,71;22,96;21,4;24,02;7,75;46,68;22,61;905,83;;;
Lagoa dos Três Cantos (RS);791;807;1042;30;31,77;34,62;48,94;52,91;57,36;3,86;17,46;29,74;1398,89;;;
Lagoa do Tocantins (TO);987;2538;1143;6,13;5,92;5,61;18,06;15,7;14,11;3,29;63,61;15,04;895,19;;;
Lagoa Dourada (MG);5367;6889;5283;8,31;8,46;11,83;30,24;27,4;43,65;5,79;32,01;31,96;878,59;;;
Lagoa Formosa (MG);4194;12967;8564;11,31;11,46;12,4;33,87;32,35;34,32;7,37;24,36;34,4;1027,7;;;
