Territorialidades;População rural 2010;População urbana 2010;População economicamente ativa de 18 anos ou mais de idade 2010;Produto Interno Bruto per capita 2014;Produto Interno Bruto per capita 2015;Produto Interno Bruto per capita 2016;Participação da Agropecuária no Valor Adicionado 2014;Participação da Agropecuária no Valor Adicionado 2015;Participação da Agropecuária no Valor Adicionado 2016;Participação da Indústria no Valor Adicionado 2014;Participação da Administração Pública no Valor Adicionado 2014;Participação dos Serviços no Valor Adicionado 2014;Rendimento médio no setor formal 2014;Esperança de vida ao nascer 2014;Média de anos de estudo 2014;% de 25 anos ou mais de idade com ensino superior completo 2014
Águas Lindas de Goiás (GO);240;159138;73008;6,17;5,96;5,65;0,22;0,23;0,21;11,27;40,14;48,37;1064,66;;;
Águas Mornas (SC);3221;2327;3448;19,07;16,35;15,68;28,15;29,51;27,29;23,28;16,72;31,85;1212,37;;;
Águas Vermelhas (MG);3781;8941;4585;9,14;9,05;9,04;12,59;10,14;12,94;6,41;28,99;52;778,55;;;
Agudo (RS);9833;6889;9804;19,77;18,09;16,45;29,92;27,98;25,9;20,05;16,83;33,2;1275,67;;;
Agudos do Sul (PR);5448;2822;4076;12,46;12,44;12,29;45,72;42,68;37,41;6,07;22,1;26,11;1044,9;;;
Agudos (SP);1531;32993;17044;45,64;52,29;46,36;3,24;1,83;2,64;55,07;7,94;33,76;1421,18;;;
Águia Branca (ES);6468;3051;5170;11,67;11,63;10,92;26,29;21,64;19,65;12,44;30,46;30,81;1166,73;;;
Aguiarnópolis (TO);1020;4142;1985;11,55;12,83;14,17;18,31;19,97;31,66;8,06;37,93;35,7;992,96;;;
Aguiar (PB);2829;2701;2182;5,33;5,16;5,29;11,43;12,33;11,53;3,84;61,55;23,18;762,56;;;
Aimorés (MG);5259;19700;11157;11,72;11,17;10,6;12,4;10,3;11,53;19,73;25,86;42;998,01;;;
Aiquara (BA);1922;2680;1930;7,82;7,89;6,97;34,93;35,36;34,95;5,05;40,81;19,21;829,77;;;
Aiuaba (CE);12252;3951;5842;4,35;4,51;3,95;23,51;14,64;12,28;2,15;50,55;23,8;597,22;;;
Aiuruoca (MG);3039;3123;3141;8,79;8,83;10,52;23,04;22;33,73;5,66;32,4;38,9;977,01;;;
Ajuricaba (RS);3147;4108;4336;21,11;23,28;23,73;34,3;35,36;37,79;6,54;16,02;43,14;1228,85;;;
Alagoa Grande (PB);10948;17531;10389;5,8;5,69;5,56;7,19;6,95;7,13;5,18;56,24;31,39;1034,89;;;
Alagoa (MG);1599;1110;1296;8,04;7,83;7,57;21,15;15,49;16,6;3,22;48,87;26,76;1055,61;;;
Alagoa Nova (PB);9887;9794;7719;8,61;9,06;8,09;36,64;39,25;33,24;6,89;37,51;18,96;909,62;;;
Alagoinha do Piauí (PI);4672;2669;1928;4,11;4,34;4,05;11,01;13,73;7,47;3,92;61,6;23,47;959,03;;;
Alagoinha (PB);4542;9034;5078;4,66;4,62;4,6;8,08;9,41;8,93;3,56;66;22,36;982,11;;;
Alagoinha (PE);5990;7769;5594;5,77;5,69;5,47;15,02;19,48;18,69;2,29;50,94;31,75;918,47;;;
Alagoinhas (BA);17907;124042;64401;14,13;12,79;13,58;2,75;2,9;2,88;29,87;16,7;50,68;1220,97;;;
Alambari (SP);1212;3672;2222;10,28;10,99;10,24;31,46;38,28;35,74;7,21;30,88;30,45;1111,97;;;
Albertina (MG);901;2012;1582;18,69;18,24;17,13;13,6;12,99;12,13;4,11;20,75;61,54;1032,72;;;
Alcântara (MA);15452;6399;7243;3,64;3,48;3,6;16,54;15,25;12,78;7,69;51,77;24,01;1754,09;;;
Alcântaras (CE);7323;3448;3754;4,19;3,78;3,47;7,96;6,92;7,6;8,88;59,92;23,24;789,73;;;
Alcantil (PB);3175;2064;1918;5,14;4,92;4,72;11,96;11,31;10,49;3,12;67,38;17,55;882,86;;;
Alcinópolis (MS);1433;3136;2297;22,66;23,21;20,38;53,88;58,06;54,86;3,26;25,16;17,7;1637,02;;;
Alcobaça (BA);10186;11085;8933;7,1;7,27;7,4;28,33;27,74;32,15;4,94;34,29;32,44;1052,17;;;
Aldeias Altas (MA);10318;13634;7617;5,25;5,83;4,3;35,74;41,69;19,76;5,65;38,91;19,69;823,28;;;
Alecrim (RS);4880;2165;3685;10,07;9,88;9,88;29,85;28,33;29,71;3,92;31,1;35,13;1320,43;;;
Alegre (ES);9256;21512;15078;11,35;9,68;10,06;6,73;7,83;10,4;28,38;28,39;36,5;1339,86;;;
Alegrete do Piauí (PI);2316;2837;1703;4,48;4,77;4,67;8,43;10,23;8,29;3,25;57,81;30,51;1026,02;;;
Alegrete (RS);8059;69594;36601;16,69;16,74;15,73;22,72;23,81;22,51;12,78;19,74;44,77;1201,08;;;
Alegria (RS);2716;1585;2473;15,63;16,16;17,36;34,12;34,16;38,75;5,24;25,72;34,93;1299,33;;;
Além Paraíba (MG);2282;32067;16202;16,29;16,42;15,22;1,04;0,94;1,19;12,72;16,83;69,41;1009,71;;;
Alenquer (PA);24904;27722;17531;7,7;6,85;7,97;44,94;39,79;45,43;4,8;32,33;17,93;1116,12;;;
Alexandria (RN);4318;9189;4614;5,68;5,87;5,7;7,12;3,66;2,8;2,12;57,35;33,42;857,35;;;
Alexânia (GO);4138;19676;10345;20,43;20,18;35,16;9,96;8,67;4,28;18,61;15,79;55,63;1259,03;;;
Alfenas (MG);4598;69176;37041;19,63;19,5;19,23;5,01;5,07;8,41;15,86;14,53;64,59;1483,38;;;
Alfredo Chaves (ES);7410;6545;7764;16,56;14,3;15,47;22,72;22,63;27,95;29,7;19,7;27,88;1111,92;;;
Alfredo Marcondes (SP);636;3255;1844;14,2;12,62;12;8,36;7,42;9,8;25,93;27,44;38,27;1217,43;;;
Alfredo Vasconcelos (MG);2044;4031;2693;8,73;8,83;9,23;33,1;31,1;34,04;13,9;29,53;23,47;882,92;;;
Alfredo Wagner (SC);6542;2868;4794;14,28;14,14;18,22;39,19;40,9;51,73;6,32;20,33;34,16;1012,41;;;
Algodão de Jandaíra (PB);1135;1231;841;6,74;6,7;6,18;5,97;6,28;6,27;2,93;71,61;19,49;891,67;;;
Alhandra (PB);6854;11153;6300;29,52;28,88;29,55;3,41;3,42;3,94;10,52;15,81;70,26;1407,82;;;
Aliança do Tocantins (TO);915;4756;2228;9,05;9,42;11,25;22,44;25,92;39,9;5,82;45,34;26,4;987,17;;;
Aliança (PE);17168;20247;11504;5,3;5,05;5,56;12,89;16,2;14,63;4,81;53,14;29,16;905,29;;;
Almadina (BA);1277;5080;2020;8,74;6,81;6,07;46,9;35,37;35,3;5,52;30,51;17,07;876,41;;;
Almas (TO);1577;6009;2820;11,3;11,69;11,35;47,63;51,03;50,25;3,75;33,49;15,13;961;;;
Almeirim (PA);13649;19965;13370;11,83;10,28;11,76;10,01;13,83;13,24;36,47;26,81;26,71;1551,78;;;
Almenara (MG);7025;31750;17312;7,99;8,03;7,58;4,39;3,65;3,57;12,71;32,47;50,44;979,24;;;
Almino Afonso (RN);1392;3479;1763;4,98;5,05;4,63;6,82;5,85;6,04;7,2;65,18;20,8;874,84;;;
Almirante Tamandaré do Sul (RS);1228;839;1197;39,16;41,89;43,89;53,56;55,73;58,39;5,16;12,06;29,22;1433,22;;;
Almirante Tamandaré (PR);4312;98892;50881;8,57;8,06;8,12;2,13;2,13;2,48;30,53;28,99;38,35;1316,26;;;
Aloândia (GO);282;1769;977;12,88;12,36;12,4;24,85;24,76;30,14;5,65;33,44;36,06;972,2;;;
Alpercata (MG);1512;5660;2780;6,7;6,35;6,78;10,04;8,75;7,8;6,69;44,3;38,97;872,21;;;
Alpestre (RS);5816;2211;5004;12,34;50,6;39,8;39,04;8,38;11,17;4,33;29,37;27,26;1485,66;;;
Alpinópolis (MG);3498;14990;8814;11,64;11,11;11,68;18,67;16,74;22,93;9,4;23,06;48,87;1002,92;;;
Alta Floresta D'Oeste (RO);10422;13970;9928;11,59;11,89;12,44;34,19;36,78;36,55;6,14;35,23;24,44;1085,7;;;
Alta Floresta (MT);6446;42718;24365;16,7;18,22;21;9,8;8,38;7,78;14,74;23,89;51,57;1227,91;;;
Altair (SP);793;3022;1796;19,1;15,24;32,52;56,51;49,91;70,31;5,2;17,98;20,31;1373,44;;;
Altamira do Maranhão (MA);7909;3154;2531;3,7;3,74;4,04;30,45;29,49;26,66;3,26;50,35;15,94;786,43;;;
Altamira do Paraná (PR);2171;2135;2014;13,04;13,78;15,16;44,23;44,81;46,1;3,16;27,87;24,73;951,9;;;
Altamira (PA);14983;84092;42494;29,11;21,32;14,93;5,93;8,31;11,47;55,69;8,78;29,6;2371,56;;;
Altaneira (CE);1899;4957;1950;5,14;4,3;4,05;21,34;10,35;6,41;3,73;49,91;25,02;847,22;;;
Alterosa (MG);3715;10002;6610;9,23;8,94;9,75;21,04;19,78;27,3;6,9;28,61;43,45;886,37;;;
Altinho (PE);9577;12776;8515;4,64;4,29;4,06;5,61;7,35;7,9;3,97;59,58;30,84;989,66;;;
Altinópolis (SP);1971;13636;7899;19,1;17,01;18,95;31,57;27,44;35,05;5,54;15,48;47,41;1138,89;;;
Alto Alegre do Maranhão (MA);5225;19374;7121;6,08;5,54;5,41;6,61;7,04;4,12;9,41;32,31;51,67;752,44;;;
Alto Alegre do Pindaré (MA);21228;9829;7536;3,4;3,36;3,73;24,67;14,53;14,1;4,31;50,44;20,57;1274,21;;;
Alto Alegre dos Parecis (RO);9159;3657;5372;11,97;11;10,91;44,23;43,13;43,55;5,5;34,33;15,94;1046,79;;;
Alto Alegre (RR);11668;4780;5020;9,19;9,88;10,29;14,58;23,66;26,91;2,8;71,32;11,3;1088,04;;;
Alto Alegre (RS);1105;743;1107;23,22;22,4;24,16;43,11;43,05;46,88;4,43;19,89;32,57;1717,73;;;
Alto Alegre (SP);868;3234;2089;17,23;13,65;16,29;37,45;29,04;40,39;10,38;20,72;31,44;1174,41;;;
Alto Araguaia (MT);1823;13821;8010;35,55;32,6;33,39;17,46;17,22;17,18;38,07;12,5;31,97;1441,26;;;
Alto Bela Vista (SC);1400;605;1191;17,76;17,53;16,41;34,27;31,84;34,6;16,51;27,17;22,05;1338,96;;;
Alto Boa Vista (MT);2069;3178;1912;9,03;9,92;11,21;25,58;30,28;31,56;3,09;44,7;26,62;1501;;;
Alto Caparaó (MG);1333;3964;2854;7,83;9,27;10,08;20,08;20,28;30,71;5,03;37,48;37,42;930,07;;;
Alto do Rodrigues (RN);3432;8873;5225;36,89;23,19;20,01;2,23;3,26;10,1;66,4;11,99;19,37;1689,02;;;
Alto Feliz (RS);2101;816;2039;16,95;18,33;18,2;31,31;28,49;30,69;22,64;23,84;22,2;1270,88;;;
Alto Garças (MT);895;9455;5270;32,14;29,29;34,2;44,5;43,57;49,98;4,14;12,32;39,04;1603,07;;;
Alto Horizonte (GO);642;3863;2104;69,97;67,22;46,26;2,34;2,32;3,04;66,65;8,88;22,13;2077,83;;;
Alto Jequitibá (MG);4018;4300;4137;7,91;9,25;8,09;28,93;24,4;26,32;6,97;32,93;31,17;976,95;;;
Alto Longá (PI);6932;6714;5277;3,85;4,14;4,1;9,21;6,85;6,18;3,75;63,96;23,08;856,61;;;
