Territorialidades;% dos ocupados no setor agropecuário 2010;% dos ocupados no setor extrativo mineral 2010;Esperança de vida ao nascer 2010;População rural 2010;População urbana 2010;População economicamente ativa de 18 anos ou mais de idade 2010;Produto Interno Bruto per capita 2014;Produto Interno Bruto per capita 2015;Participação da Agropecuária no Valor Adicionado 2014;Participação da Agropecuária no Valor Adicionado 2015;Participação da Indústria no Valor Adicionado 2014;Participação da Indústria no Valor Adicionado 2015;% de cobertura vegetal natural 2014;Expectativa de anos de estudo aos 18 anos de idade 2010
Mâncio Lima (AC);36,83;0,11;71,17;6456;8750;4723;8,8;7,57;25,6;22,63;6,91;6,9;95,54;9,49
Mandaguaçu (PR);11,24;0,11;74,47;2196;17585;10098;15,09;15,36;17,4;15,99;12,45;12,56;7,79;9,86
Mandaguari (PR);12,33;0,06;75,39;1724;30934;17270;24,42;24,55;10,36;12,11;39,72;38,16;10,55;11,09
Mandirituba (PR);30,51;0,3;73,42;14806;7414;10924;17,69;15,97;17,97;18,02;27;21,15;49,22;9,95
Manduri (SP);33,65;;74,05;1214;7778;4657;11,34;11,63;19,92;22,99;11,5;8,78;10,39;10,73
Manfrinópolis (PR);64,91;;73,31;2475;652;1488;12,04;11,7;52,11;49,62;2,95;3,04;38,39;9,94
Manga (MG);36,97;;72,96;5965;13848;7279;6,98;6,98;14,1;13,8;5,19;5,3;58,81;8,78
Mangaratiba (RJ);3,56;2,06;75,71;4336;32120;17300;59,26;65,49;0,57;0,54;5,27;4,7;80,01;9,63
Mangueirinha (PR);40,47;0,15;73,67;8654;8394;7751;37,59;44,94;15,11;13,08;53,5;61,56;25,83;10,41
Manhuaçu (MG);27,51;0,05;75,35;14735;64839;38751;16,6;16,26;4,88;5,2;22,72;22,57;29,29;9,13
Manhumirim (MG);31,35;0,05;75,74;4339;17043;10002;12,9;13,28;7,86;8;4,8;3,92;28,33;8,62
Manicoré (AM);47,31;1,13;69,83;26668;20349;16737;6,93;6,7;36,89;38,93;6,15;5,14;95,73;8,2
Manoel Emídio (PI);34,74;;70,47;1898;3315;1228;5,04;4,92;10,95;12;4,57;4,01;94,38;8,71
Manoel Ribas (PR);36,61;0,2;73,36;6364;6805;6898;17,16;15,87;35,12;29,5;5,52;5,65;16,08;11,28
Manoel Urbano (AC);31,77;;71,04;2703;5278;2730;8,75;9,92;23,17;18,63;4,15;3,76;95,4;5,88
Manoel Viana (RS);30,4;0,5;70,96;1710;5362;3216;18,44;20,74;49,43;53,57;5,21;4,61;48,93;9,96
Manoel Vitorino (BA);49,17;;69,48;7028;7359;5444;5,08;5,13;18,82;20,18;4,49;4,29;39,89;9,58
Mansidão (BA);42,54;;70,12;7810;4782;3716;3,43;3,69;10,92;12;4,25;4,31;80,71;8,55
Mantena (MG);20,92;1,12;73,16;5853;21258;11593;8,96;8,98;8,92;9,9;9,78;9,12;7,3;9,2
Mantenópolis (ES);50,05;;73,61;4965;8647;5693;6,74;6,28;17,51;14,15;6,41;6,66;7,76;9,01
Maquiné (RS);49,23;1,53;77,77;4841;2064;3612;11,05;11,09;23,7;24,48;14,77;14,37;71,09;9,62
Maraã (AM);61,78;;70,78;8775;8753;4544;5,05;4,81;20,21;20,35;3,97;3,28;90,72;6,02
Marabá (PA);12,73;1,25;72,09;47399;186270;97592;19,33;20,12;4,09;4,17;37,91;43,4;54,5;8,53
