Territorialidades;% dos ocupados no setor agropecuário 2010;% dos ocupados no setor extrativo mineral 2010;Esperança de vida ao nascer 2010;População rural 2010;População urbana 2010;População economicamente ativa de 18 anos ou mais de idade 2010;Produto Interno Bruto per capita 2014;Produto Interno Bruto per capita 2015;Participação da Agropecuária no Valor Adicionado 2014;Participação da Agropecuária no Valor Adicionado 2015;Participação da Indústria no Valor Adicionado 2014;Participação da Indústria no Valor Adicionado 2015;% de cobertura vegetal natural 2014;Expectativa de anos de estudo aos 18 anos de idade 2010
Diorama (GO);45,21;0,13;75,48;973;1506;1286;13,36;12,26;47,26;50,3;3,96;3,52;38,72;11,64
Dirce Reis (SP);29,76;;75,54;410;1279;828;19,82;18,69;15,84;13,41;31,4;32,23;8,94;11,28
Dirceu Arcoverde (PI);55,51;;68,06;4306;2369;3185;3,69;3,7;8,57;8,87;3,43;3,06;69,52;8,45
Divina Pastora (SE);16,21;2,42;70,17;2227;2099;1634;44,88;25,47;1,62;2,45;68,07;57,93;14,1;9,22
Divinésia (MG);26,24;;72,11;1118;2175;1453;8,67;7,42;19,31;13,46;13,17;14,47;24,63;9,16
Divino das Laranjeiras (MG);34,12;1,23;73,64;829;4108;1825;5,87;6;16,42;15,71;5,44;6,47;1,56;9,88
Divino de São Lourenço (ES);60,64;;74,16;2774;1742;2209;8,31;8,38;20,7;26,14;8,36;5,92;40,44;9,39
Divinolândia de Minas (MG);33,66;0,46;73,72;1264;5760;3037;4,96;4,98;13,1;13,44;2,8;2,91;31,29;8,91
Divinolândia (SP);38,88;0,24;75,97;3708;7500;5923;17,21;16,21;17,77;15,6;4,86;4,92;12,34;9,59
Divino (MG);54,15;0,5;74,36;8337;10796;8200;7,72;8,19;16,83;19,89;5,47;5,35;20,35;6,89
Divinópolis de Goiás (GO);27,55;2,87;73,75;1471;3491;1687;8,56;8,32;22,49;24,08;9,76;9,48;61,69;10,72
Divinópolis do Tocantins (TO);34,61;;73,97;1897;4466;2561;9,43;10,36;25,16;26,92;3,53;3,35;62,45;9,97
Divinópolis (MG);3,04;0,21;75,63;5500;207516;114536;18,25;17,15;1,07;1,04;24,7;22,08;22,41;10,07
Divisa Alegre (MG);15,43;5,1;68,39;191;5693;2456;8,91;7,65;5,19;5,36;27,2;22,92;54,55;9,55
Divisa Nova (MG);58,87;;73,03;1104;4659;2669;8,55;8,87;28,57;25,28;5,25;5,91;7,84;9,51
Divisópolis (MG);48,93;0,24;73,1;2571;6403;3932;4,69;4,09;17,37;9,4;6,71;5,65;55,39;9,61
Dobrada (SP);42,15;;74,1;177;7762;4001;7,2;7,42;20,19;20,85;5,65;7,53;4,92;11,18
Dois Córregos (SP);22,86;;76,17;1315;23446;11826;17,25;16,85;15,09;12,45;22,31;26;8,61;10,45
Dois Irmãos das Missões (RS);54,58;;72,81;1063;1094;911;30,25;31,11;61,96;64,34;3,37;3,22;13,33;8,13
Dois Irmãos do Buriti (MS);36,05;;71,4;5658;4705;3894;12,41;20,62;41,25;64,58;5,88;3,79;35,95;9,84
Dois Irmãos do Tocantins (TO);56,48;;73,78;4384;2777;2221;7,59;7,89;36,47;36,82;2,14;2,12;76,4;8,78
Dois Irmãos (RS);3,62;;75,87;296;27276;17174;39,43;36,84;0,77;0,73;41;39,29;67,37;9,57
Dois Lajeados (RS);55,68;0,19;75,19;1714;1564;2243;18,09;17,93;38,49;35,69;5,93;6,46;55,51;10,37
Dois Riachos (AL);60,1;;70,74;5795;5085;3938;4,06;4,3;11,58;11,82;2,46;2,66;11,69;8,41
Dois Vizinhos (PR);23,38;0,15;76;8084;28095;19934;24;24,19;14,64;13,6;26,73;26,19;19,33;11,06
Dolcinópolis (SP);23,72;0,17;74,5;147;1949;1050;11,64;11,37;22,13;22,58;8,12;8,56;1,96;12,24
Dom Aquino (MT);34,57;;73,33;1613;6558;3459;25,89;25,52;59,08;58,62;7,31;6,57;57,16;10,03
Dom Basílio (BA);64,01;0,67;71,97;9114;2241;4824;6,75;6,52;35,55;35,89;5,45;5,27;35,26;8,67
Dom Bosco (MG);52,88;0,11;73,88;1762;2052;1717;8,58;8,6;33,03;30,7;3,47;3,79;42,46;9,88
Dom Cavati (MG);15,96;0,1;72,03;602;4607;2277;6,94;6,59;5,43;4,45;5,5;5,33;5,7;10,26
Dom Eliseu (PA);25,89;0,23;70,8;18803;32516;21305;6,75;7,27;22,09;25,24;7,33;7,46;63,59;8,46
Dom Expedito Lopes (PI);48,72;0,18;70,69;2997;3572;2471;5,81;6,53;4,72;6,6;5,84;5,36;83,71;9,17
Dom Feliciano (RS);73,62;0,1;74,1;11046;3334;6882;10,4;10,69;34,45;38,93;3,83;3,75;71,83;9,47
Domingos Martins (ES);58,44;0,21;74,98;24106;7741;18696;14,27;12,99;19,31;17,94;18,26;16,27;53,42;8,52
Domingos Mourão (PI);35;0,58;70,28;3306;958;1153;4,57;4,51;7,44;7,2;4;3,5;76,95;8,07
Dom Inocêncio (PI);73,15;;70,33;7227;2018;3679;3,84;3,82;10,45;10,02;2,72;2,82;85,26;9,36
Dom Joaquim (MG);42,03;0,33;74,12;1613;2922;1783;7,4;6,36;10,43;9,87;4,73;4,52;47,27;9,41
Dom Macedo Costa (BA);42,33;;72,69;2113;1761;1666;5,08;5,11;20,87;22,53;5,47;5,73;12,22;9,3
Dom Pedrito (RS);21,85;0,26;75,88;3643;35255;17929;20,41;21,37;35,06;36,71;8,66;8,64;54,62;10,28
Dom Pedro de Alcântara (RS);53,34;0,81;74,21;1809;741;1376;14,11;12,9;20,29;15,12;6,61;7,29;30,47;10,58
Dom Pedro (MA);24,33;0,11;70,52;7420;15261;8059;6,31;6,51;8,76;7,79;8,75;9,26;61,16;8,9
Dom Silvério (MG);24,41;;75,8;1138;4058;2525;10,26;9,85;9,03;8,96;16,19;14,21;22,66;10,78
Dom Viçoso (MG);46,37;;74,12;1996;998;1246;6,39;6,18;21,98;17,34;3,41;3,53;21,27;10,4
Dona Emma (SC);32,8;;76,71;1853;1868;2233;16,62;14,79;21,38;19,25;27,81;27,3;45,67;10,66
Dona Eusébia (MG);13,52;0,09;75,45;868;5133;3019;6,76;7,55;18,81;17,64;7,23;8,66;23,3;9,15
Dona Francisca (RS);51,19;0,21;74,84;1255;2146;1845;15,31;14,17;25,89;23,89;21,1;20,23;36,6;8,87
Dona Inês (PB);55,75;4,42;66,41;5862;4655;3574;5;4,83;8,43;7,89;2,94;3,61;24,64;9,53
Dores de Campos (MG);3,78;;74,4;842;8457;4613;15,36;15,66;2,35;1,6;40,17;40,91;14,42;8,93
Dores de Guanhães (MG);34,71;5,2;74,26;3601;1622;1993;9,96;13,19;8,57;6,66;27,02;47,07;36,58;9,72
Dores do Indaiá (MG);22,9;;75,4;1164;12614;6683;10,33;9,87;12,32;11,24;9,7;8,87;23,81;9,35
Dores do Rio Preto (ES);56,64;0,23;73,78;2850;3547;2795;10,83;12,26;11,27;11,64;20,74;13,42;40,14;10,04
Dores do Turvo (MG);49,48;0,52;74,75;2432;2030;1617;7,56;6,25;34,27;19,7;4,12;4,77;26,58;8,99
Doresópolis (MG);44,82;0,93;77,11;308;1132;668;21,79;24,96;15,61;13,78;39,9;44,63;18,84;9,36
Dormentes (PE);62,79;;69,46;10913;6004;7331;7,15;6,33;4,52;7,53;4,85;5,16;50,06;8,59
Douradina (MS);30,14;;73,52;2078;3286;2352;11,03;13,09;19,54;29,4;5,35;5,8;5,79;10,43
Douradina (PR);17,02;;74,07;2209;5236;3716;41,87;38,8;10,33;10,66;28,13;29,04;9,6;11,46
Douradoquara (MG);36,91;0,55;75,84;608;1233;1091;18,42;18,52;49,67;45,3;7,99;10,89;28,75;9,78
Dourados (MS);6,88;0,03;75,59;15030;181005;97528;26,05;24,74;7,6;7,12;15,68;17,17;14,61;10,01
Dourado (SP);20,52;;73,66;740;7869;4468;54,39;52,11;4,4;3,12;15,2;17,52;17,33;10,97
Doutor Camargo (PR);23,61;;75,34;719;5109;2851;16;16,12;25,76;24,55;9,32;10,01;3,46;11,7
Doutor Maurício Cardoso (RS);55,18;;75,41;2694;2619;3022;27,53;23,24;40,78;45,05;4,14;4,46;7,75;11,4
Doutor Pedrinho (SC);18,82;0,24;75,55;1585;2019;1844;14,7;14,72;8,85;8,02;36,78;36,69;74,6;8,96
Doutor Ricardo (RS);64,55;;76,3;1337;693;1368;19,99;19,68;33,46;27,95;19,21;23,22;70,45;11,3
Doutor Severiano (RN);51;;69,79;3709;2783;2945;5,04;4,84;6,22;5,15;2,79;2,47;63,82;9,99
Doutor Ulysses (PR);65,58;0,15;72,45;4798;929;2215;8,4;7,83;45,06;36,54;2,58;5,4;56,92;7,91
Doverlândia (GO);45,03;0,25;75,4;2976;4916;3806;18,16;17,57;50;49,97;6,46;6,21;33,7;9,75
Dracena (SP);6,68;0,06;75,51;3312;39946;21790;17,68;16,89;3,73;3,42;11,08;11,74;5,24;10,16
Duartina (SP);15,67;0,08;75,24;1254;10997;6140;12,43;11,33;10,3;5,68;13,27;12,65;14,81;11,26
Duas Barras (RJ);23,19;0,48;72,39;3194;7736;5643;14,01;13,15;25;21,77;6,88;7,08;37,41;8,4
Duas Estradas (PB);45,66;0,26;72,72;799;2839;1288;7,01;7,24;9,63;14,7;5,84;7,09;3,13;8,76
Dueré (TO);44,69;0,54;75,77;1537;3055;1859;15,44;17,79;59,32;64,65;3,77;3,64;73,78;10,13
Dumont (SP);15,2;;75,91;289;7854;4241;14,86;14,49;13,62;9,43;23,67;27,29;5,85;10,79
Duque Bacelar (MA);52,34;;66,56;5309;5340;2639;4,21;3,65;11,24;13;5,48;5,99;92,79;8,82
Duque de Caxias (RJ);0,55;0,82;75;2910;852138;392074;25,86;28,87;0,04;0,04;13,46;25,79;41,48;9,02
Durandé (MG);57,16;;75,54;3876;3547;3471;7,79;7,71;33,75;30,33;5,68;5,73;26,97;9,18
Echaporã (SP);29,34;;75,01;1286;5032;3048;13,24;12,99;36,57;35,31;5,26;5,95;14,62;10,59
Ecoporanga (ES);42,07;3,79;74,13;8433;14779;10191;11,62;9,67;18,9;21,8;26,63;17,34;3,44;9,16
Edealina (GO);43,94;;73,45;1164;2569;1886;44,32;36,2;45,77;42,63;25,43;23,27;22,17;10,04
Edéia (GO);27,27;0,18;74,55;1728;9538;5896;32,01;31,43;29,15;19,53;27,56;34,96;24,04;10,29
Eirunepé (AM);38,95;0,5;70,37;8499;22166;10849;8,97;8,56;52,05;55,39;3,28;2,66;97,77;7,73
Eldorado dos Carajás (PA);42,06;0,38;70,42;15208;16578;11046;6,6;6,36;23,07;28,75;15,45;9,67;15,93;7,99
Eldorado do Sul (RS);8,57;0,06;75,66;3543;30800;17741;25,22;24,42;6,68;7,18;21,56;17,65;43,01;9,46
Eldorado (MS);24,22;;74,45;2346;9348;5437;16,97;17,12;25,45;26,26;13,52;12,41;19,83;9,11
Eldorado (SP);36,88;0,24;75,82;7436;7205;5840;10,02;8,79;37,71;31,02;4,73;4,63;86,68;9,81
Elesbão Veloso (PI);44,61;;70,5;4388;10124;5277;5,35;5,4;9,18;9,25;5,45;4,41;93,89;8,55
Elias Fausto (SP);24,65;0,07;74,32;3217;12558;7781;24,56;23,31;16,53;15,64;33,23;32,95;5,25;9,54
Eliseu Martins (PI);33,44;;69,51;844;3821;1634;5,98;5,53;10,24;8,08;5,83;5,31;94,91;9,29
Elisiário (SP);22,84;;74,51;262;2858;1623;11,5;11,72;27,19;21,05;7,09;10,51;7,9;11,93
Elísio Medrado (BA);57,41;0,32;71,6;4699;3248;3773;4,72;4,68;20,55;20,43;5,49;5,55;18,04;10,7
Elói Mendes (MG);31,12;0,08;75,26;4846;20374;11935;13,63;12,1;13,65;12,07;17,1;12,71;5,96;8,79
Emas (PB);43,32;;71,38;1185;2132;1239;5,85;5,54;9,9;9,39;3,01;4,32;79,66;10,44
Embaúba (SP);29,49;;75,42;363;2060;1290;14,84;12,95;31,66;28,52;12,68;11,82;5,64;10,75
Embu-Guaçu (SP);3,48;;75,01;1674;61095;29575;11,16;11;0,2;0,2;26,12;26,31;61,09;10,22
Embu (SP);0,8;0,14;75,33;;240230;117900;26,46;26;0;0;19,95;19,87;35,35;9,98
Emilianópolis (SP);33,72;;73,28;523;2497;1513;11,72;11,33;30,34;29,06;6,46;6,57;2,13;11,12
Encantado (RS);13,06;;76,5;2631;17879;12343;24,57;24,33;5,55;4,57;32,67;32,95;64,16;9,57
Encanto (RN);32,83;0,27;72,21;3101;2130;2093;4,87;4,75;7,44;5,83;2,75;3,61;65,21;9,33
Encruzilhada (BA);56,5;0,76;70,23;18636;5130;8843;6,58;6,95;25,08;27,54;5,13;7,04;44,31;6,72
Encruzilhada do Sul (RS);40,29;0,09;77,5;7415;17119;11757;12,17;12,59;29,48;32,51;5,92;4,92;70,96;9,54
Enéas Marques (PR);51,56;;75,09;3977;2126;3133;20,23;21,02;48,81;43,64;14,49;21,43;28,84;12,57
Engenheiro Beltrão (PR);19,43;0,07;74,21;1628;12278;6656;18,42;19,59;27,17;25,87;10,01;7,86;9,73;9,92
Engenheiro Caldas (MG);24,92;0,12;73,91;1955;8325;3909;7,47;7,07;8,59;7,72;7,6;6,12;0,77;7,77
Engenheiro Coelho (SP);26,53;0,07;73,87;4223;11498;8224;16,43;14,49;5,13;4,62;21,51;17,84;13,53;9,68
Engenheiro Navarro (MG);45,44;0,62;72,44;2372;4750;3119;6,47;6,42;13,28;11,91;5,57;6,8;50,41;10,38
Engenheiro Paulo de Frontin (RJ);6,33;0,09;73,32;3714;9523;6056;12,89;13,14;9,59;11,84;11,78;11,18;61,65;9,55
Engenho Velho (RS);49,91;;74,23;928;599;827;22,97;25,82;38,92;43,13;4,85;4,31;8,14;8,99
Entre Folhas (MG);43,69;;72,5;1286;3889;1958;6,31;6,01;11,46;10,61;5,95;5,51;13,15;10,07
Entre-Ijuís (RS);47,88;0,12;74,74;4045;4893;4581;22,72;22,49;38,99;37,75;5,21;4,74;18,37;10,13
Entre Rios (BA);23,54;1,76;72,12;16032;23840;14346;10,45;8,74;11,02;14,45;31,87;22,54;47,4;7,66
Entre Rios de Minas (MG);20,19;1,39;73,14;4364;9878;6010;8,14;7,76;11,16;11,71;9,91;8,25;15,97;9,21
Entre Rios do Oeste (PR);43,72;0,14;74,55;1284;2642;2300;34,29;33,24;29,69;24,54;16,69;17,46;16,28;11,65
Entre Rios do Sul (RS);46,65;;76,4;950;2130;1532;28,18;36,2;20,52;14,83;45,69;60,58;22,62;10,85
Entre Rios (SC);45,73;2,03;73,46;2090;928;1369;11,79;11,27;43,06;45,68;3,66;2,76;48,4;10,51
Envira (AM);37,11;0,21;68,63;5786;10552;4739;5,34;4,96;26,29;24,66;4,64;3,6;96,99;6,33
Epitaciolândia (AC);25,84;0,1;71,27;4482;10618;6033;12,35;11,93;15,99;15,71;5,12;3,73;56,24;8,85
Equador (RN);27,72;16,22;70,87;1012;4810;2144;5,93;7,44;7,73;5,79;9,3;24;78,41;9,61
Erebango (RS);47,33;;75,24;1012;1958;1404;20,54;20,34;48,66;48,73;9,11;8,96;10,69;9,72
Erechim (RS);6,45;;74,95;5535;90552;50620;31,69;30,07;1,48;1,52;37,68;36,48;22,13;10,06
Ererê (CE);52,27;;70,23;3382;3458;2543;4,77;4,68;18,02;17,53;3,08;3,55;60,69;9,14
Érico Cardoso (BA);60,48;0,11;70,47;8843;2016;5031;3,33;3,26;13,14;12,1;3,69;3,61;83,21;8,68
Ermo (SC);50,53;0,5;73,5;1431;619;1113;22,89;21,51;34,79;33,08;23,27;23,57;8,14;10,88
Ernestina (RS);26,64;;76,25;1417;1671;1390;27,36;30,49;49,15;47,8;4,59;6,15;8,56;11,22
Erval Grande (RS);61,24;;78,12;2473;2690;2833;13,55;11,67;34,36;30,83;13,11;8,21;30,16;9,63
Ervália (MG);52,89;0,14;74,7;8476;9470;8690;11,07;10,47;37,79;36,24;6,68;6,27;22,54;8,86
Erval Seco (RS);55,88;;74,28;4441;3437;3901;19,51;19,85;37,57;36,6;3,98;4,13;33,71;10,54
Erval Velho (SC);25,03;0,19;77,07;1510;2842;2116;19,63;18,79;37,91;37,32;13,38;12,35;42,99;11,31
Escada (PE);13,12;0,13;71,83;9553;53964;23178;8,82;7,66;2,32;2,52;22,02;21,21;10,72;8,84
Esmeralda (RS);47,46;;74,64;1040;2128;1607;36,28;36,19;57,2;56,26;5,35;5,01;49,89;10,48
Esmeraldas (MG);9,08;0,83;74,31;4056;56215;27350;6,24;6,28;6,05;6;11,76;10,68;40,18;8,91
Espera Feliz (MG);46,48;0,26;75,77;8682;14174;10704;10,51;11,97;12;12,95;6,4;5,19;27,73;9,19
Esperança do Sul (RS);76,16;;72,25;2428;844;1925;13,94;13,42;47,51;43,19;3,84;4,17;19,74;9,83
Esperança Nova (PR);45,52;;72,94;1218;752;1102;12,46;13,02;44,22;42,49;4,35;5,07;4,21;11,55
Esperança (PB);33,63;1,71;71,04;9464;21631;12760;8,55;8,2;3,59;3,38;8,49;8,16;15,44;9,52
Esperantina (PI);35,87;0,14;71,15;14609;23158;16206;5,37;5,38;4,18;3,58;6,91;7,09;97,41;8,91
Esperantina (TO);53,24;;67,92;4862;4614;2444;5,29;5,11;10,48;11,23;3,79;2,17;50,94;10,26
Esperantinópolis (MA);47,31;0,74;67,76;8417;10035;6790;5,58;5,08;13;12,13;8,73;7,51;70,76;9,82
Espigão Alto do Iguaçu (PR);56,29;;71,86;3031;1646;2008;15,32;15,27;47,33;45,5;8,83;10,24;37,85;10,37
Espigão D'Oeste (RO);29,68;0,32;74,15;8119;20610;13754;11,36;10,79;23,05;23,11;11,89;9,05;53,2;9,55
Espinosa (MG);37,91;0,15;73,26;13090;18023;13377;5,41;5,88;5,88;5,08;6,43;10,81;56,39;8,88
Espírito Santo do Dourado (MG);54,73;0,13;75,81;2746;1683;2453;10,44;11,02;27,98;25,61;12,54;15,21;13,36;9,54
Espírito Santo do Pinhal (SP);14,42;0,13;77,31;4662;37245;22246;22,2;20,74;8,14;8,14;25,9;25,01;18,33;10,03
Espírito Santo do Turvo (SP);44,44;0,45;74,12;614;3630;2064;16,52;9,13;21,71;19,35;26,63;9,75;14,51;9,18
Espírito Santo (RN);37,45;1,87;69,88;5475;5000;3129;4,06;4,2;3,83;4,74;2,78;2,98;15,22;9,2
Esplanada (BA);37,29;0,44;69,38;11980;20822;12619;15,33;11,04;12,78;14,32;40,46;30,98;45,71;7,58
Espumoso (RS);32,35;;78,04;4109;11131;8308;27,44;27,71;27,02;27,79;10,56;9,53;13,31;10,29
Estação (RS);20,51;;75,55;892;5119;3270;25,95;25,34;15,24;15,11;33,07;30,62;9,05;8,42
Estância (SE);14,45;0,08;71,94;9649;54760;27027;20,7;17,29;7,11;7,19;40,79;36,47;20;9,16
Estância Velha (RS);2,86;0,32;78,23;1090;41484;24470;22,24;20,79;0,26;0,27;38,48;36,75;49,53;10,12
Esteio (RS);0,49;0,54;75,57;112;80643;40193;27,51;26,78;0,03;0,03;23,62;22,33;10,15;10,25
Estiva Gerbi (SP);16,47;0,21;73,87;2033;8011;4784;18,36;14,22;16,84;19,57;33,73;17,57;16,4;9,09
Estiva (MG);59,34;0,06;75,9;5946;4899;5945;14,65;14,55;28,18;27,34;5,53;5,86;9,11;9,17
Estreito (MA);12,16;0,23;73,02;10057;25778;14214;12,16;12,2;6,29;6,13;54,31;56,92;73,62;7,73
Estrela Dalva (MG);29,46;0,66;77,04;689;1781;1146;7,79;7,76;13,11;11,29;5,13;4,82;10,72;9,88
Estrela de Alagoas (AL);76,22;0,07;68,19;13222;4029;7235;3,74;3,72;13,65;12,75;2,06;2,33;13,44;9,42
Estrela D'Oeste (SP);17,99;;77,4;1377;6831;4295;42,87;42;5,99;5,58;51,4;50,94;5,31;9,75
Estrela do Indaiá (MG);38,37;;77,49;739;2777;1509;17,69;16,98;47,5;48,18;6,46;5,63;26,65;9,41
Estrela do Norte (GO);21,83;0,27;75,85;389;2931;1655;10,84;9,62;18,34;20,64;11,4;7,39;45,86;11,11
Estrela do Norte (SP);16,41;0,33;74,1;559;2099;1196;14,93;13,33;29,27;28,7;5,26;4,93;4,4;11,93
Estrela do Sul (MG);48,27;0,49;75,4;1389;6057;3818;41,42;11,2;80,53;35,48;1,91;6,25;19,47;9,42
Estrela (RS);13,63;0,19;75,97;4706;25913;18562;29,68;25,64;6,27;6,01;35,03;32,64;26,35;9,91
Estrela Velha (RS);71,98;0,13;72,5;2461;1167;1950;25,89;20,46;49,73;47,76;3,35;3,41;26,7;11,11
Euclides da Cunha (BA);42,27;0,25;69,94;28873;27416;23322;6,43;7,64;17,08;26,98;7,88;7,38;45,72;7,69
Euclides da Cunha Paulista (SP);37,2;;73,13;3474;6111;4472;8,46;8,24;26,66;24,03;5,68;7,59;7,79;10,49
Eugênio de Castro (RS);54,5;;78,11;1318;1480;1372;39,59;39,23;47,82;51,46;8,02;8,54;17,42;10,04
Eugenópolis (MG);30,51;0,1;75,77;3135;7405;4874;8,78;8,59;18,85;17,51;13,49;12,6;24,82;9,56
Eunápolis (BA);9,28;0,05;72,46;6783;93413;46752;14,58;14,52;3,87;4,03;29,06;28,89;19,11;8,73
Eusébio (CE);5,38;0,21;72,66;;46033;20529;39,79;38,47;0,94;0,82;43,51;46,18;41,84;10,13
Ewbank da Câmara (MG);6,92;;74,37;294;3459;1476;7,48;6,91;8,45;8,02;16,46;13,94;25,25;9,38
Extrema (MG);6,85;;75,95;2576;26023;15288;117,65;111;0,2;0,19;30,78;31,14;25,98;9,59
Extremoz (RN);11,38;0,13;73,5;8800;15769;9372;7,64;8,05;4,24;4,11;16,43;15,26;21,83;8,84
Exu (PE);52,51;0,15;71,47;15333;16303;10824;5,05;4,75;8,99;10,2;3,12;3;55,59;8,66
Fagundes (PB);60,63;0,1;69,91;5940;5465;4282;5,64;5,64;14,72;13,05;4,97;5,02;21,77;8,69
Fagundes Varela (RS);47,73;0,16;76,14;1286;1293;1717;19,76;19,15;41,97;40,22;11,03;10,36;48,28;11,26
Faina (GO);43,9;0,7;72,94;3134;3849;3227;10,64;10,97;45,05;45,4;3,74;3,19;41,31;10,92
Fama (MG);39,73;;76,77;835;1515;1232;9,74;10,64;22,71;23,81;5,69;5,75;4,98;10,16
Faria Lemos (MG);43,81;0,19;73;1044;2332;1592;9,78;9,82;30,52;26,67;10,84;11,93;23,62;9,93
Farias Brito (CE);49,05;;71,41;10136;8871;6532;8,2;5,25;46,37;21,17;3,13;3,97;79,65;10,73
Farol (PR);43,16;;74,1;1454;2018;1595;28,03;26,78;52,08;50,4;4,59;4,79;7,08;10,79
Faro (PA);44,83;0,17;70,35;2049;6128;2465;4,5;4,97;19,95;20,64;4,69;4,56;97,81;8,1
Farroupilha (RS);10,57;0,08;76,68;8582;55053;38110;31,63;29,71;5,14;5,37;36,35;34,8;57,3;9,99
Fartura do Piauí (PI);65,46;0,14;69,25;3738;1336;2034;3,7;3,51;7,94;9,56;2,72;2,43;79,54;9,35
Fartura (SP);20,41;;77,02;3082;12238;7418;16,44;14,47;15,04;15,28;14,69;14,85;10,24;9,53
Fátima (BA);57,19;0,06;66,16;10736;6916;7522;6,51;8,87;39,08;49,42;5,89;5,99;2,63;8,46
Fátima do Sul (MS);17,48;0,17;73,92;2068;16967;9144;13,47;13,42;10,31;9,03;11,82;13,68;4,05;10,45
Fátima (TO);19,83;0,23;73,75;670;3135;1490;10,58;11,23;12,94;15,02;3,77;3,38;56,2;10,16
Faxinal dos Guedes (SC);25,99;;76,78;2943;7718;5476;28,5;24,68;30,08;23,74;28,7;29,87;28,32;10,42
Faxinal do Soturno (RS);32,48;0,47;76,21;2497;4175;3767;16,24;16,5;11,72;10,78;11,21;10,85;38,22;10,23
Faxinal (PR);28,14;0,06;72,75;3575;12739;7660;15,07;15,24;22,94;22,13;10,37;9,75;24,18;9,42
Faxinalzinho (RS);57,34;;73,03;1294;1273;1106;15,38;14,97;45,25;46,13;4,53;4,83;24,45;10,28
Fazenda Nova (GO);42,93;0,36;74,87;2244;4078;2827;11,53;10,84;39,08;38,13;4,54;3,97;31,96;8,95
Fazenda Rio Grande (PR);2,14;0,33;75,84;5747;75928;38601;13,78;13,77;1,12;1,08;29,48;28,14;29,52;9,45
Fazenda Vilanova (RS);27,42;0,13;75,45;1684;2013;2162;20,19;20,42;26,27;27,39;25,51;26,07;28,15;9,11
Feijó (AC);43,7;;68,35;15776;16636;9491;7,52;7,19;20,19;21,44;5,25;4,12;96;7,03
Feira da Mata (BA);53,34;0,22;70,77;2941;3243;2082;6,57;5,74;35,65;28,58;3,62;3,88;52,34;9,15
Feira de Santana (BA);6,54;0,19;74,2;46007;510635;281233;15,08;13,98;0,44;0,58;24,53;21,73;4,89;9,11
Feira Grande (AL);73,42;;69,17;17900;3421;8204;5,03;5,55;27,93;34,59;2,47;2,75;6,45;8,94
Feira Nova do Maranhão (MA);72,05;;68,73;6199;1927;2580;5,02;7,13;29,86;48,3;3,94;3,65;74,68;9,51
Feira Nova (PE);39,21;;73,43;4258;16313;8002;5,06;4,95;1,89;2,92;6,21;10,02;0,07;9,44
Feira Nova (SE);39,47;;71,39;1737;3587;1796;7,68;7,02;24,57;19,5;4,69;6,86;2,19;9,35
Felício dos Santos (MG);49,47;0,33;72,61;2913;2229;2080;5,56;5,61;13,15;15,51;3,35;3,4;80,88;9,3
Felipe Guerra (RN);28,84;2,96;71,1;1859;3875;2040;14,59;10,08;2,61;4,46;53,74;29,23;52,14;9,67
Felisburgo (MG);38,53;0,26;69,66;1789;5088;2650;5,5;5,5;15,78;14,96;3,41;3,41;20,46;9,45
Felixlândia (MG);34,96;0,85;73,9;3199;10922;6680;13,02;12,05;43,94;42,96;4,23;3,44;42,19;8,68
Feliz Deserto (AL);43,78;;67,46;864;3481;1612;12,83;13,16;30,06;38,9;28,54;20,23;15,74;9,08
Feliz Natal (MT);34,93;0,09;74,13;2810;8123;5045;18,57;20,08;40,98;44,28;16,27;13,39;88,66;8,95
Feliz (RS);16,36;;75,8;2943;9416;7590;21,27;19,76;6,64;7,18;26,33;21,84;67,75;10,43
Fênix (PR);32,13;;74,51;807;3995;2256;18,41;17,53;39,66;35,76;4,79;4,83;10,92;10,94
Fernandes Pinheiro (PR);46,78;;72,48;3838;2094;2470;17,42;16,36;46,19;44,39;11,59;10,41;40,37;10,16
Fernandes Tourinho (MG);40,67;0,6;73,43;1014;2016;1206;7,29;6,97;17,74;13,87;6,24;7,14;1,2;8,81
Fernando de Noronha (PE);2,55;;75,36;;2630;1662;25,84;24,22;0,49;0,51;4,9;5,23;0;10,76
Fernando Falcão (MA);84,09;;68,67;7735;1506;2777;3,66;3,37;22,57;19,42;3,99;4,16;96,41;5,75
Fernando Pedroza (RN);23,49;2,97;68,62;417;2437;798;6,01;5,8;2,49;2,49;11,14;7;72,95;8,6
Fernandópolis (SP);6,71;0,08;77,31;1982;62714;34329;19,23;19,53;3,58;3,03;15,6;23,22;4,24;11,22
Fernando Prestes (SP);38,09;;76,55;836;4698;2990;17,71;16,54;34,02;33,41;9,77;10,01;7,58;10,54
Fernão (SP);48,23;0,52;75,55;713;850;786;21,96;20,58;50,42;48,57;7,34;6,85;22,74;11,92
Ferraz de Vasconcelos (SP);0,51;0,05;74,65;7552;160754;80790;11,87;10,88;0,07;0,07;37,2;33,94;21,19;10,77
Ferreira Gomes (AP);24,22;0,34;74,2;1627;4175;2277;22,38;36,8;1,72;1,94;38,58;66,51;84,48;9,05
Ferreiros (PE);38,68;0,5;72,24;2268;9162;4209;6,02;5,46;5,87;8,57;9,65;5;0,76;9,44
Ferros (MG);47,4;0,13;74,24;5746;5091;4341;7,76;6,88;23,05;19,41;5,79;4,74;38,76;8,79
