mun;ano;estabelecimentos
Mg-Dores do Indaia;2002;39
Mg-Dores do Turvo;2002;1
Mg-Doresopolis;2002;2
Mg-Douradoquara;2002;1
Mg-Durande;2002;3
Mg-Eloi Mendes;2002;54
Mg-Engenheiro Caldas;2002;15
Mg-Engenheiro Navarro;2002;6
Mg-Entre Folhas;2002;2
Mg-Entre Rios de Minas;2002;21
Mg-Ervalia;2002;32
Mg-Esmeraldas;2002;49
Mg-Espera Feliz;2002;29
Mg-Espinosa;2002;20
Mg-Espirito Santo do Dourado;2002;4
Mg-Estiva;2002;15
Mg-Estrela Dalva;2002;2
Mg-Estrela do Indaia;2002;6
Mg-Estrela do Sul;2002;7
Mg-Eugenopolis;2002;40
Mg-Ewbank da Camara;2002;7
Mg-Extrema;2002;83
Mg-Fama;2002;1
Mg-Faria Lemos;2002;7
Mg-Felicio dos Santos;2002;0
Mg-Sao Goncalo do Rio Preto;2002;2
Mg-Felisburgo;2002;0
Mg-Felixlandia;2002;32
Mg-Fernandes Tourinho;2002;2
Mg-Ferros;2002;5
Mg-Fervedouro;2002;5
Mg-Florestal;2002;8
Mg-Formiga;2002;288
Mg-Formoso;2002;2
Mg-Fortaleza de Minas;2002;6
Mg-Fortuna de Minas;2002;12
Mg-Francisco Badaro;2002;2
Mg-Francisco Dumont;2002;13
Mg-Francisco Sa;2002;18
Mg-Franciscopolis;2002;1
Mg-Frei Gaspar;2002;2
Mg-Frei Inocencio;2002;4
Mg-Frei Lagonegro;2002;0
Mg-Fronteira;2002;8
Mg-Fronteira dos Vales;2002;2
Mg-Fruta de Leite;2002;0
Mg-Frutal;2002;87
Mg-Funilandia;2002;6
Mg-Galileia;2002;13
Mg-Gameleiras;2002;0
Mg-Glaucilandia;2002;0
Mg-Goiabeira;2002;3
Mg-Goiana;2002;3
Mg-Goncalves;2002;9
Mg-Gonzaga;2002;1
Mg-Gouveia;2002;31
Mg-Governador Valadares;2002;499
Mg-Grao Mogol;2002;7
Mg-Grupiara;2002;2
Mg-Guanhaes;2002;39
Mg-Guape;2002;17
Mg-Guaraciaba;2002;10
Mg-Guaraciama;2002;1
Mg-Guaranesia;2002;49
Mg-Guarani;2002;29
Mg-Guarara;2002;12
Mg-Guarda-Mor;2002;3
Mg-Guaxupe;2002;207
Mg-Guidoval;2002;50
Mg-Guimarania;2002;8
Mg-Guiricema;2002;15
Mg-Gurinhata;2002;6
Mg-Heliodora;2002;12
Mg-Iapu;2002;3
Mg-Ibertioga;2002;4
Mg-Ibia;2002;14
Mg-Ibiai;2002;1
Mg-Ibiracatu;2002;0
Mg-Ibiraci;2002;9
Mg-Ibirite;2002;103
Mg-Ibitiura de Minas;2002;10
Mg-Ibituruna;2002;2
Mg-Icarai de Minas;2002;0
Mg-Igarape;2002;43
Mg-Igaratinga;2002;67
Mg-Iguatama;2002;10
Mg-Ijaci;2002;17
Mg-Ilicinea;2002;12
Mg-Imbe de Minas;2002;1
Mg-Inconfidentes;2002;52
Mg-Indaiabira;2002;2
Mg-Indianopolis;2002;3
Mg-Ingai;2002;4
Mg-Inhapim;2002;21
Mg-Inhauma;2002;18
Mg-Inimutaba;2002;9
Mg-Ipaba;2002;8
Mg-Ipanema;2002;34
Mg-Ipatinga;2002;338
Mg-Ipiacu;2002;1
Mg-Ipuiuna;2002;12
Mg-Irai de Minas;2002;6
Mg-Itabira;2002;152
Mg-Itabirinha;2002;3
Mg-Itabirito;2002;84
Mg-Itacambira;2002;7
Mg-Itacarambi;2002;5
Mg-Itaguara;2002;38
Mg-Itaipe;2002;2
Mg-Itajuba;2002;226
Mg-Itamarandiba;2002;18
Mg-Itamarati de Minas;2002;10
Mg-Itambacuri;2002;14
Mg-Itambe do Mato Dentro;2002;0
Mg-Itamogi;2002;8
Mg-Itamonte;2002;41
Mg-Itanhandu;2002;51
Mg-Itanhomi;2002;10
Mg-Itaobim;2002;16
Mg-Itapagipe;2002;15
Mg-Itapecerica;2002;57
Mg-Itapeva;2002;18
Mg-Itatiaiucu;2002;14
Mg-Itau de Minas;2002;33
Mg-Itauna;2002;284
Mg-Itaverava;2002;4
Mg-Itinga;2002;2
Mg-Itueta;2002;12
Mg-Ituiutaba;2002;165
Mg-Itumirim;2002;2
Mg-Iturama;2002;30
Mg-Itutinga;2002;9
Mg-Jaboticatubas;2002;22
Mg-Jacinto;2002;2
Mg-Jacui;2002;11
Mg-Jacutinga;2002;383
Mg-Jaguaracu;2002;3
Mg-Jaiba;2002;2
Mg-Jampruca;2002;2
Mg-Janauba;2002;77
Mg-Januaria;2002;43
Mg-Japaraiba;2002;10
Mg-Japonvar;2002;1
Mg-Jeceaba;2002;2
Mg-Jenipapo de Minas;2002;0
Mg-Jequeri;2002;6
Mg-Jequitai;2002;3
Mg-Jequitiba;2002;7
Mg-Jequitinhonha;2002;13
Mg-Jesuania;2002;9
Mg-Joaima;2002;4
Mg-Joanesia;2002;0
Mg-Joao Monlevade;2002;115
Mg-Joao Pinheiro;2002;65
Mg-Joaquim Felicio;2002;7
Mg-Jordania;2002;1
Mg-Jose Goncalves de Minas;2002;1
Mg-Jose Raydan;2002;2
Mg-Josenopolis;2002;1
Mg-Nova Uniao;2002;7
Mg-Juatuba;2002;26
Mg-Juiz de Fora;2002;1284
Mg-Juramento;2002;5
Mg-Juruaia;2002;38
Mg-Juvenilia;2002;0
Mg-Ladainha;2002;3
Mg-Lagamar;2002;9
Mg-Lagoa da Prata;2002;96
Mg-Lagoa dos Patos;2002;1
Mg-Lagoa Dourada;2002;14
Mg-Lagoa Formosa;2002;32
Mg-Lagoa Grande;2002;8
Mg-Lagoa Santa;2002;80
Mg-Lajinha;2002;4
Mg-Lambari;2002;63
Mg-Lamim;2002;0
Mg-Laranjal;2002;17
Mg-Lassance;2002;2
Mg-Lavras;2002;192
Mg-Leandro Ferreira;2002;10
Mg-Leme do Prado;2002;1
Mg-Leopoldina;2002;90
Mg-Liberdade;2002;10
Mg-Lima Duarte;2002;39
Mg-Limeira do Oeste;2002;6
Mg-Lontra;2002;0
Mg-Luisburgo;2002;1
Mg-Luislandia;2002;1
Mg-Luminarias;2002;12
Mg-Luz;2002;44
Mg-Machacalis;2002;1
Mg-Machado;2002;64
Mg-Madre de Deus de Minas;2002;6
Mg-Malacacheta;2002;12
Mg-Mamonas;2002;0
Mg-Manga;2002;4
Mg-Manhuacu;2002;107
Mg-Manhumirim;2002;38
Mg-Mantena;2002;55
Mg-Maravilhas;2002;39
Mg-Mar de Espanha;2002;65
Mg-Maria da Fe;2002;17
Mg-Mariana;2002;29
Mg-Marilac;2002;2
Mg-Mario Campos;2002;10
Mg-Maripa de Minas;2002;16
Mg-Marlieria;2002;31
Mg-Marmelopolis;2002;8
Mg-Martinho Campos;2002;43
Mg-Martins Soares;2002;2
Mg-Mata Verde;2002;1
Mg-Materlandia;2002;1
Mg-Mateus Leme;2002;54
Mg-Matias Barbosa;2002;30
Mg-Matias Cardoso;2002;2
Mg-Matipo;2002;8
Mg-Mato Verde;2002;5
Mg-Matozinhos;2002;106
Mg-Matutina;2002;7
Mg-Medeiros;2002;1
Mg-Medina;2002;21
Mg-Mendes Pimentel;2002;3
Mg-Merces;2002;15
Mg-Mesquita;2002;3
Mg-Minas Novas;2002;13
Mg-Minduri;2002;5
Mg-Mirabela;2002;6
Mg-Miradouro;2002;7
Mg-Mirai;2002;37
Mg-Miravania;2002;0
Mg-Moeda;2002;7
Mg-Moema;2002;15
Mg-Monjolos;2002;2
Mg-Monsenhor Paulo;2002;17
Mg-Montalvania;2002;1
