mun;ano;estabelecimentos
Mg-Santa Cruz de Salinas;2010;1
Mg-Santa Cruz do Escalvado;2010;5
Mg-Santa Efigenia de Minas;2010;1
Mg-Santa Fe de Minas;2010;0
Mg-Santa Helena de Minas;2010;1
Mg-Santa Juliana;2010;15
Mg-Santa Luzia;2010;242
Mg-Santa Margarida;2010;6
Mg-Santa Maria de Itabira;2010;12
Mg-Santa Maria do Salto;2010;0
Mg-Santa Maria do Suacui;2010;10
Mg-Santana da Vargem;2010;13
Mg-Santana de Cataguases;2010;12
Mg-Santana de Pirapama;2010;8
Mg-Santana do Deserto;2010;11
Mg-Santana do Garambeu;2010;0
Mg-Santana do Jacare;2010;14
Mg-Santana do Manhuacu;2010;4
Mg-Santana do Paraiso;2010;52
Mg-Santana do Riacho;2010;1
Mg-Santana dos Montes;2010;3
Mg-Santa Rita de Caldas;2010;21
Mg-Santa Rita de Jacutinga;2010;5
Mg-Santa Rita de Minas;2010;11
Mg-Santa Rita de Ibitipoca;2010;3
Mg-Santa Rita do Itueto;2010;2
Mg-Santa Rita do Sapucai;2010;264
Mg-Santa Rosa da Serra;2010;1
Mg-Santa Vitoria;2010;42
Mg-Santo Antonio do Amparo;2010;16
Mg-Santo Antonio do Aventureiro;2010;9
Mg-Santo Antonio do Grama;2010;0
Mg-Santo Antonio do Itambe;2010;0
Mg-Santo Antonio do Jacinto;2010;1
Mg-Santo Antonio do Monte;2010;134
Mg-Santo Antonio do Retiro;2010;0
Mg-Santo Antonio do Rio Abaixo;2010;0
Mg-Santo Hipolito;2010;1
Mg-Santos Dumont;2010;62
Mg-Sao Bento Abade;2010;5
Mg-Sao Bras do Suacui;2010;11
Mg-Sao Domingos das Dores;2010;4
Mg-Sao Domingos do Prata;2010;34
Mg-Sao Felix de Minas;2010;0
Mg-Sao Francisco;2010;15
Mg-Sao Francisco de Paula;2010;10
Mg-Sao Francisco de Sales;2010;14
Mg-Sao Francisco do Gloria;2010;2
Mg-Sao Geraldo;2010;38
Mg-Sao Geraldo da Piedade;2010;0
Mg-Sao Geraldo do Baixio;2010;2
Mg-Sao Goncalo do Abaete;2010;4
Mg-Sao Goncalo do Para;2010;63
Mg-Sao Goncalo do Rio Abaixo;2010;10
Mg-Sao Goncalo do Sapucai;2010;60
Mg-Sao Gotardo;2010;49
Mg-Sao Joao Batista do Gloria;2010;19
Mg-Sao Joao da Lagoa;2010;2
Mg-Sao Joao da Mata;2010;7
Mg-Sao Joao da Ponte;2010;1
Mg-Sao Joao das Missoes;2010;0
Mg-Sao Joao Del Rei;2010;235
Mg-Sao Joao do Manhuacu;2010;3
Mg-Sao Joao do Manteninha;2010;35
Mg-Sao Joao do Oriente;2010;16
Mg-Sao Joao do Pacui;2010;0
Mg-Sao Joao do Paraiso;2010;14
Mg-Sao Joao Evangelista;2010;13
Mg-Sao Joao Nepomuceno;2010;188
Mg-Sao Joaquim de Bicas;2010;56
Mg-Sao Jose da Barra;2010;15
Mg-Sao Jose da Lapa;2010;46
Mg-Sao Jose da Safira;2010;4
Mg-Sao Jose da Varginha;2010;1
Mg-Sao Jose do Alegre;2010;4
Mg-Sao Jose do Divino;2010;0
Mg-Sao Jose do Goiabal;2010;7
Mg-Sao Jose do Jacuri;2010;2
Mg-Sao Jose do Mantimento;2010;0
Mg-Sao Lourenco;2010;121
Mg-Sao Miguel do Anta;2010;7
Mg-Sao Pedro da Uniao;2010;9
Mg-Sao Pedro dos Ferros;2010;11
Mg-Sao Pedro do Suacui;2010;2
Mg-Sao Romao;2010;1
Mg-Sao Roque de Minas;2010;5
Mg-Sao Sebastiao da Bela Vista;2010;18
Mg-Sao Sebastiao da Vargem Alegre;2010;1
Mg-Sao Sebastiao do Anta;2010;4
Mg-Sao Sebastiao do Maranhao;2010;3
Mg-Sao Sebastiao do Oeste;2010;28
Mg-Sao Sebastiao do Paraiso;2010;207
Mg-Sao Sebastiao do Rio Preto;2010;1
Mg-Sao Sebastiao do Rio Verde;2010;8
Mg-Sao Tiago;2010;53
Mg-Sao Tomas de Aquino;2010;13
Mg-Sao Thome das Letras;2010;102
Mg-Sao Vicente de Minas;2010;18
Mg-Sapucai-Mirim;2010;27
Mg-Sardoa;2010;2
Mg-Sarzedo;2010;48
Mg-Setubinha;2010;1
Mg-Sem-Peixe;2010;1
Mg-Senador Amaral;2010;1
Mg-Senador Cortes;2010;13
Mg-Senador Firmino;2010;12
Mg-Senador Jose Bento;2010;2
Mg-Senador Modestino Goncalves;2010;3
Mg-Senhora de Oliveira;2010;7
Mg-Senhora do Porto;2010;2
Mg-Senhora dos Remedios;2010;7
Mg-Sericita;2010;1
Mg-Seritinga;2010;8
Mg-Serra Azul de Minas;2010;1
Mg-Serra da Saudade;2010;0
Mg-Serra dos Aimores;2010;6
Mg-Serra do Salitre;2010;18
Mg-Serrania;2010;18
Mg-Serranopolis de Minas;2010;0
Mg-Serranos;2010;0
Mg-Serro;2010;18
Mg-Sete Lagoas;2010;535
Mg-Silveirania;2010;3
Mg-Silvianopolis;2010;21
Mg-Simao Pereira;2010;3
Mg-Simonesia;2010;7
Mg-Sobralia;2010;3
Mg-Soledade de Minas;2010;11
Mg-Tabuleiro;2010;13
Mg-Taiobeiras;2010;70
Mg-Taparuba;2010;9
Mg-Tapira;2010;4
Mg-Tapirai;2010;0
Mg-Taquaracu de Minas;2010;5
Mg-Tarumirim;2010;20
Mg-Teixeiras;2010;27
Mg-Teofilo Otoni;2010;202
Mg-Timoteo;2010;177
Mg-Tiradentes;2010;49
Mg-Tiros;2010;5
Mg-Tocantins;2010;73
Mg-Tocos do Moji;2010;3
Mg-Toledo;2010;11
Mg-Tombos;2010;19
Mg-Tres Coracoes;2010;134
Mg-Tres Marias;2010;48
Mg-Tres Pontas;2010;105
Mg-Tumiritinga;2010;3
Mg-Tupaciguara;2010;37
Mg-Turmalina;2010;40
Mg-Turvolandia;2010;13
Mg-Uba;2010;537
Mg-Ubai;2010;1
Mg-Ubaporanga;2010;8
Mg-Uberaba;2010;819
Mg-Uberlandia;2010;1391
Mg-Umburatiba;2010;2
Mg-Unai;2010;130
Mg-Uniao de Minas;2010;1
Mg-Uruana de Minas;2010;0
Mg-Urucania;2010;14
Mg-Urucuia;2010;1
Mg-Vargem Alegre;2010;5
Mg-Vargem Bonita;2010;3
Mg-Vargem Grande do Rio Pardo;2010;1
Mg-Varginha;2010;379
Mg-Varjao de Minas;2010;8
Mg-Varzea da Palma;2010;65
Mg-Varzelandia;2010;1
Mg-Vazante;2010;38
Mg-Verdelandia;2010;0
Mg-Veredinha;2010;2
Mg-Verissimo;2010;9
Mg-Vermelho Novo;2010;5
Mg-Vespasiano;2010;109
Mg-Vicosa;2010;170
Mg-Vieiras;2010;1
Mg-Mathias Lobato;2010;1
Mg-Virgem da Lapa;2010;6
Mg-Virginia;2010;16
Mg-Virginopolis;2010;7
Mg-Virgolandia;2010;1
Mg-Visconde do Rio Branco;2010;142
Mg-Volta Grande;2010;8
Mg-Wenceslau Braz;2010;9
Mg-Abadia dos Dourados;2011;17
Mg-Abaete;2011;65
Mg-Abre Campo;2011;16
Mg-Acaiaca;2011;5
Mg-Acucena;2011;1
Mg-Agua Boa;2011;5
Mg-Agua Comprida;2011;2
Mg-Aguanil;2011;16
Mg-Aguas Formosas;2011;7
Mg-Aguas Vermelhas;2011;3
Mg-Aimores;2011;33
Mg-Aiuruoca;2011;11
Mg-Alagoa;2011;3
Mg-Albertina;2011;12
Mg-Alem Paraiba;2011;57
Mg-Alfenas;2011;194
Mg-Alfredo Vasconcelos;2011;8
Mg-Almenara;2011;32
Mg-Alpercata;2011;8
Mg-Alpinopolis;2011;58
Mg-Alterosa;2011;23
Mg-Alto Caparao;2011;2
Mg-Alto Rio Doce;2011;4
Mg-Alvarenga;2011;0
Mg-Alvinopolis;2011;24
Mg-Alvorada de Minas;2011;0
Mg-Amparo do Serra;2011;3
Mg-Andradas;2011;187
Mg-Cachoeira de Pajeu;2011;8
Mg-Andrelandia;2011;15
Mg-Angelandia;2011;3
Mg-Antonio Carlos;2011;9
Mg-Antonio Dias;2011;8
Mg-Antonio Prado de Minas;2011;2
Mg-Aracai;2011;3
Mg-Aracitaba;2011;2
Mg-Aracuai;2011;42
Mg-Araguari;2011;306
Mg-Arantina;2011;2
Mg-Araponga;2011;5
Mg-Arapora;2011;16
Mg-Arapua;2011;1
Mg-Araujos;2011;112
Mg-Araxa;2011;225
Mg-Arceburgo;2011;20
Mg-Arcos;2011;167
Mg-Areado;2011;38
Mg-Argirita;2011;7
Mg-Aricanduva;2011;0
Mg-Arinos;2011;10
Mg-Astolfo Dutra;2011;123
Mg-Ataleia;2011;7
Mg-Augusto de Lima;2011;9
Mg-Baependi;2011;56
Mg-Baldim;2011;22
Mg-Bambui;2011;47
Mg-Bandeira;2011;1
Mg-Bandeira do Sul;2011;24
Mg-Barao de Cocais;2011;38
Mg-Barao de Monte Alto;2011;3
Mg-Barbacena;2011;188
Mg-Barra Longa;2011;4
Mg-Barroso;2011;46
Mg-Bela Vista de Minas;2011;11
Mg-Belmiro Braga;2011;6
Mg-Belo Horizonte;2011;5544
Mg-Belo Oriente;2011;18
Mg-Belo Vale;2011;11
Mg-Berilo;2011;6
Mg-Bertopolis;2011;2
Mg-Berizal;2011;8
Mg-Betim;2011;801
Mg-Bias Fortes;2011;6
Mg-Bicas;2011;74
Mg-Biquinhas;2011;3
Mg-Boa Esperanca;2011;84
Mg-Bocaina de Minas;2011;5
Mg-Bocaiuva;2011;73
Mg-Bom Despacho;2011;146
Mg-Bom Jardim de Minas;2011;12
Mg-Bom Jesus da Penha;2011;2
Mg-Bom Jesus do Amparo;2011;6
Mg-Bom Jesus do Galho;2011;8
Mg-Bom Repouso;2011;9
Mg-Bom Sucesso;2011;23
Mg-Bonfim;2011;12
Mg-Bonfinopolis de Minas;2011;4
Mg-Bonito de Minas;2011;0
Mg-Borda da Mata;2011;137
Mg-Botelhos;2011;26
Mg-Botumirim;2011;1
Mg-Brasilandia de Minas;2011;15
Mg-Brasilia de Minas;2011;14
Mg-Bras Pires;2011;3
Mg-Braunas;2011;2
Mg-Brazopolis;2011;27
Mg-Brumadinho;2011;50
Mg-Bueno Brandao;2011;14
Mg-Buenopolis;2011;11
Mg-Bugre;2011;0
Mg-Buritis;2011;18
Mg-Buritizeiro;2011;23
Mg-Cabeceira Grande;2011;8
Mg-Cabo Verde;2011;20
Mg-Cachoeira da Prata;2011;12
Mg-Cachoeira de Minas;2011;34
Mg-Cachoeira Dourada;2011;1
Mg-Caetanopolis;2011;33
Mg-Caete;2011;68
Mg-Caiana;2011;0
Mg-Cajuri;2011;7
Mg-Caldas;2011;58
Mg-Camacho;2011;1
Mg-Camanducaia;2011;78
Mg-Cambui;2011;125
Mg-Cambuquira;2011;29
Mg-Campanario;2011;1
Mg-Campanha;2011;75
Mg-Campestre;2011;48
Mg-Campina Verde;2011;29
Mg-Campo Azul;2011;0
Mg-Campo Belo;2011;229
Mg-Campo do Meio;2011;27
Mg-Campo Florido;2011;4
Mg-Campos Altos;2011;20
Mg-Campos Gerais;2011;36
Mg-Canaa;2011;4
Mg-Canapolis;2011;11
Mg-Cana Verde;2011;8
Mg-Candeias;2011;44
Mg-Cantagalo;2011;7
Mg-Caparao;2011;4
Mg-Capela Nova;2011;5
Mg-Capelinha;2011;60
Mg-Capetinga;2011;26
Mg-Capim Branco;2011;14
Mg-Capinopolis;2011;33
Mg-Capitao Andrade;2011;3
Mg-Capitao Eneas;2011;7
Mg-Capitolio;2011;28
Mg-Caputira;2011;6
Mg-Carai;2011;10
Mg-Caranaiba;2011;1
Mg-Carandai;2011;50
Mg-Carangola;2011;72
Mg-Caratinga;2011;128
Mg-Carbonita;2011;10
Mg-Careacu;2011;31
Mg-Carlos Chagas;2011;13
Mg-Carmesia;2011;0
Mg-Carmo da Cachoeira;2011;6
Mg-Carmo da Mata;2011;43
Mg-Carmo de Minas;2011;20
Mg-Carmo do Cajuru;2011;143
Mg-Carmo do Paranaiba;2011;63
Mg-Carmo do Rio Claro;2011;72
Mg-Carmopolis de Minas;2011;82
Mg-Carneirinho;2011;27
Mg-Carrancas;2011;8
Mg-Carvalhopolis;2011;13
Mg-Carvalhos;2011;10
Mg-Casa Grande;2011;0
Mg-Cascalho Rico;2011;6
Mg-Cassia;2011;69
Mg-Conceicao da Barra de Minas;2011;2
Mg-Cataguases;2011;206
Mg-Catas Altas;2011;6
Mg-Catas Altas da Noruega;2011;4
Mg-Catuji;2011;1
Mg-Catuti;2011;0
Mg-Caxambu;2011;40
Mg-Cedro do Abaete;2011;1
Mg-Central de Minas;2011;9
Mg-Centralina;2011;8
Mg-Chacara;2011;7
Mg-Chale;2011;4
Mg-Chapada do Norte;2011;3
Mg-Chapada Gaucha;2011;3
Mg-Chiador;2011;2
Mg-Cipotanea;2011;1
Mg-Claraval;2011;12
Mg-Claro dos Pocoes;2011;5
Mg-Claudio;2011;208
Mg-Coimbra;2011;16
Mg-Coluna;2011;4
Mg-Comendador Gomes;2011;1
Mg-Comercinho;2011;5
Mg-Conceicao da Aparecida;2011;18
Mg-Conceicao das Pedras;2011;4
Mg-Conceicao das Alagoas;2011;28
Mg-Conceicao de Ipanema;2011;1
Mg-Conceicao do Mato Dentro;2011;19
Mg-Conceicao do Para;2011;14
Mg-Conceicao do Rio Verde;2011;24
Mg-Conceicao dos Ouros;2011;136
Mg-Conego Marinho;2011;0
Mg-Confins;2011;28
Mg-Congonhal;2011;56
Mg-Congonhas;2011;55
Mg-Congonhas do Norte;2011;1
Mg-Conquista;2011;16
Mg-Conselheiro Lafaiete;2011;193
Mg-Conselheiro Pena;2011;22
Mg-Consolacao;2011;3
Mg-Contagem;2011;2008
Mg-Coqueiral;2011;17
Mg-Coracao de Jesus;2011;12
Mg-Cordisburgo;2011;10
Mg-Cordislandia;2011;4
Mg-Corinto;2011;29
Mg-Coroaci;2011;4
Mg-Coromandel;2011;70
Mg-Coronel Fabriciano;2011;204
Mg-Coronel Murta;2011;7
Mg-Coronel Pacheco;2011;4
Mg-Coronel Xavier Chaves;2011;7
Mg-Corrego Danta;2011;3
Mg-Corrego do Bom Jesus;2011;4
Mg-Corrego Fundo;2011;114
Mg-Corrego Novo;2011;1
Mg-Couto de Magalhaes de Minas;2011;7
Mg-Crisolita;2011;0
Mg-Cristais;2011;90
Mg-Cristalia;2011;1
Mg-Cristiano Otoni;2011;12
Mg-Cristina;2011;53
Mg-Crucilandia;2011;7
Mg-Cruzeiro da Fortaleza;2011;2
Mg-Cruzilia;2011;59
Mg-Cuparaque;2011;4
Mg-Curral de Dentro;2011;5
Mg-Curvelo;2011;140
Mg-Datas;2011;4
Mg-Delfim Moreira;2011;13
Mg-Delfinopolis;2011;7
Mg-Delta;2011;12
Mg-Descoberto;2011;39
Mg-Desterro de Entre Rios;2011;7
Mg-Desterro do Melo;2011;2
Mg-Diamantina;2011;60
Mg-Diogo de Vasconcelos;2011;0
Mg-Dionisio;2011;6
Mg-Divinesia;2011;17
Mg-Divino;2011;15
Mg-Divino das Laranjeiras;2011;3
Mg-Divinolandia de Minas;2011;3
Mg-Divinopolis;2011;1366
Mg-Divisa Alegre;2011;1
Mg-Divisa Nova;2011;8
Mg-Divisopolis;2011;1
Mg-Dom Bosco;2011;1
Mg-Dom Cavati;2011;5
Mg-Dom Joaquim;2011;2
Mg-Dom Silverio;2011;19
Mg-Dom Vicoso;2011;1
Mg-Dona Eusebia;2011;30
Mg-Dores de Campos;2011;130
Mg-Dores de Guanhaes;2011;4
Mg-Dores do Indaia;2011;50
Mg-Dores do Turvo;2011;8
Mg-Doresopolis;2011;4
Mg-Douradoquara;2011;2
Mg-Durande;2011;2
Mg-Eloi Mendes;2011;64
Mg-Engenheiro Caldas;2011;29
Mg-Engenheiro Navarro;2011;7
Mg-Entre Folhas;2011;1
Mg-Entre Rios de Minas;2011;23
Mg-Ervalia;2011;55
Mg-Esmeraldas;2011;85
Mg-Espera Feliz;2011;31
Mg-Espinosa;2011;64
Mg-Espirito Santo do Dourado;2011;11
Mg-Estiva;2011;22
Mg-Estrela Dalva;2011;0
Mg-Estrela do Indaia;2011;2
Mg-Estrela do Sul;2011;8
Mg-Eugenopolis;2011;61
Mg-Ewbank da Camara;2011;7
Mg-Extrema;2011;132
Mg-Fama;2011;2
Mg-Faria Lemos;2011;4
Mg-Felicio dos Santos;2011;0
Mg-Sao Goncalo do Rio Preto;2011;7
Mg-Felisburgo;2011;6
Mg-Felixlandia;2011;19
Mg-Fernandes Tourinho;2011;2
Mg-Ferros;2011;8
Mg-Fervedouro;2011;8
Mg-Florestal;2011;14
Mg-Formiga;2011;327
Mg-Formoso;2011;2
Mg-Fortaleza de Minas;2011;7
Mg-Fortuna de Minas;2011;16
Mg-Francisco Badaro;2011;4
Mg-Francisco Dumont;2011;5
Mg-Francisco Sa;2011;17
Mg-Franciscopolis;2011;6
Mg-Frei Gaspar;2011;1
Mg-Frei Inocencio;2011;4
Mg-Frei Lagonegro;2011;0
Mg-Fronteira;2011;13
Mg-Fronteira dos Vales;2011;0
Mg-Fruta de Leite;2011;0
Mg-Frutal;2011;114
Mg-Funilandia;2011;6
Mg-Galileia;2011;10
Mg-Gameleiras;2011;1
Mg-Glaucilandia;2011;0
Mg-Goiabeira;2011;2
Mg-Goiana;2011;6
Mg-Goncalves;2011;12
Mg-Gonzaga;2011;3
Mg-Gouveia;2011;28
Mg-Governador Valadares;2011;507
Mg-Grao Mogol;2011;14
Mg-Grupiara;2011;1
Mg-Guanhaes;2011;39
Mg-Guape;2011;30
Mg-Guaraciaba;2011;16
Mg-Guaraciama;2011;1
Mg-Guaranesia;2011;66
Mg-Guarani;2011;43
Mg-Guarara;2011;25
Mg-Guarda-Mor;2011;5
Mg-Guaxupe;2011;263
Mg-Guidoval;2011;63
Mg-Guimarania;2011;10
Mg-Guiricema;2011;33
Mg-Gurinhata;2011;5
Mg-Heliodora;2011;17
Mg-Iapu;2011;5
Mg-Ibertioga;2011;3
Mg-Ibia;2011;31
Mg-Ibiai;2011;3
Mg-Ibiracatu;2011;0
Mg-Ibiraci;2011;14
Mg-Ibirite;2011;181
Mg-Ibitiura de Minas;2011;13
Mg-Ibituruna;2011;2
Mg-Icarai de Minas;2011;0
Mg-Igarape;2011;70
Mg-Igaratinga;2011;95
Mg-Iguatama;2011;13
Mg-Ijaci;2011;15
Mg-Ilicinea;2011;29
Mg-Imbe de Minas;2011;5
Mg-Inconfidentes;2011;63
Mg-Indaiabira;2011;2
Mg-Indianopolis;2011;9
Mg-Ingai;2011;2
Mg-Inhapim;2011;18
Mg-Inhauma;2011;23
Mg-Inimutaba;2011;11
Mg-Ipaba;2011;11
Mg-Ipanema;2011;44
Mg-Ipatinga;2011;467
Mg-Ipiacu;2011;4
Mg-Ipuiuna;2011;19
Mg-Irai de Minas;2011;6
Mg-Itabira;2011;183
Mg-Itabirinha;2011;10
Mg-Itabirito;2011;128
Mg-Itacambira;2011;1
Mg-Itacarambi;2011;8
Mg-Itaguara;2011;46
Mg-Itaipe;2011;1
Mg-Itajuba;2011;262
Mg-Itamarandiba;2011;36
Mg-Itamarati de Minas;2011;20
Mg-Itambacuri;2011;15
Mg-Itambe do Mato Dentro;2011;2
Mg-Itamogi;2011;18
Mg-Itamonte;2011;53
Mg-Itanhandu;2011;54
Mg-Itanhomi;2011;8
Mg-Itaobim;2011;32
Mg-Itapagipe;2011;11
Mg-Itapecerica;2011;62
Mg-Itapeva;2011;21
Mg-Itatiaiucu;2011;31
Mg-Itau de Minas;2011;42
Mg-Itauna;2011;378
Mg-Itaverava;2011;6
Mg-Itinga;2011;22
Mg-Itueta;2011;10
Mg-Ituiutaba;2011;163
Mg-Itumirim;2011;1
Mg-Iturama;2011;46
Mg-Itutinga;2011;5
Mg-Jaboticatubas;2011;33
Mg-Jacinto;2011;1
Mg-Jacui;2011;12
Mg-Jacutinga;2011;374
Mg-Jaguaracu;2011;2
Mg-Jaiba;2011;23
Mg-Jampruca;2011;4
Mg-Janauba;2011;98
Mg-Januaria;2011;47
Mg-Japaraiba;2011;18
Mg-Japonvar;2011;0
Mg-Jeceaba;2011;11
Mg-Jenipapo de Minas;2011;0
Mg-Jequeri;2011;9
Mg-Jequitai;2011;2
Mg-Jequitiba;2011;5
Mg-Jequitinhonha;2011;6
Mg-Jesuania;2011;6
Mg-Joaima;2011;7
Mg-Joanesia;2011;1
Mg-Joao Monlevade;2011;152
Mg-Joao Pinheiro;2011;91
Mg-Joaquim Felicio;2011;8
Mg-Jordania;2011;3
Mg-Jose Goncalves de Minas;2011;1
Mg-Jose Raydan;2011;4
Mg-Josenopolis;2011;0
Mg-Nova Uniao;2011;12
Mg-Juatuba;2011;40
Mg-Juiz de Fora;2011;1396
Mg-Juramento;2011;3
Mg-Juruaia;2011;127
Mg-Juvenilia;2011;0
Mg-Ladainha;2011;2
Mg-Lagamar;2011;12
Mg-Lagoa da Prata;2011;164
Mg-Lagoa dos Patos;2011;1
Mg-Lagoa Dourada;2011;24
Mg-Lagoa Formosa;2011;39
Mg-Lagoa Grande;2011;13
Mg-Lagoa Santa;2011;122
Mg-Lajinha;2011;18
Mg-Lambari;2011;59
Mg-Lamim;2011;3
Mg-Laranjal;2011;17
Mg-Lassance;2011;4
Mg-Lavras;2011;225
Mg-Leandro Ferreira;2011;8
Mg-Leme do Prado;2011;2
Mg-Leopoldina;2011;114
Mg-Liberdade;2011;11
Mg-Lima Duarte;2011;25
Mg-Limeira do Oeste;2011;7
Mg-Lontra;2011;0
Mg-Luisburgo;2011;3
Mg-Luislandia;2011;0
Mg-Luminarias;2011;17
Mg-Luz;2011;53
Mg-Machacalis;2011;2
Mg-Machado;2011;124
Mg-Madre de Deus de Minas;2011;5
Mg-Malacacheta;2011;9
Mg-Mamonas;2011;1
Mg-Manga;2011;9
Mg-Manhuacu;2011;174
Mg-Manhumirim;2011;33
Mg-Mantena;2011;68
Mg-Maravilhas;2011;37
Mg-Mar de Espanha;2011;144
Mg-Maria da Fe;2011;20
Mg-Mariana;2011;64
Mg-Marilac;2011;3
Mg-Mario Campos;2011;12
Mg-Maripa de Minas;2011;22
Mg-Marlieria;2011;2
Mg-Marmelopolis;2011;4
Mg-Martinho Campos;2011;47
Mg-Martins Soares;2011;8
Mg-Mata Verde;2011;2
Mg-Materlandia;2011;0
Mg-Mateus Leme;2011;76
Mg-Matias Barbosa;2011;35
Mg-Matias Cardoso;2011;3
Mg-Matipo;2011;12
Mg-Mato Verde;2011;13
Mg-Matozinhos;2011;165
Mg-Matutina;2011;5
Mg-Medeiros;2011;1
Mg-Medina;2011;29
Mg-Mendes Pimentel;2011;3
Mg-Merces;2011;30
Mg-Mesquita;2011;0
Mg-Minas Novas;2011;16
Mg-Minduri;2011;6
Mg-Mirabela;2011;3
Mg-Miradouro;2011;16
Mg-Mirai;2011;37
Mg-Miravania;2011;0
Mg-Moeda;2011;6
Mg-Moema;2011;17
Mg-Monjolos;2011;2
Mg-Monsenhor Paulo;2011;22
Mg-Montalvania;2011;6
Mg-Monte Alegre de Minas;2011;20
Mg-Monte Azul;2011;14
Mg-Monte Belo;2011;26
Mg-Monte Carmelo;2011;147
Mg-Monte Formoso;2011;2
Mg-Monte Santo de Minas;2011;66
Mg-Montes Claros;2011;600
Mg-Monte Siao;2011;622
Mg-Montezuma;2011;4
Mg-Morada Nova de Minas;2011;9
Mg-Morro da Garca;2011;2
Mg-Morro do Pilar;2011;4
Mg-Munhoz;2011;12
Mg-Muriae;2011;534
Mg-Mutum;2011;37
Mg-Muzambinho;2011;72
Mg-Nacip Raydan;2011;1
Mg-Nanuque;2011;56
Mg-Naque;2011;1
Mg-Natalandia;2011;1
Mg-Natercia;2011;11
Mg-Nazareno;2011;13
Mg-Nepomuceno;2011;32
Mg-Ninheira;2011;4
Mg-Nova Belem;2011;3
Mg-Nova Era;2011;26
Mg-Nova Lima;2011;196
Mg-Nova Modica;2011;2
Mg-Nova Ponte;2011;29
Mg-Nova Porteirinha;2011;14
Mg-Nova Resende;2011;24
Mg-Nova Serrana;2011;1077
Mg-Novo Cruzeiro;2011;7
Mg-Novo Oriente de Minas;2011;3
Mg-Novorizonte;2011;2
Mg-Olaria;2011;1
Mg-Olhos-D Agua;2011;4
Mg-Olimpio Noronha;2011;5
Mg-Oliveira;2011;119
Mg-Oliveira Fortes;2011;9
Mg-Onca de Pitangui;2011;3
Mg-Oratorios;2011;7
Mg-Orizania;2011;1
Mg-Ouro Branco;2011;75
Mg-Ouro Fino;2011;150
Mg-Ouro Preto;2011;91
Mg-Ouro Verde de Minas;2011;0
Mg-Padre Carvalho;2011;1
Mg-Padre Paraiso;2011;15
Mg-Paineiras;2011;2
Mg-Pains;2011;71
Mg-Pai Pedro;2011;1
Mg-Paiva;2011;1
Mg-Palma;2011;14
Mg-Palmopolis;2011;2
Mg-Papagaios;2011;193
Mg-Paracatu;2011;142
Mg-Para de Minas;2011;330
Mg-Paraguacu;2011;74
Mg-Paraisopolis;2011;39
Mg-Paraopeba;2011;88
Mg-Passabem;2011;1
Mg-Passa Quatro;2011;41
Mg-Passa Tempo;2011;14
Mg-Passa-Vinte;2011;1
Mg-Passos;2011;377
Mg-Patis;2011;0
Mg-Patos de Minas;2011;444
Mg-Patrocinio;2011;187
Mg-Patrocinio do Muriae;2011;27
Mg-Paula Candido;2011;8
Mg-Paulistas;2011;3
Mg-Pavao;2011;10
Mg-Pecanha;2011;12
Mg-Pedra Azul;2011;8
Mg-Pedra Bonita;2011;2
Mg-Pedra do Anta;2011;1
Mg-Pedra do Indaia;2011;13
Mg-Pedra Dourada;2011;4
Mg-Pedralva;2011;24
Mg-Pedras de Maria da Cruz;2011;1
Mg-Pedrinopolis;2011;1
Mg-Pedro Leopoldo;2011;210
Mg-Pedro Teixeira;2011;2
Mg-Pequeri;2011;17
Mg-Pequi;2011;10
Mg-Perdigao;2011;142
Mg-Perdizes;2011;29
Mg-Perdoes;2011;59
Mg-Periquito;2011;4
Mg-Pescador;2011;1
Mg-Piau;2011;3
Mg-Piedade de Caratinga;2011;6
Mg-Piedade de Ponte Nova;2011;3
Mg-Piedade do Rio Grande;2011;8
Mg-Piedade dos Gerais;2011;4
Mg-Pimenta;2011;16
Mg-Pingo-D Agua;2011;3
Mg-Pintopolis;2011;1
Mg-Piracema;2011;13
Mg-Pirajuba;2011;7
Mg-Piranga;2011;13
Mg-Pirangucu;2011;19
Mg-Piranguinho;2011;22
Mg-Pirapetinga;2011;16
Mg-Pirapora;2011;66
Mg-Pirauba;2011;70
Mg-Pitangui;2011;78
Mg-Piumhi;2011;91
Mg-Planura;2011;9
Mg-Poco Fundo;2011;64
Mg-Pocos de Caldas;2011;431
Mg-Pocrane;2011;4
Mg-Pompeu;2011;88
Mg-Ponte Nova;2011;126
Mg-Ponto Chique;2011;0
Mg-Ponto dos Volantes;2011;4
Mg-Porteirinha;2011;21
Mg-Porto Firme;2011;12
Mg-Pote;2011;5
Mg-Pouso Alegre;2011;380
Mg-Pouso Alto;2011;21
Mg-Prados;2011;43
Mg-Prata;2011;38
Mg-Pratapolis;2011;30
Mg-Pratinha;2011;0
Mg-Presidente Bernardes;2011;4
Mg-Presidente Juscelino;2011;9
Mg-Presidente Kubitschek;2011;1
Mg-Presidente Olegario;2011;21
Mg-Alto Jequitiba;2011;9
Mg-Prudente de Morais;2011;28
Mg-Quartel Geral;2011;4
Mg-Queluzito;2011;2
Mg-Raposos;2011;6
Mg-Raul Soares;2011;34
Mg-Recreio;2011;24
Mg-Reduto;2011;4
Mg-Resende Costa;2011;58
Mg-Resplendor;2011;17
Mg-Ressaquinha;2011;6
Mg-Riachinho;2011;2
Mg-Riacho dos Machados;2011;1
Mg-Ribeirao das Neves;2011;217
